adaptive_k,rho,gamma_min,Kmin,Kmax,Kstep,seed,steps,sigma_inf_max,sigma_inf_mean,k_opt_median,slack_fail_rate,min_sigma_min_Ag,min_sigma_min_Hu,total_cost,mean_solve_time_ms,total_solve_time_ms,npz_path
True,0.004,1e-06,40,200,1,0,200,5.021320237311242,1.4475804717493599,96.0,1.0,0.00010198850982277942,0.03463685777258074,25815203.18812911,227.38387799981865,45476.77559996373,logs/adaptive_k\run_rho0.004_seed000.npz
True,0.004,1e-06,40,200,1,1,31,4.633389170297022,1.2640112050205847,40.0,1.0,0.00010201131899038594,0.05125547590102223,10513206.751896739,191.64776451502655,5941.080699965823,logs/adaptive_k\run_rho0.004_seed001.npz
True,0.004,1e-06,40,200,1,2,45,5.6945163176458795,1.7892325949867016,40.0,1.0,0.00010199291314585839,0.04676025518708863,2444312.172980581,220.63166666840618,9928.425000078278,logs/adaptive_k\run_rho0.004_seed002.npz
True,0.004,1e-06,40,200,1,3,200,4.936078131672739,0.97880345574956,40.0,0.99,0.00010199356108464898,0.04172306325838585,52328104.02727533,189.46481299921288,37892.962599842576,logs/adaptive_k\run_rho0.004_seed003.npz
True,0.004,1e-06,40,200,1,4,44,5.797583784775904,1.4324411631342715,40.0,1.0,0.00010200442385792294,0.04981800534746393,4614149.69079619,201.3818749989944,8860.802499955753,logs/adaptive_k\run_rho0.004_seed004.npz
True,0.004,1e-06,40,200,1,5,200,4.2719990194356345,0.6439272206625687,131.5,1.0,0.00010198747672564024,0.04249308256797357,28392028.01114734,252.24557750014355,50449.11550002871,logs/adaptive_k\run_rho0.004_seed005.npz
True,0.004,1e-06,40,200,1,6,200,4.959831362006887,1.1686259476826164,40.0,1.0,0.0001020060618371964,0.0400892537852965,40543361.936642274,194.71412800106918,38942.82560021384,logs/adaptive_k\run_rho0.004_seed006.npz
True,0.004,1e-06,40,200,1,7,200,4.34383586858111,1.0249572071685937,115.0,0.995,0.00010200651526209365,0.047444286151597674,29256636.463757426,225.8375535000232,45167.51070000464,logs/adaptive_k\run_rho0.004_seed007.npz
True,0.004,1e-06,40,200,1,8,200,4.073151198420941,1.06922550937046,40.0,1.0,0.00010198811003313938,0.0357255949338069,38766834.31680396,219.0517834990169,43810.35669980338,logs/adaptive_k\run_rho0.004_seed008.npz
True,0.004,1e-06,40,200,1,9,200,4.801892758681046,1.158819192199041,40.0,1.0,0.00010198905934232029,0.044464150216182885,30978342.865926407,211.82503999909386,42365.00799981877,logs/adaptive_k\run_rho0.004_seed009.npz
