adaptive_k,rho,gamma_min,Kmin,Kmax,Kstep,seed,steps,sigma_inf_max,sigma_inf_mean,k_opt_median,slack_fail_rate,min_sigma_min_Ag,min_sigma_min_Hu,total_cost,mean_solve_time_ms,total_solve_time_ms,reached_upright,lost_after_reach,first_upright_step,final_angle_err,success_upright_hold,terminated,truncated,npz_path
True,0.001,1e-06,40,200,1,0,79,15.288161784814456,2.0110521950570104,40.0,1.0,2.55994073579428e-05,0.03816010124162049,1729424.1783645458,122.73361899114886,9695.95590030076,1,1,1,2.1810849236863734,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed000.npz
True,0.001,1e-06,40,200,1,1,67,6.114530876600459,1.8595543477213525,40.0,1.0,2.555121714086683e-05,0.0393510746567582,958660.5436105301,120.314153728819,8061.048299830873,1,1,1,2.388963647946596,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed001.npz
True,0.001,1e-06,40,200,1,2,200,4.934616481477939,0.6630502844245416,40.0,0.995,2.550899909669637e-05,0.03730153059749128,1288023.0440269401,140.32763849943876,28065.527699887753,1,1,1,3.141499617440644,0,0,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed002.npz
True,0.001,1e-06,40,200,1,3,86,14.487528669990207,1.9589498574795623,40.0,1.0,2.5801479115436224e-05,0.039789778867397284,5656302.674033062,117.66162674283869,10118.899899884127,1,1,1,2.396567365341342,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed003.npz
True,0.001,1e-06,40,200,1,4,35,5.927026772250537,2.1197283403500857,40.0,1.0,2.5726425769885745e-05,0.05287483447005975,6770287.813280622,96.05329714416128,3361.8654000456445,1,1,1,2.3932086419956025,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed004.npz
True,0.001,1e-06,40,200,1,5,46,5.0390217776334,1.7055330486680194,40.0,1.0,2.5612517769527107e-05,0.042758158971088873,1116347.2381174741,121.9785978268508,5611.015500035137,1,1,1,2.4091155388705556,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed005.npz
True,0.001,1e-06,40,200,1,6,200,5.763457235370731,1.1561085098915636,40.0,1.0,2.5503145446038144e-05,0.031695010316358144,4497296.373928918,125.60094949963968,25120.189899927936,1,1,1,0.4840965476336588,0,0,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed006.npz
True,0.001,1e-06,40,200,1,7,39,5.296038374744295,2.6571670678915607,40.0,1.0,2.5841949547170827e-05,0.05127564006553954,553214.0423902874,125.55743333023901,4896.7398998793215,1,1,1,2.3403863558217513,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed007.npz
True,0.001,1e-06,40,200,1,8,92,4.911804642462631,1.4136918252572102,40.0,0.9891304347826086,2.5515536307761627e-05,0.035462271512557604,919637.4262110472,119.70868804264288,11013.199299923144,1,1,1,2.3344767801498993,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed008.npz
True,0.001,1e-06,40,200,1,9,135,11.137462418731666,2.012451211891397,40.0,1.0,2.5674236604933523e-05,0.025807434731382865,4301468.77866105,118.88449629531587,16049.406999867642,1,1,1,2.1670159273121166,0,1,0,logs/adaptive_k\run_Kmin40_Kmax200_Kstep1_gmin1e-06_rho0.001_seed009.npz
