K,seed,sigma_inf_max_epi,sigma_inf_mean_epi,T,file
10,0,12.276327210299582,3.2509609119157923,547,logs/k_sweep/run_K010_seed000.npz
10,1,15.335634331325307,3.4274845654163535,530,logs/k_sweep/run_K010_seed001.npz
10,2,10.802251622084226,2.855339571242812,332,logs/k_sweep/run_K010_seed002.npz
10,3,13.546292074607686,4.195186025605207,155,logs/k_sweep/run_K010_seed003.npz
10,4,14.495432981081775,3.161791988073846,363,logs/k_sweep/run_K010_seed004.npz
10,5,12.774082318177454,3.337617864537542,541,logs/k_sweep/run_K010_seed005.npz
10,6,11.861368744143274,3.655122843391997,169,logs/k_sweep/run_K010_seed006.npz
10,7,12.913684766972345,3.3477674579226577,532,logs/k_sweep/run_K010_seed007.npz
10,8,12.873223440922764,3.9022718399240204,243,logs/k_sweep/run_K010_seed008.npz
10,9,12.960244501031053,3.1768619935571043,475,logs/k_sweep/run_K010_seed009.npz
20,0,11.925375014443556,1.1101689511101016,598,logs/k_sweep/run_K020_seed000.npz
20,1,12.795114156120098,2.2949444355636923,296,logs/k_sweep/run_K020_seed001.npz
20,2,8.493187732446412,2.6308327829754004,87,logs/k_sweep/run_K020_seed002.npz
20,3,12.657961640513854,1.7399074266985795,185,logs/k_sweep/run_K020_seed003.npz
20,4,13.638172597022807,2.340567316579652,401,logs/k_sweep/run_K020_seed004.npz
20,5,12.124125959875977,1.5797583293176238,451,logs/k_sweep/run_K020_seed005.npz
20,6,12.798995960195882,2.2098103643016467,225,logs/k_sweep/run_K020_seed006.npz
20,7,13.871610570194933,2.445826582516804,227,logs/k_sweep/run_K020_seed007.npz
20,8,14.918941954581939,3.871639002671686,39,logs/k_sweep/run_K020_seed008.npz
20,9,12.901355914150109,1.8453063143785078,600,logs/k_sweep/run_K020_seed009.npz
30,0,10.755499239145752,1.664117640687842,123,logs/k_sweep/run_K030_seed000.npz
30,1,9.437792948693001,1.0896258173015667,445,logs/k_sweep/run_K030_seed001.npz
30,2,11.117668207094898,2.07497008861883,89,logs/k_sweep/run_K030_seed002.npz
30,3,6.057827831941217,1.300703009792429,558,logs/k_sweep/run_K030_seed003.npz
30,4,8.076055660279724,1.2652629252259517,600,logs/k_sweep/run_K030_seed004.npz
30,5,15.422746400975878,2.2069356629245744,104,logs/k_sweep/run_K030_seed005.npz
30,6,6.360358238874313,2.0275325690421258,120,logs/k_sweep/run_K030_seed006.npz
30,7,7.296063899711052,2.650534938688544,34,logs/k_sweep/run_K030_seed007.npz
30,8,9.48879049706522,0.47215178677593184,600,logs/k_sweep/run_K030_seed008.npz
30,9,13.876462929377022,0.8533262222023459,600,logs/k_sweep/run_K030_seed009.npz
40,0,4.933765440891016,1.8473474964758272,56,logs/k_sweep/run_K040_seed000.npz
40,1,6.040490174467115,2.0660006694213955,77,logs/k_sweep/run_K040_seed001.npz
40,2,4.833096498013164,1.511469810951537,58,logs/k_sweep/run_K040_seed002.npz
40,3,5.159396816318779,0.1582433272774512,600,logs/k_sweep/run_K040_seed003.npz
40,4,5.805271858080507,2.6238076978341076,33,logs/k_sweep/run_K040_seed004.npz
40,5,5.191543872289001,1.1110694619543333,238,logs/k_sweep/run_K040_seed005.npz
40,6,22.159539158183716,2.1650720328992765,61,logs/k_sweep/run_K040_seed006.npz
40,7,5.610620967816477,2.0649004457734916,33,logs/k_sweep/run_K040_seed007.npz
40,8,6.121328940211244,1.533153424282906,278,logs/k_sweep/run_K040_seed008.npz
40,9,3.652954038479285,1.9178547508851795,28,logs/k_sweep/run_K040_seed009.npz
50,0,4.829409903627443,2.2301768732488383,38,logs/k_sweep/run_K050_seed000.npz
50,1,8.583217197786754,1.5731868954784296,258,logs/k_sweep/run_K050_seed001.npz
50,2,4.824418509095452,2.1650329577536014,37,logs/k_sweep/run_K050_seed002.npz
50,3,17.386982662427915,1.4501044786461121,63,logs/k_sweep/run_K050_seed003.npz
50,4,4.443835183410846,2.2276631713168684,26,logs/k_sweep/run_K050_seed004.npz
50,5,4.989314508337463,2.2516958374916247,31,logs/k_sweep/run_K050_seed005.npz
50,6,4.449176118968097,1.8028298826243132,38,logs/k_sweep/run_K050_seed006.npz
50,7,5.844604182381406,2.1756077127666935,55,logs/k_sweep/run_K050_seed007.npz
50,8,5.479526365092154,2.2553587181423893,43,logs/k_sweep/run_K050_seed008.npz
50,9,4.916004192961909,2.4688394394593,32,logs/k_sweep/run_K050_seed009.npz
60,0,7.7350044344799125,1.2665578861340678,447,logs/k_sweep/run_K060_seed000.npz
60,1,4.533926355077872,1.182321215235737,163,logs/k_sweep/run_K060_seed001.npz
60,2,4.7056379774488235,1.9348618610428892,32,logs/k_sweep/run_K060_seed002.npz
60,3,6.176371555710023,1.4337451746631333,211,logs/k_sweep/run_K060_seed003.npz
60,4,5.659607914339077,1.48533988885299,164,logs/k_sweep/run_K060_seed004.npz
60,5,8.054348547574541,1.7929086253072155,55,logs/k_sweep/run_K060_seed005.npz
60,6,4.869641376180196,1.9984620004906715,44,logs/k_sweep/run_K060_seed006.npz
60,7,4.767949306153582,2.185378936122051,26,logs/k_sweep/run_K060_seed007.npz
60,8,4.517753103346427,2.140024582740074,36,logs/k_sweep/run_K060_seed008.npz
60,9,6.916510676926161,1.436059909502391,468,logs/k_sweep/run_K060_seed009.npz
70,0,5.234447593313217,1.7486801840660398,28,logs/k_sweep/run_K070_seed000.npz
70,1,4.66507858912931,1.3519463545432961,26,logs/k_sweep/run_K070_seed001.npz
70,2,7.070736153192191,1.6351787645811082,150,logs/k_sweep/run_K070_seed002.npz
70,3,3.4797222848801495,0.1962036331975755,600,logs/k_sweep/run_K070_seed003.npz
70,4,10.22622160465782,1.5230931030869967,194,logs/k_sweep/run_K070_seed004.npz
70,5,6.574627558920042,0.7255612548312447,600,logs/k_sweep/run_K070_seed005.npz
70,6,4.859863368171663,1.1711125610288236,569,logs/k_sweep/run_K070_seed006.npz
70,7,5.07325517428972,1.968400878990108,34,logs/k_sweep/run_K070_seed007.npz
70,8,5.151917199191829,1.323225724335606,295,logs/k_sweep/run_K070_seed008.npz
70,9,7.057589598974103,1.1517402822660643,600,logs/k_sweep/run_K070_seed009.npz
80,0,4.331797628981505,1.1020780793278535,87,logs/k_sweep/run_K080_seed000.npz
80,1,4.7280992712969105,1.0069890203463099,234,logs/k_sweep/run_K080_seed001.npz
80,2,3.9380554768493257,0.20249642891376188,600,logs/k_sweep/run_K080_seed002.npz
80,3,4.802526244532011,0.4225403127476508,600,logs/k_sweep/run_K080_seed003.npz
80,4,11.621054183896922,0.9598379741157883,350,logs/k_sweep/run_K080_seed004.npz
80,5,4.86764404242599,1.1583355385329728,486,logs/k_sweep/run_K080_seed005.npz
80,6,4.80760386038555,1.2226198862419315,185,logs/k_sweep/run_K080_seed006.npz
80,7,4.526111668179929,0.9663823698823691,326,logs/k_sweep/run_K080_seed007.npz
