K,med_max,p10_max,p90_max,med_mean,p10_mean,p90_mean,n
10,12.893454103947555,11.75545703193737,14.579453116106128,3.3426926612300996,3.1311467463907423,3.931563258492139,10
20,12.79705505815799,11.582156286243842,13.976343708633634,2.2523773999326693,1.5327993914968716,2.7549134049450283,10
30,9.463291722879111,6.330105198181004,14.031091276536907,1.4824103252401355,0.8152087786597045,2.251295590500971,10
40,5.401082420052739,4.715082252059776,7.725149962008485,1.8826011236805034,1.015786848486645,2.2109455993927596,10
50,4.952659350649686,4.448642025412372,9.463593744250867,2.201635442041781,1.560878653795198,2.2767067902740803,10
60,5.264624645259636,4.532309029904727,7.766938845789375,1.6391242570801028,1.2581342190442348,2.1445600180782716,10
70,5.1931823962525225,4.546542958704394,7.386284698338752,1.3375860394394512,0.6726254926678777,1.7706522535584466,10
80,4.80506505245878,4.2924234137682875,7.201844187610895,0.9866856951143395,0.40053592436426194,1.1647639733038686,10
90,4.749315548214451,4.376777788961207,5.716818941970011,0.8935587354609014,0.82380556096393,0.9703665542418716,10
100,4.680211374278792,4.515982338229467,5.149783691187888,0.9136622618375057,0.8174638377242384,1.101682499064812,10
110,5.0053486037047,4.426112799484715,9.390976932216883,0.8245001068389008,0.690381872236856,0.9660168683700494,10
120,5.208791204408889,4.286645300324979,6.761010867835494,0.7899775759838435,0.7205615940406148,0.9278578982471557,10
130,4.4763633759446915,3.3266122351454217,5.82460427406701,0.7024816839272172,0.5815120435978393,0.8989611816063701,10
140,4.53146267944689,3.6253923628145,5.276942223014287,0.69432389012865,0.5613423553705826,0.8229466817257536,10
150,3.978432688555784,3.454354566503709,4.647502692141211,0.7128129514763004,0.5443037806974987,0.7714044625614371,10
160,4.544011453254267,3.7023990527631097,5.654960566550841,0.5892699635533672,0.5192501489767335,0.7947819789668952,10
170,4.673359711635552,4.183238427604014,5.2614791558754685,0.7033073298679998,0.5926878215572061,1.018120532196073,10
180,4.525091168229006,4.200132289899107,5.286133488241923,0.6426657188528235,0.5462441041100876,0.9143191422475525,10
190,4.518002321516793,3.6177977062119506,4.926484638346678,0.6287144857412205,0.5410304602385215,1.024359073259277,10
200,4.523283831227637,4.122728038732806,6.324109704990676,0.7524104933230592,0.5168077030970933,0.8909221846935421,10
