K,seed,steps,slack_fail_rate,min_sigma_min_Ag,min_sigma_min_Hu,total_cost,mean_solve_time_ms,npz_path
10,0,600,0.9116666666666666,0.14579494063307344,0.1414984787632138,1321886.0768690282,75.97696666672466,logs/k_sweep\run_K010_seed000.npz
10,1,600,0.8833333333333333,0.16386789549286182,0.12545386994416236,1223236.362956058,75.01934899993405,logs/k_sweep\run_K010_seed001.npz
10,2,372,0.8924731182795699,0.16516967843491562,0.15335535355310023,882059.0060390811,76.10016424718275,logs/k_sweep\run_K010_seed002.npz
10,3,170,0.9117647058823529,0.19838988455537648,0.18032337420346553,384998.1398261393,75.06019117653898,logs/k_sweep\run_K010_seed003.npz
10,4,400,0.9075,0.15046306056694056,0.14919457061267616,834596.4257943642,74.76767175016903,logs/k_sweep\run_K010_seed004.npz
10,5,600,0.9016666666666666,0.1603409370692707,0.1580508146047832,1552279.4967671311,75.62875066663764,logs/k_sweep\run_K010_seed005.npz
10,6,192,0.8802083333333334,0.16988867844978717,0.1576403692378456,386610.34812054515,75.77946458341482,logs/k_sweep\run_K010_seed006.npz
10,7,600,0.8866666666666667,0.15081289620333047,0.14541704669314104,1458140.3367186422,73.2625118334181,logs/k_sweep\run_K010_seed007.npz
10,8,271,0.8966789667896679,0.1834869023885534,0.14190920588301453,1012192.0361301508,74.77664649443852,logs/k_sweep\run_K010_seed008.npz
10,9,514,0.9241245136186771,0.14958613000894,0.13847525163043667,886344.1466438711,73.95978579773147,logs/k_sweep\run_K010_seed009.npz
20,0,600,0.9966666666666667,0.08069922797715565,0.06021808556235808,55625342.22685031,89.14183650000268,logs/k_sweep\run_K020_seed000.npz
20,1,296,1.0,0.07349875442852015,0.04902367847001004,18128646.38587967,83.02846554054643,logs/k_sweep\run_K020_seed001.npz
20,2,87,1.0,0.08589158443439367,0.06025674616801016,767454.1120656265,84.2069597700216,logs/k_sweep\run_K020_seed002.npz
20,3,186,0.9946236559139785,0.08015357610895167,0.0747142729327153,12510457.55376862,84.21922258070657,logs/k_sweep\run_K020_seed003.npz
20,4,402,0.9975124378109452,0.07353989625057998,0.07092899129180927,3937342.870820103,88.85659328357247,logs/k_sweep\run_K020_seed004.npz
20,5,451,1.0,0.0709389296230438,0.06436604537368999,3759575.3268418894,91.45393436803812,logs/k_sweep\run_K020_seed005.npz
20,6,226,0.995575221238938,0.08912323856286176,0.07741982306540197,2219802.4810796287,87.74501548690654,logs/k_sweep\run_K020_seed006.npz
20,7,227,1.0,0.08048888380226384,0.06757955615975224,2466982.3032157207,85.71272687250243,logs/k_sweep\run_K020_seed007.npz
20,8,39,1.0,0.10812432574439197,0.08955908216126211,447235.83049008594,88.35345897470968,logs/k_sweep\run_K020_seed008.npz
20,9,600,1.0,0.08170969780352769,0.06915336625961205,13766944.195492052,85.61967666658045,logs/k_sweep\run_K020_seed009.npz
30,0,123,1.0,0.010870026520820718,0.0013499872487839502,2008745.2768715434,99.20546829250189,logs/k_sweep\run_K030_seed000.npz
30,1,445,1.0,1.6989616405787396e-16,7.102517421185307e-50,31404969.1477954,100.67277146064156,logs/k_sweep\run_K030_seed001.npz
30,2,89,1.0,0.022384576627492006,0.003257880430960836,1787474.4268594943,94.67273370744275,logs/k_sweep\run_K030_seed002.npz
30,3,558,1.0,0.019080153699393476,0.0006217231224281652,37209788.080496386,103.25659372761706,logs/k_sweep\run_K030_seed003.npz
30,4,600,0.9983333333333333,0.015969862073346188,0.0035635520856610228,15705429.779907038,99.56883166663829,logs/k_sweep\run_K030_seed004.npz
30,5,104,1.0,0.023953947424933866,0.0032619932592839332,1480536.5212430009,93.61311153875599,logs/k_sweep\run_K030_seed005.npz
30,6,120,1.0,0.018245932762047005,0.004137196433908501,2206247.5380551326,94.17388583327313,logs/k_sweep\run_K030_seed006.npz
30,7,34,1.0,0.02894306557581691,0.005477946858666909,569383.2242541291,98.23777058858575,logs/k_sweep\run_K030_seed007.npz
30,8,600,0.9983333333333333,0.018250540427230583,0.0024946785939380946,2541849.145181973,105.28114766664658,logs/k_sweep\run_K030_seed008.npz
30,9,600,0.9983333333333333,0.018388131549488648,0.0028174643847686423,5330313.555137936,102.53254383334327,logs/k_sweep\run_K030_seed009.npz
40,0,56,1.0,1.0872422521501783e-05,0.028575933366229527,2959626.2279546238,116.14512500013267,logs/k_sweep\run_K040_seed000.npz
40,1,77,1.0,1.12398780567399e-05,0.039870158840068816,2295847.603089985,112.24095324662328,logs/k_sweep\run_K040_seed001.npz
40,2,58,1.0,8.999686419332752e-06,0.03301739411768371,9200708.955028478,115.02633103429679,logs/k_sweep\run_K040_seed002.npz
40,3,600,0.9666666666666667,7.127829713344568e-07,0.03392158235800332,821799.2088218755,113.40316116674028,logs/k_sweep\run_K040_seed003.npz
40,4,33,1.0,6.8102580839689374e-06,0.038637252678630454,619294.440013918,112.36081818181749,logs/k_sweep\run_K040_seed004.npz
40,5,238,1.0,3.328763491573342e-06,0.027030914530712002,2307093.035135871,119.93063193277071,logs/k_sweep\run_K040_seed005.npz
40,6,61,1.0,8.485253772348085e-06,0.03903626138261318,2115515.7730951314,109.39006065579082,logs/k_sweep\run_K040_seed006.npz
40,7,33,1.0,2.433881646836957e-05,0.04287912715937104,1261398.9548344866,107.81881818206095,logs/k_sweep\run_K040_seed007.npz
40,8,278,0.9964028776978417,3.3283528102271894e-06,0.03217631152526351,28173630.93420528,110.4427719424853,logs/k_sweep\run_K040_seed008.npz
40,9,28,1.0,2.114497692418729e-05,0.05252028642319031,5854162.411618437,112.05014285730742,logs/k_sweep\run_K040_seed009.npz
50,0,38,1.0,1.4854974811218742e-05,0.0883732059479784,1180641.0293772898,123.20117105245069,logs/k_sweep\run_K050_seed000.npz
50,1,258,1.0,9.073295212073661e-06,0.06636147377349971,22174495.470428742,124.98540852709627,logs/k_sweep\run_K050_seed001.npz
50,2,37,1.0,2.080180773263976e-05,0.0935002633726681,908523.6242918336,120.26835135131134,logs/k_sweep\run_K050_seed002.npz
50,3,63,1.0,1.287925332746311e-05,0.07781686933769462,15398074.447948867,113.56481269819871,logs/k_sweep\run_K050_seed003.npz
50,4,26,1.0,2.0788519041698674e-05,0.08886769165741241,1005072.7650431808,120.53198076878638,logs/k_sweep\run_K050_seed004.npz
50,5,31,1.0,1.8689852378970202e-05,0.0963893721418673,1275779.7471486535,135.6986193547322,logs/k_sweep\run_K050_seed005.npz
50,6,38,1.0,2.0307761484013876e-05,0.08105396784081667,1061366.328886241,129.05274210559008,logs/k_sweep\run_K050_seed006.npz
50,7,55,1.0,9.466616346516986e-06,0.1000470929836508,1472027.264844663,138.51513272767824,logs/k_sweep\run_K050_seed007.npz
50,8,43,1.0,1.2051727029873538e-05,0.10098771373744507,1005599.2526644678,133.31565581384618,logs/k_sweep\run_K050_seed008.npz
50,9,32,1.0,2.089306585247493e-05,0.0801490468359085,876133.3722613119,137.89246562487278,logs/k_sweep\run_K050_seed009.npz
60,0,447,0.9932885906040269,2.6420370178036222e-05,0.11356480879800797,35446819.24643086,165.37151454133667,logs/k_sweep\run_K060_seed000.npz
60,1,163,0.9938650306748467,2.404360415559661e-05,0.13254584022006838,4879237.35955766,146.0765963192173,logs/k_sweep\run_K060_seed001.npz
60,2,32,1.0,2.7729491319171123e-05,0.14428484663471894,1432201.5948039847,153.35748437496477,logs/k_sweep\run_K060_seed002.npz
60,3,211,1.0,2.4843134173279796e-05,0.12273788056026823,6524896.679892168,147.9229284358169,logs/k_sweep\run_K060_seed003.npz
60,4,164,1.0,2.5870905910056935e-05,0.1360434702846324,7149093.73814288,153.76733414650073,logs/k_sweep\run_K060_seed004.npz
60,5,55,1.0,2.8543456042607605e-05,0.14950254088376194,5131343.932041103,146.82113636378992,logs/k_sweep\run_K060_seed005.npz
60,6,44,1.0,2.1226217951452465e-05,0.15632719773265893,1530155.795202126,147.3406159092602,logs/k_sweep\run_K060_seed006.npz
60,7,26,1.0,3.511837857808396e-05,0.1474794246174751,5040203.586441347,145.5199115382409,logs/k_sweep\run_K060_seed007.npz
60,8,36,1.0,2.958028183277984e-05,0.14374777783074172,1171940.4178116466,155.305908333705,logs/k_sweep\run_K060_seed008.npz
60,9,468,0.9978632478632479,2.3633400752458866e-05,0.10912545627438376,34195275.95770366,144.91034487175958,logs/k_sweep\run_K060_seed009.npz
70,0,28,1.0,4.395613865344198e-05,0.19241753976517792,1193335.192461849,160.41088571442484,logs/k_sweep\run_K070_seed000.npz
70,1,26,0.9615384615384616,4.3037808008750594e-05,0.2057794571476563,6452354.613784415,139.18912307683337,logs/k_sweep\run_K070_seed001.npz
70,2,150,1.0,3.384789220869765e-05,0.19061770147951546,10426742.077860024,170.9256000000702,logs/k_sweep\run_K070_seed002.npz
70,3,600,0.96,3.301893216014276e-05,0.16755494782815303,15056702.777451098,141.2661193332739,logs/k_sweep\run_K070_seed003.npz
70,4,194,1.0,3.7907086744176696e-05,0.07718598097369014,16740450.516079895,169.07419226807872,logs/k_sweep\run_K070_seed004.npz
70,5,600,0.995,3.341615993192716e-05,0.182796865334628,25855246.644175038,148.53461183321392,logs/k_sweep\run_K070_seed005.npz
70,6,569,0.9982425307557118,3.396699081058389e-05,0.1823280787860835,62244783.475095764,166.17663637955147,logs/k_sweep\run_K070_seed006.npz
70,7,34,1.0,4.1066745095739044e-05,0.1906637905892773,2597551.105666773,167.4350235297264,logs/k_sweep\run_K070_seed007.npz
70,8,295,0.9898305084745763,3.1807416995344507e-05,0.15900498448656322,27762908.86032996,158.49038305088348,logs/k_sweep\run_K070_seed008.npz
70,9,600,0.9933333333333333,3.2160160274052104e-05,0.14399792998895675,77473988.0695993,158.52426583323904,logs/k_sweep\run_K070_seed009.npz
80,0,87,0.9885057471264368,4.081873460222538e-05,0.22452455897282575,18835177.50266313,170.09639080428857,logs/k_sweep\run_K080_seed000.npz
80,1,234,0.9914529914529915,4.184260528800987e-05,0.21020057624221733,40209441.34023456,174.43770256386804,logs/k_sweep\run_K080_seed001.npz
80,2,600,0.9833333333333333,4.5610484263425935e-05,0.2162129823582041,22472081.071744792,154.55229699997895,logs/k_sweep\run_K080_seed002.npz
80,3,600,0.9883333333333333,4.593732405076994e-05,0.22767039494276908,59096945.26384141,167.701232166631,logs/k_sweep\run_K080_seed003.npz
80,4,350,0.9971428571428571,4.456666577159806e-05,0.19713950777875772,46564254.36437933,179.4165937142056,logs/k_sweep\run_K080_seed004.npz
80,5,486,0.9897119341563786,4.219737937366981e-05,0.2006584146445586,78876957.90260182,187.9620302470245,logs/k_sweep\run_K080_seed005.npz
80,6,185,0.9945945945945946,4.325750935421022e-05,0.23306667939574394,34324236.84705446,174.49882108117595,logs/k_sweep\run_K080_seed006.npz
80,7,326,1.0,4.194522770080863e-05,0.20345015546936862,45304637.729750186,190.24234601224884,logs/k_sweep\run_K080_seed007.npz
80,8,600,0.995,3.928510572087064e-05,0.20742424592182096,115812719.4299671,173.40812516667333,logs/k_sweep\run_K080_seed008.npz
80,9,573,0.9947643979057592,4.3704789173612235e-05,0.2060296440421483,40213959.26587463,199.8484582895981,logs/k_sweep\run_K080_seed009.npz
90,0,300,0.9966666666666667,5.2228118561836085e-05,0.23049067482836047,18318272.08273381,204.999847666683,logs/k_sweep\run_K090_seed000.npz
90,1,406,0.9950738916256158,5.01562675112929e-05,0.2602176594467281,71456640.1395269,196.93296477842148,logs/k_sweep\run_K090_seed001.npz
90,2,600,0.9933333333333333,4.624845053562908e-05,0.24063729620567192,117137169.9076369,192.77608366661903,logs/k_sweep\run_K090_seed002.npz
90,3,100,1.0,5.6476905377053384e-05,0.2695775786514328,8137275.328369376,198.93496200023947,logs/k_sweep\run_K090_seed003.npz
90,4,374,1.0,5.074129870512124e-05,0.2639376854321753,107259429.16568409,192.23817299475715,logs/k_sweep\run_K090_seed004.npz
90,5,443,0.9977426636568849,5.15135663256673e-05,0.22740210779402312,32742553.483791757,208.12007674945278,logs/k_sweep\run_K090_seed005.npz
90,6,356,0.9915730337078652,4.602892701289213e-05,0.25933639919310303,62517946.477352604,202.06296264052398,logs/k_sweep\run_K090_seed006.npz
90,7,262,0.9961832061068703,4.6506221092669304e-05,0.2563792454513298,41238257.56743028,191.743084351304,logs/k_sweep\run_K090_seed007.npz
90,8,600,0.9883333333333333,4.771561631671035e-05,0.2221513754536004,87676070.48262386,196.57384116668254,logs/k_sweep\run_K090_seed008.npz
90,9,175,0.9885714285714285,5.095182792070262e-05,0.2606608397203232,14780308.258686949,211.47752457132032,logs/k_sweep\run_K090_seed009.npz
100,0,311,0.9935691318327974,5.481626398323493e-05,0.29929160978767444,45121897.37693553,231.50149581978354,logs/k_sweep\run_K100_seed000.npz
100,1,600,0.9816666666666667,5.5129255639243674e-05,0.26435240740141985,99976431.11509326,214.36517683339238,logs/k_sweep\run_K100_seed001.npz
100,2,177,1.0,5.8210989483740935e-05,0.2799735919351592,15302491.8010428,226.44014971765347,logs/k_sweep\run_K100_seed002.npz
100,3,235,1.0,5.621192934180619e-05,0.3039048401138876,23605678.066691432,226.32647787246785,logs/k_sweep\run_K100_seed003.npz
100,4,272,1.0,6.064365898167242e-05,0.25954410977376424,15594264.640077414,220.48789448539912,logs/k_sweep\run_K100_seed004.npz
100,5,349,0.9914040114613181,6.021601017836029e-05,0.2728911245488474,34736796.37049977,228.76947936972823,logs/k_sweep\run_K100_seed005.npz
100,6,250,0.972,5.5366739053695166e-05,0.2955404353987732,58207983.41151643,203.65468200015312,logs/k_sweep\run_K100_seed006.npz
100,7,128,0.9921875,5.952533578144428e-05,0.27815173616883093,17641556.04975731,218.21298750023743,logs/k_sweep\run_K100_seed007.npz
100,8,352,0.96875,6.121560210420012e-05,0.2972566779563997,18575610.748503998,223.81174147731352,logs/k_sweep\run_K100_seed008.npz
100,9,241,0.991701244813278,5.3699787507597465e-05,0.31107664108494304,53539283.997280814,219.72008672196824,logs/k_sweep\run_K100_seed009.npz
110,0,600,0.99,6.369183660922695e-05,0.323169677822314,60152412.23685218,260.95829533337263,logs/k_sweep\run_K110_seed000.npz
110,1,486,0.9876543209876543,6.20843623167825e-05,0.3449710729976052,82831082.80342743,229.45046358011498,logs/k_sweep\run_K110_seed001.npz
110,2,600,0.98,6.445475447174471e-05,0.3062057055806287,78795094.11742458,236.90656199999162,logs/k_sweep\run_K110_seed002.npz
110,3,353,0.9971671388101983,6.699845920746228e-05,0.3343853538993229,45866011.57787871,249.0439923510473,logs/k_sweep\run_K110_seed003.npz
