rho,seed,steps,k_opt_mean,k_opt_var,sigma_min_Ag,slack_max,slack_mean,total_cost,ISE,IAE,mean_solve_time_ms,npz_path
0.005,0,200,40.0,0.0,0.00013106288226353427,0.012984140817840507,0.00048574101787739887,0.06853861682293753,1.5363822859751595e-05,1.761448188193771e-05,142.43873950123088,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.005_gmin1e-06_seed000.npz
0.005,1,200,40.0,0.0,0.0001161711938202013,0.010738630536929042,0.0003694681646793615,0.04597444505426979,1.069191425871762e-05,1.2931839103373307e-05,133.3420760005538,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.005_gmin1e-06_seed001.npz
0.005,2,200,40.0,0.0,0.00016322034685717498,0.004931868723590941,0.00030047221710407753,0.056521761696091355,1.2242880734545105e-05,1.447502245972335e-05,139.23862049981835,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.005_gmin1e-06_seed002.npz
0.005,3,200,40.0,0.0,0.00014921906115019303,0.004368859619653847,0.00028384970710592424,0.04805985815146446,1.0927505748564686e-05,1.3371239984204573e-05,134.38210750086,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.005_gmin1e-06_seed003.npz
0.005,4,200,40.0,0.0,0.00010935640344078833,0.00464349208798363,0.0002499659609963991,0.05940974324119554,1.353888277570083e-05,1.557304390267671e-05,132.84451049999916,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.005_gmin1e-06_seed004.npz
0.01,0,200,40.0,0.0,0.00013106288226353427,0.0066309129826099345,0.0003662997165637588,0.06505134148045763,1.4356921403809151e-05,1.6512909418751294e-05,139.2701764999947,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.01_gmin1e-06_seed000.npz
0.01,1,200,40.0,0.0,0.0001161711938202013,0.010738630536929042,0.0003694681646793615,0.04597444505426979,1.069191425871762e-05,1.2931839103373307e-05,130.59714849980082,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.01_gmin1e-06_seed001.npz
0.01,2,200,40.0,0.0,0.00013920775303526094,0.014756741884158774,0.00038576905581895346,0.05654386370288995,1.2237713950062093e-05,1.4467107389474397e-05,137.27945199920214,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.01_gmin1e-06_seed002.npz
0.01,3,200,40.0,0.0,0.00014921906115019303,0.004368859619653847,0.00028384970710592424,0.04805985815146446,1.0927505748564686e-05,1.3371239984204573e-05,133.03873599958024,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.01_gmin1e-06_seed003.npz
0.01,4,200,40.0,0.0,0.00010935640344078833,0.00464349208798363,0.0002499659609963991,0.05940974324119554,1.353888277570083e-05,1.557304390267671e-05,131.6876485006651,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.01_gmin1e-06_seed004.npz
0.02,0,200,40.0,0.0,0.00013106288226353427,0.012984140817840507,0.00048574101787739887,0.06853861682293753,1.5363822859751595e-05,1.761448188193771e-05,141.5490104991477,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.02_gmin1e-06_seed000.npz
0.02,1,200,40.0,0.0,0.0001161711938202013,0.010738630536929042,0.0003694681646793615,0.04597444505426979,1.069191425871762e-05,1.2931839103373307e-05,129.95346550102113,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.02_gmin1e-06_seed001.npz
0.02,2,200,40.0,0.0,0.00016322034685717498,0.004931868723590941,0.00030047221710407753,0.056521761696091355,1.2242880734545105e-05,1.447502245972335e-05,138.77520399866626,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.02_gmin1e-06_seed002.npz
0.02,3,200,40.0,0.0,0.00014921906115019303,0.004368859619653847,0.00028384970710592424,0.04805985815146446,1.0927505748564686e-05,1.3371239984204573e-05,136.0299379999924,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.02_gmin1e-06_seed003.npz
0.02,4,200,40.0,0.0,0.00010935640344078833,0.00464349208798363,0.0002499659609963991,0.05940974324119554,1.353888277570083e-05,1.557304390267671e-05,134.05915000053938,logs/reacher_adaptive_k_rho_sweep\run_Kmin40_Kmax200_Kstep5_rho0.02_gmin1e-06_seed004.npz
