rho,seed,steps,k_opt_mean,k_opt_var,sigma_min_Ag,slack_max,slack_mean,total_cost,ISE,IAE,mean_solve_time_ms,npz_path
0.05,0,200,42.4,378.23999999999995,1.1889141740675789e-05,0.0297927688709109,0.00040802586716878113,0.058913064633173286,1.2747123623440229e-05,1.5019474506790208e-05,140.76962149847532,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.05_gmin1e-06_seed000.npz
0.05,1,200,40.8,127.35999999999996,2.6274424856869415e-07,0.015357314864727368,0.0004387150779388506,0.043585639698209236,1.0499131409303985e-05,1.250961594654848e-05,140.165536000859,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.05_gmin1e-06_seed001.npz
0.05,2,200,40.8,127.35999999999994,0.00011337094805773489,0.004931868723590941,0.00030895546117238324,0.056526824174031834,1.224445180359851e-05,1.447913104175982e-05,138.84321599951363,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.05_gmin1e-06_seed002.npz
0.05,3,200,42.4,378.23999999999984,0.00011684404714938423,0.004525677329612021,0.00026331231555056,0.0483273914902282,1.1139009682660292e-05,1.367529421064142e-05,143.06308200015337,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.05_gmin1e-06_seed003.npz
0.05,4,200,44.0,624.0,1.1532338142665433e-05,0.009697655382923486,0.0003206851655813668,0.05789060398907476,1.3178904648552392e-05,1.5278781256127677e-05,136.06992850036477,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.05_gmin1e-06_seed004.npz
0.1,0,200,49.6,1443.8400000000006,1.133074393259462e-06,0.00846761311154954,0.00030563266275495255,0.05402059233576196,1.2020330175385564e-05,1.4510910327089434e-05,147.7856339988648,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.1_gmin1e-06_seed000.npz
0.1,1,200,49.6,1443.8400000000006,2.6274424856869415e-07,0.014092122822620422,0.0003635553598795853,0.04372990459140828,1.0608319765860626e-05,1.2663490392203906e-05,154.05611750058597,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.1_gmin1e-06_seed001.npz
0.1,2,200,51.2,1666.5600000000004,6.96290146363889e-06,0.01491481669824278,0.00035434847797935433,0.05960329271248595,1.3104564505357513e-05,1.541619089481725e-05,151.1009429996193,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.1_gmin1e-06_seed002.npz
0.1,3,200,48.0,1216.0,8.546255921707208e-05,0.0038795993028419703,0.00027572045147745755,0.04809522230386573,1.0977021395055119e-05,1.344807920606195e-05,136.89644949889043,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.1_gmin1e-06_seed003.npz
0.1,4,200,50.4,1555.84,3.558132703308572e-07,0.02540853716579755,0.0004944326947936398,0.056634826780456254,1.236487847820005e-05,1.4510002707688967e-05,150.64804500056198,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.1_gmin1e-06_seed004.npz
0.2,0,200,66.4,3527.04,1.6930067244583443e-07,0.0512782007783881,0.0007941455785431757,0.03835721228682129,9.251046570061616e-06,1.1400196941493847e-05,179.06463300081668,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.2_gmin1e-06_seed000.npz
0.2,1,200,68.0,3696.0,2.6274424856869415e-07,0.0115434978232015,0.000315427262492776,0.04305967640972092,1.0303555147729286e-05,1.2335010367432288e-05,169.81415399932303,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.2_gmin1e-06_seed001.npz
0.2,2,200,74.4,4320.64,1.5623689602585104e-07,0.022904750891801107,0.00041275582898318494,0.0379841427280785,9.519493255159282e-06,1.1826600124814041e-05,186.7244185002346,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.2_gmin1e-06_seed002.npz
0.2,3,200,71.2,4018.5600000000013,1.67082989068805e-07,0.0031332996771957396,0.00029671904443728217,0.039454008297672656,9.644304854463821e-06,1.1989019843015741e-05,187.42702849966008,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.2_gmin1e-06_seed003.npz
0.2,4,200,69.6,3859.8399999999992,3.558132703308572e-07,0.006186214150384874,0.0003417449535419401,0.050152086180703596,1.118762544702594e-05,1.3249480062858696e-05,181.88721300059115,logs/reacher_adaptive_k_rho_sweep_2\run_Kmin40_Kmax200_Kstep5_rho0.2_gmin1e-06_seed004.npz
