method,x,sigma_min_Ag,localness,slack_max,kkt_max,rmse_ee,success_rate,total_cost,jerk_sum_sq
adaptive_rho,0.05,1.9011210535156486e-05,nan,0.006787647208924273,nan,nan,nan,0.05652116551166665,nan
adaptive_rho,0.1,1.9226980409767547e-06,nan,0.005703598737744706,nan,nan,nan,0.0483772206360455,nan
adaptive_rho,0.2,2.6156425516997616e-07,nan,0.02521009527405586,nan,nan,nan,0.04020169855778798,nan
adaptive_rho,0.3,2.6156425516997616e-07,nan,0.007292834734478844,nan,nan,nan,0.037808732276360155,nan
adaptive_rho,0.4,2.6156425516997616e-07,nan,0.034445101300704384,nan,nan,nan,0.040512737970751625,nan
adaptive_rho,0.5,2.6156425516997616e-07,nan,0.007435009536739805,nan,nan,nan,0.03430084992660249,nan
adaptive_rho,0.6,2.6156425516997616e-07,nan,0.0033075958047221097,nan,nan,nan,0.02950011495538922,nan
adaptive_rho,0.7,2.533197738777391e-07,nan,0.0033137335760315316,nan,nan,nan,0.02653850269688844,nan
adaptive_rho,0.8,2.533197738777391e-07,nan,0.0026609756391643563,nan,nan,nan,0.026065387782679007,nan
adaptive_rho,0.9,2.533197738777391e-07,nan,0.001749954942254061,nan,nan,nan,0.02390659800396999,nan
adaptive_rho,1.0,2.533197738777391e-07,nan,0.0017196879802090696,nan,nan,nan,0.024069170693601802,nan
