rho,run,steps,k_mean,k_std,k_start10_mean,k_end10_mean
0.05,run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed000.npz,200,41.3,18.33875677356565,40.0,40.0
0.05,run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed001.npz,200,43.9,31.603639030972374,66.0,40.0
0.05,run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed002.npz,200,41.3,18.33875677356565,40.0,66.0
0.05,run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed003.npz,200,40.0,0.0,40.0,40.0
0.05,run_Kmin40_Kmax300_Kstep1_rho0.05_gmin1e-06_seed004.npz,200,42.6,25.86967336477211,40.0,40.0
0.1,run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed000.npz,200,59.5,68.4817493935428,40.0,66.0
0.1,run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed001.npz,200,54.3,59.27486819892558,66.0,92.0
0.1,run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed002.npz,200,55.6,61.74657885259717,40.0,66.0
0.1,run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed003.npz,200,56.9,64.09672378522946,40.0,92.0
0.1,run_Kmin40_Kmax300_Kstep1_rho0.1_gmin1e-06_seed004.npz,200,62.1,72.50924079039858,66.0,40.0
0.2,run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed000.npz,200,90.7,103.01218374541916,92.0,170.0
0.2,run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed001.npz,200,84.2,97.66452784916335,66.0,66.0
0.2,run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed002.npz,200,85.5,98.79144699820931,66.0,144.0
0.2,run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed003.npz,200,85.5,98.79144699820931,92.0,170.0
0.2,run_Kmin40_Kmax300_Kstep1_rho0.2_gmin1e-06_seed004.npz,200,81.6,95.31757445508147,66.0,118.0
0.3,run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed000.npz,200,123.2,121.28379941278224,92.0,40.0
0.3,run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed001.npz,200,110.2,115.42945897820019,92.0,144.0
0.3,run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed002.npz,200,112.8,116.73971046734697,66.0,92.0
0.3,run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed003.npz,200,121.9,120.77412802417577,144.0,170.0
0.3,run_Kmin40_Kmax300_Kstep1_rho0.3_gmin1e-06_seed004.npz,200,114.1,117.36775536747732,66.0,92.0
0.4,run_Kmin40_Kmax300_Kstep1_rho0.4_gmin1e-06_seed000.npz,200,112.8,116.73971046734697,92.0,144.0
0.4,run_Kmin40_Kmax300_Kstep1_rho0.4_gmin1e-06_seed001.npz,200,154.4,129.0606059183049,118.0,248.0
0.4,run_Kmin40_Kmax300_Kstep1_rho0.4_gmin1e-06_seed002.npz,200,158.3,129.4724294975575,66.0,170.0
0.4,run_Kmin40_Kmax300_Kstep1_rho0.4_gmin1e-06_seed003.npz,200,184.3,129.21110633378228,170.0,92.0
0.4,run_Kmin40_Kmax300_Kstep1_rho0.4_gmin1e-06_seed004.npz,200,112.8,116.73971046734695,118.0,92.0
0.5,run_Kmin40_Kmax300_Kstep1_rho0.5_gmin1e-06_seed000.npz,200,164.8,129.8959583666867,144.0,118.0
0.5,run_Kmin40_Kmax300_Kstep1_rho0.5_gmin1e-06_seed001.npz,200,183.0,129.3483668238606,118.0,248.0
0.5,run_Kmin40_Kmax300_Kstep1_rho0.5_gmin1e-06_seed002.npz,200,175.2,129.8959583666867,66.0,170.0
0.5,run_Kmin40_Kmax300_Kstep1_rho0.5_gmin1e-06_seed003.npz,200,176.5,129.83739831034816,170.0,170.0
0.5,run_Kmin40_Kmax300_Kstep1_rho0.5_gmin1e-06_seed004.npz,200,138.8,126.2004754349206,118.0,144.0
0.6,run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed000.npz,200,250.6,101.99823527885174,144.0,300.0
0.6,run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed001.npz,200,254.5,98.79144699820931,144.0,300.0
0.6,run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed002.npz,200,242.8,107.70403892148148,92.0,300.0
0.6,run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed003.npz,200,214.2,122.25530663329097,170.0,300.0
0.6,run_Kmin40_Kmax300_Kstep1_rho0.6_gmin1e-06_seed004.npz,200,251.9,100.95736723984038,118.0,300.0
0.7,run_Kmin40_Kmax300_Kstep1_rho0.7_gmin1e-06_seed000.npz,200,257.1,96.50694275543081,196.0,300.0
0.7,run_Kmin40_Kmax300_Kstep1_rho0.7_gmin1e-06_seed001.npz,200,253.2,99.88873810395243,170.0,300.0
0.7,run_Kmin40_Kmax300_Kstep1_rho0.7_gmin1e-06_seed002.npz,200,271.4,81.35133680524248,196.0,300.0
0.7,run_Kmin40_Kmax300_Kstep1_rho0.7_gmin1e-06_seed003.npz,200,263.6,90.21662817906684,170.0,300.0
0.7,run_Kmin40_Kmax300_Kstep1_rho0.7_gmin1e-06_seed004.npz,200,258.4,95.31757445508147,170.0,300.0
0.8,run_Kmin40_Kmax300_Kstep1_rho0.8_gmin1e-06_seed000.npz,200,261.0,92.83856957105705,196.0,300.0
0.8,run_Kmin40_Kmax300_Kstep1_rho0.8_gmin1e-06_seed001.npz,200,268.8,84.48999940821399,170.0,300.0
0.8,run_Kmin40_Kmax300_Kstep1_rho0.8_gmin1e-06_seed002.npz,200,275.3,76.23588393925789,222.0,300.0
0.8,run_Kmin40_Kmax300_Kstep1_rho0.8_gmin1e-06_seed003.npz,200,270.1,82.94570513293621,170.0,300.0
0.8,run_Kmin40_Kmax300_Kstep1_rho0.8_gmin1e-06_seed004.npz,200,267.5,85.98691760959919,170.0,300.0
0.9,run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed000.npz,200,276.6,74.40725771052176,248.0,300.0
0.9,run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed001.npz,200,274.0,78.0,144.0,300.0
0.9,run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed002.npz,200,277.9,72.50924079039858,222.0,300.0
0.9,run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed003.npz,200,270.1,82.94570513293621,170.0,300.0
0.9,run_Kmin40_Kmax300_Kstep1_rho0.9_gmin1e-06_seed004.npz,200,270.1,82.94570513293621,170.0,300.0
1.0,run_Kmin40_Kmax300_Kstep1_rho1_gmin1e-06_seed000.npz,200,268.8,84.48999940821399,248.0,300.0
1.0,run_Kmin40_Kmax300_Kstep1_rho1_gmin1e-06_seed001.npz,200,270.1,82.94570513293621,144.0,300.0
1.0,run_Kmin40_Kmax300_Kstep1_rho1_gmin1e-06_seed002.npz,200,271.4,81.35133680524248,248.0,300.0
1.0,run_Kmin40_Kmax300_Kstep1_rho1_gmin1e-06_seed003.npz,200,277.9,72.50924079039858,170.0,300.0
