rho,runs,median_k_opt_mean,median_k_opt_var,median_sigma_min_Ag,median_slack_max,median_slack_mean,median_total_cost,median_mean_solve_time_ms,p10_total_cost,p90_total_cost
0.05,5,41.3,336.31,1.9011210535156486e-05,0.006787647208924273,0.00031550780635484387,0.05652116551166665,141.32405100011965,0.04234105467619682,0.05883262912101295
0.1,5,56.9,4108.39,1.9226980409767547e-06,0.005703598737744706,0.0003190716813084792,0.0483772206360455,162.66202850019909,0.03844771527602438,0.055830824745710175
0.2,5,85.5,9759.75,2.6156425516997616e-07,0.02521009527405586,0.0004961613529253234,0.04020169855778798,209.9994070008688,0.03682611276831065,0.08086714017144597
0.3,5,114.1,13775.19,2.6156425516997616e-07,0.007292834734478844,0.00034751009711635016,0.037808732276360155,275.88488399938797,0.03470760138474196,0.050157174959695905
0.4,5,154.4,16656.639999999996,2.6156425516997616e-07,0.034445101300704384,0.0006075764707067858,0.040512737970751625,376.46524999989197,0.029710576331551514,0.06350203556697763
0.5,5,175.2,16857.75,2.6156425516997616e-07,0.007435009536739805,0.0003731341335276074,0.03430084992660249,417.84971250002855,0.03027735992436992,0.040315407201238274
0.6,5,250.6,10403.639999999996,2.6156425516997616e-07,0.0033075958047221097,0.00016157744883631877,0.02950011495538922,1076.7664245021297,0.026305882979180538,0.031886365503101415
0.7,5,258.4,9085.44,2.533197738777391e-07,0.0033137335760315316,0.00016206806682060628,0.02653850269688844,1173.1974500007345,0.024722144061324246,0.027306868578376962
0.8,5,268.8,7138.560000000001,2.533197738777391e-07,0.0026609756391643563,0.00015044738212894747,0.026065387782679007,1181.3130569996429,0.02350682942948796,0.028909691614908826
0.9,5,274.0,6084.0,2.533197738777391e-07,0.001749954942254061,0.00014343224506399916,0.02390659800396999,1235.5523529993661,0.02357133599487079,0.025621655314184113
1.0,5,270.1,6879.990000000002,2.533197738777391e-07,0.0017196879802090696,0.00013861649401967368,0.024069170693601802,1215.4320965004445,0.02329856574031996,0.02520677183711167
