method,x,sigma_min_Ag,localness,slack_max,kkt_max,rmse_ee,success_rate,total_cost,jerk_sum_sq
adaptive_rho,0.1,1.5401114478532523e-05,1.1706509496497712,0.019388577839328066,20055895.96822035,0.057974837016488076,0.0,0.02930228058428734,nan
adaptive_rho,0.2,3.6435019067554287e-07,1.2710897828653853,0.007049385364987646,20052740.684771247,0.054337974605053865,0.0,0.026659229560834236,nan
adaptive_rho,0.3,2.786906952248971e-07,1.2939515937604835,0.00879706928705017,20051979.929566283,0.052863840007955326,0.0,0.024939262931386298,nan
adaptive_rho,0.4,2.786906952248971e-07,1.3394954285112437,0.00955828620042582,20051979.929566283,0.05265186499969214,0.1,0.02528053675617756,nan
adaptive_rho,0.5,2.786906952248971e-07,1.4579450676505776,0.002152259269502988,20051655.043629956,0.05184608220542845,0.8,0.02465813949305881,nan
adaptive_rho,0.6,2.786906952248971e-07,1.4867438738754362,0.0016290776601560915,20051655.043629956,0.05082951505821214,1.0,0.02369280195850336,nan
adaptive_rho,0.7,2.7176759665532564e-07,1.5101225894699475,0.001568065947018749,20051214.721746683,0.04940649876800434,1.0,0.022381076547801318,nan
adaptive_rho,0.8,2.7176759665532564e-07,1.5199610543541364,0.0014779265740084203,20051214.721746683,0.04873995293983874,1.0,0.022261692796111322,nan
adaptive_rho,0.9,2.7176759665532564e-07,1.525930687984083,0.0019684079283380793,20051214.721746683,0.04738459517172676,1.0,0.021189638165599045,nan
adaptive_rho,1.0,2.7176759665532564e-07,1.5406868477793476,0.0014083522701661625,20051214.721746683,0.047842670332184964,1.0,0.02150033288717438,nan
