rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.1,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,67.72399205434665,83.7826964983833,20.0
0.2,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,67.72399205434665,85.36695200047689,20.0
0.3,5,0.06560160516027391,93.38075188198755,1.7117842122877465,0.2920529560706383,20065152.83035005,0.13398896057852985,0.0,0.15063150095585476,71.61810542510202,85.40709599968977,20.0
0.4,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,65.86923550318558,87.77795000147307,20.0
0.5,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,67.72399205434665,83.62511349958368,20.0
0.6,5,0.0695269239276218,94.88264178031388,1.6342019137830863,0.30901973921558823,20059926.608395725,0.10972791202490603,0.0,0.10111418324274683,58.09592020971067,86.11211250012275,20.0
0.7,5,0.06714437869512226,93.24482737776302,1.710163490880979,0.30901973921558823,20059926.608395725,0.10990902505717146,0.0,0.10113629237323281,57.909492880810575,91.65350749943173,20.0
0.8,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,67.72399205434665,89.1268594993744,20.0
0.9,5,0.0695269239276218,93.38075188198755,1.6783675053567806,0.2920529560706383,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,71.54483233625238,86.54900699708378,20.0
1.0,5,0.0695269239276218,93.38075188198755,1.7117842122877465,0.30901973921558823,20059286.862106707,0.10990902505717146,0.0,0.10113629237323281,67.72399205434665,85.48604300041916,20.0
