mode,seed,K,rho,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,40,0.1,200,41.4,390.0400000000001,0.00021115142456857978,7368.703677053086,2.5326157678893697,0.09160577004343017,0.0008336666735268808,20054467.290036034,0.00030987026015554545,0.025,0.07154626372000412,0.13191024592981568,0.18933254054304896,0.06979574523592769,0,9.07805158769526,13.635855954596,1.01514907048693,0.01,0.05318067518806531,1.2744907582169908e-05,1.5791549092828394e-05,128.06645749980817,25613.291499961633,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.1_Kmin40_Kmax320_Kstep1_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.1,200,52.6,3369.239999999999,2.5591488763227213e-06,111800.20859497659,2.3019765369810368,0.0025298678613668605,0.00026577253125396264,20042940.591843378,3.699004161094879e-06,0.005,0.07511408758188966,0.12431300604458505,0.1845795350613701,0.07086785862708943,0,6.418276662249722,9.25127574907532,0.7882032014374769,0.005,0.05008385151380636,1.4183610250735684e-05,1.635000347183144e-05,176.9497809986933,35389.95619973866,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.1_Kmin40_Kmax320_Kstep1_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.1,200,66.6,6740.44,3.2479062891632296e-05,64198.78287094348,2.409661558864505,0.0021040094286715475,0.0002538393023942433,20055299.81299714,4.598171928262227e-06,0.005,0.07598575305063932,0.11369967589593633,0.1965072841060796,0.059037813592929235,0,6.74857997051837,10.154894849024856,1.123924122069211,0.0,0.052284371435785224,1.4275783518235321e-05,1.6552046540797173e-05,256.90429849666543,51380.85969933309,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.1_Kmin40_Kmax320_Kstep1_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.1,200,56.8,4421.76,3.863232325002231e-05,42583.71011702074,2.341987649408083,0.001610647497356646,0.00028785897800659676,20054479.24627411,3.994170912899435e-06,0.0,0.08061252749138444,0.1331716936857735,0.2005980452050341,0.060936633413280726,0,6.7553486063872095,10.183694262869407,1.0042514894094443,0.005,0.05729541860411383,1.510614869060603e-05,1.7808779334502907e-05,217.41094100114424,43482.18820022885,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.1_Kmin40_Kmax320_Kstep1_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.1,200,79.2,9439.360000000002,5.456426061836283e-06,152015.84363932704,2.2488200215792986,0.0018189277146802175,0.00021768527353581952,20054541.66776483,4.969061555134854e-06,0.005,0.08192783765706993,0.11754973369852334,0.18075376050906805,0.05702270255634924,0,4.3981933350103235,6.628037866020785,0.6234851480346095,0.0,0.057275166439523885,1.585506129039144e-05,1.7406257902301422e-05,312.10327650245745,62420.65530049149,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.1_Kmin40_Kmax320_Kstep1_gmin1e-06_seed004.npz
adaptive_rho,0,40,0.2,200,45.6,1536.6399999999996,1.2629652263602351e-05,59001.07264158592,2.203377422469776,0.009140466835282447,0.000409319386535651,20054467.290036034,1.3047213330549368e-05,0.01,0.08319111751329089,0.13191024592981568,0.18933254054304896,0.08346745877234649,0,11.137105202077151,17.628069061412333,1.0315058962545984,0.015,0.06630448429733252,1.5709342278272943e-05,2.0002210637497152e-05,140.34555400168756,28069.110800337512,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.2_Kmin40_Kmax320_Kstep1_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.2,200,76.4,8867.040000000003,2.5591488763227213e-06,196412.27058127706,2.5008212622881634,0.0017607168628076008,0.0003324835837944866,20042940.591843378,5.357420538913895e-06,0.0,0.07744525350831914,0.12431300604458505,0.1845795350613701,0.08111789558101282,0,9.008494569017415,17.806125952137478,1.037325780403748,0.01,0.05489159167167808,1.4256512021225e-05,1.7572437534374156e-05,292.26548300124705,58453.09660024941,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.2_Kmin40_Kmax320_Kstep1_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.2,200,72.2,7979.16,3.311916957573774e-05,71110.25070560306,2.573204309415545,0.0023547591939086917,0.0003324564480305968,20055299.81299714,5.037201853925986e-06,0.0,0.06898477965222205,0.11369967589593633,0.1965072841060796,0.05814022810480094,0,9.303270937047715,15.787810071209101,0.8579547729375184,0.015,0.048259294215538394,1.2210988326020216e-05,1.5302064419211956e-05,266.520077502355,53304.015500470996,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.2_Kmin40_Kmax320_Kstep1_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.2,200,82.0,9996.0,2.1068881217307237e-05,96789.54651687594,2.5193868507314288,0.00448514664608074,0.00034889252393922876,20054479.24627411,8.001472561491401e-06,0.01,0.07746025404511578,0.1331716936857735,0.2005980452050341,0.04310550873553622,0,8.907217494423378,14.015435010860273,0.885512637657311,0.015,0.053452049388642224,1.4017355429229944e-05,1.7120249525696524e-05,310.9062455018284,62181.249100365676,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.2_Kmin40_Kmax320_Kstep1_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.2,200,73.6,8279.04,5.456426061836283e-06,126311.99818601011,2.706156691635325,0.020820972158439095,0.0005083598069438763,20054541.66776483,8.428405706745683e-05,0.01,0.0674169347033191,0.11754973369852334,0.18075376050906805,0.052794519030091316,0,13.691030851616874,25.16683494853928,1.1451719564776528,0.02,0.0468157003508568,1.2170371966277214e-05,1.5429313994767332e-05,257.61288949957816,51522.57789991563,logs/reacher_cdc_adapt_rho_sweep_kmin_40_randomwalk\run_adaptive_rho_K040_rho0.2_Kmin40_Kmax320_Kstep1_gmin1e-06_seed004.npz
