file,mode,noise,K,rho,cost,rmse,success,slack,sigma,solve_ms,sse,reach_time,reach_hit
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.1,0.2397279370382206,0.08788446064645469,0.0,2.740192811206464,2.4197051374223386e-05,142.9826616651068,0.07567388045052996,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.1,0.10901719758958812,0.051715937510725764,0.0,0.032581383586920865,4.5389564460447965e-07,155.1741193329993,0.028059240975431287,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.1,0.13671845449813272,0.06050213390505732,0.0,2.7494858183910305,0.0001299147690435469,144.87185600106992,0.035872539426773556,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.1,0.11768175176287093,0.054545907493979445,0.0,1.980216161301275,1.928124564348144e-05,149.37360549976196,0.047990860599728506,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.1,0.13090693402720066,0.05696807427459201,0.0,0.9791399777015153,3.190663281762348e-05,148.56102300002627,0.05300736008970301,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.1,0.12118688913608662,0.0569978755594578,0.0,0.05753272701764835,3.4851484801005664e-05,140.9747961659256,0.0493637425452874,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.1,0.11464546222088318,0.052164220049430714,0.0,0.05094374886513693,2.159249666691446e-05,159.29434216726804,0.018775888532946566,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.1,0.13398274712053393,0.06127005355108594,0.0,0.025414410707971506,2.3965855321896698e-05,149.13177566602826,0.026049320122296153,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.1,0.14319663229002316,0.06347123489275616,0.0,5.502924450252033,2.4472568355967076e-05,142.5499248324195,0.06403819159131727,600.0,0.0
run_adaptive_rho_K040_rho0.1_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.1,0.13648943757542825,0.057449077375246904,0.0,0.05865568234327187,2.5663762700914994e-07,162.6544406672474,0.052633203259704685,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.2,0.12540364427227332,0.05595839003727086,0.0,0.03280251293326053,2.6609920161647264e-07,203.75640566577204,0.043973083093249835,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.2,0.11244814140124935,0.051766486677334654,0.0,0.02730264720279542,4.5389564460447965e-07,219.69562583321627,0.02740821518100094,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.2,0.14663983128190328,0.062219531423382456,0.0,0.16037927158207205,6.781702175038602e-06,232.00742316509908,0.04306092652008004,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.2,0.24714900020423378,0.09099839097133451,0.0,3.346329055663848,2.523152650881606e-07,185.98482216659855,0.1083610186773023,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.2,0.12668172408837938,0.057663074515362296,0.0,2.182714616561795,3.0067526023228097e-05,189.47127399772094,0.03069758588847482,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.2,0.27066913609655024,0.09613489801610581,0.0,3.5419878325197054,2.072497386822445e-05,152.8252343334801,0.11075774401848322,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.2,0.11936199063033617,0.0544252899417185,0.0,0.03503539541618028,2.354914623372799e-07,215.6441738345893,0.04954270752110068,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.2,0.20577709963647947,0.08293149874647923,0.0,3.7436537887396044,4.378558494933408e-07,171.81326083334474,0.10966427596564784,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.2,0.1408054211260072,0.06442876346949057,0.0,0.7317932228907085,8.669920560182988e-06,183.99564166436903,0.07218154229180208,600.0,0.0
run_adaptive_rho_K040_rho0.2_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.2,0.1443325835327798,0.06192324830705828,0.0,1.7015743919128812,2.5663762700914994e-07,192.6282549997753,0.07563894567456855,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.3,0.25665900841108363,0.09432441804460183,0.0,3.547641752772772,2.6609920161647264e-07,222.66898866655538,0.11515425251212157,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.3,0.10339489296460841,0.04858580996219112,0.0,0.2863699298065853,4.5389564460447965e-07,307.78917650080984,0.04000597605567207,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.3,0.1217842202639114,0.0535729490880482,0.0,1.4188033796428323,3.849687291735179e-06,306.84310833351145,0.0748293773336963,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.3,0.09769712665095454,0.04425074731334748,0.0,0.046897750818235814,2.523152650881606e-07,305.65585400084575,0.020821604924799016,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.3,0.1204339134026552,0.053828299079738746,0.0,0.043034293693264655,2.957317138196261e-06,297.03916866720346,0.016820497461512394,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.3,0.11260274985344215,0.05313416045110425,0.0,0.09302499531796365,2.2155242394191877e-07,332.07844233411987,0.027211234157572345,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.3,0.12955691595379215,0.05876058210271913,0.0,0.0282583049651789,2.354914623372799e-07,267.95031133350375,0.04466328787354978,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.3,0.1315233036871107,0.058851040293501314,0.0,0.09153478037570677,4.378558494933408e-07,290.81108299879514,0.08896679736179364,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.3,0.1294638903011804,0.05939818334204529,0.0,2.727258255782451,5.462335437523029e-07,259.6284749986565,0.030451085590188765,600.0,0.0
run_adaptive_rho_K040_rho0.3_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.3,0.14114566128458914,0.06402280599990401,0.0,0.07875265272753654,2.5663762700914994e-07,314.29948000150034,0.02199118510427091,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.4,0.13359857707021905,0.058188007197550976,0.0,1.3193574592581752,2.6609920161647264e-07,328.9677251676524,0.06231747439761581,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.4,0.08473209671286033,0.04251669229206072,1.0,0.04406427532143378,4.5389564460447965e-07,473.50260416744277,0.023239001723051496,78.0,1.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.4,0.13465043123236925,0.060550791342156664,0.0,1.29381114812717,2.3586709357729993e-07,393.6627511680126,0.03063296950110748,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.4,0.11546166130699943,0.05161321777563631,0.0,0.028391418148188442,2.523152650881606e-07,373.76868816674687,0.045611783296426886,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.4,0.11171409248578978,0.053060278935349835,0.0,0.061248398755861,2.957317138196261e-06,339.94448283464106,0.0437416620497997,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.4,0.11302995533868088,0.05014053760652229,0.0,2.4596208062841844,2.2155242394191877e-07,377.0834215011564,0.016332258671964896,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.4,0.10933302077721112,0.05401115844790017,0.0,0.02612128983507009,2.354914623372799e-07,387.484908499852,0.013298646963458277,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.4,0.1226715042652229,0.05560652332764953,0.0,0.23795467704013157,4.378558494933408e-07,389.9192953322199,0.08406966033103477,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.4,0.1107217511853686,0.053973400131636144,0.0,1.2854805065120511,5.462335437523029e-07,343.1959051665035,0.02531706098522568,600.0,0.0
run_adaptive_rho_K040_rho0.4_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.4,0.12785368275970369,0.058783287472042776,0.0,0.04285864649165565,2.5663762700914994e-07,403.177278166501,0.02353159780889181,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.5,0.10077803457054697,0.04880168642997096,0.0,1.2278929780009311,2.6609920161647264e-07,490.0298413335501,0.022446078294997004,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.5,0.10512614566249097,0.048454525066482644,0.0,0.10224583890160752,4.5389564460447965e-07,372.2590489993066,0.05458350515152834,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.5,0.11490510992133002,0.05466724647716408,0.0,0.030360000756617607,2.3586709357729993e-07,499.0523823357459,0.06937048958519917,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.5,0.09697642381925144,0.04664970914167139,0.0,0.5066582122018657,2.523152650881606e-07,465.73463850004674,0.017778353885878173,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.5,0.1102853028610003,0.050577921612975286,0.0,0.9568463980877329,2.957317138196261e-06,396.1318868341429,0.01912033298528484,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.5,0.0926256466874788,0.04499349836081015,0.0,0.12451552157541451,2.2155242394191877e-07,426.39885416584247,0.03572214990646645,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.5,0.1115199908266167,0.054793444587504875,0.0,0.028232956034744856,2.354914623372799e-07,487.5015173318873,0.0566797516493421,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.5,0.12170357089316264,0.05502514095686827,0.0,0.12720770446783186,4.378558494933408e-07,493.72971800146235,0.07031730644759251,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.5,0.10621094053191328,0.053131555385179295,0.0,2.070297881783425,5.163367364110634e-07,448.5323251656761,0.03181728653991254,600.0,0.0
run_adaptive_rho_K040_rho0.5_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.5,0.12421049302519681,0.05808230684530422,0.0,0.02785027639391649,2.5663762700914994e-07,483.042352165988,0.04398036998016567,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.6,0.11140686175932134,0.05176580741646574,0.0,0.027700335437039224,2.6609920161647264e-07,469.0508383354366,0.051009230056792546,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.6,0.09132538398999364,0.04464675351759662,0.0,0.1329320209192204,4.5389564460447965e-07,617.425303500689,0.029274032539918775,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.6,0.12324901517231722,0.05823705968600901,0.0,0.05561066775675878,2.3586709357729993e-07,619.8043106669016,0.019321091399550974,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.6,0.11854619473564382,0.055293062421778436,0.0,0.032574139959652276,2.523152650881606e-07,562.0875740009554,0.07635564687705694,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.6,0.08723907121401112,0.04391011948662585,0.0,0.09234451728699775,2.424084036863888e-07,571.2055898326798,0.03658323610844338,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed005.npz,adaptive_rho,0.005,40.0,0.6,0.08884707515736003,0.04407563389968156,0.0,0.05869649533273313,2.2155242394191877e-07,564.4882211672181,0.023187947040122246,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed006.npz,adaptive_rho,0.005,40.0,0.6,0.09982506428839812,0.04886418293722955,0.0,0.02913523278215665,2.354914623372799e-07,555.0151748326607,0.016922540493660924,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed007.npz,adaptive_rho,0.005,40.0,0.6,0.11125384958840744,0.050942374968835774,0.0,0.09320150725387316,4.378558494933408e-07,574.2096284997145,0.0778415336954796,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed008.npz,adaptive_rho,0.005,40.0,0.6,0.09870021872045823,0.04730442385990006,0.0,0.2972979816166832,5.163367364110634e-07,576.1121571648013,0.07154515110176103,600.0,0.0
run_adaptive_rho_K040_rho0.6_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed009.npz,adaptive_rho,0.005,40.0,0.6,0.0972748150266361,0.05057330358460407,0.0,0.02542261603034763,2.5663762700914994e-07,581.9568696670467,0.018035125575722583,600.0,0.0
run_adaptive_rho_K040_rho0.7_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed000.npz,adaptive_rho,0.005,40.0,0.7,0.08583907580811297,0.044168848196772505,0.0,0.030839089285850493,2.6609920161647264e-07,631.0671488314983,0.02839679898634464,600.0,0.0
run_adaptive_rho_K040_rho0.7_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed001.npz,adaptive_rho,0.005,40.0,0.7,0.08826149976347139,0.041723271897526254,0.0,0.027913110742114132,4.5389564460447965e-07,751.782773831607,0.04439759684014868,600.0,0.0
run_adaptive_rho_K040_rho0.7_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed002.npz,adaptive_rho,0.005,40.0,0.7,0.12129262647585001,0.05664298209978542,0.0,0.030515467687878304,2.3586709357729993e-07,606.469081667116,0.05040382726664576,600.0,0.0
run_adaptive_rho_K040_rho0.7_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed003.npz,adaptive_rho,0.005,40.0,0.7,0.07679210701088296,0.03823897031936666,0.0,0.15491444037327712,2.523152650881606e-07,660.801526667492,0.0333889617871063,600.0,0.0
run_adaptive_rho_K040_rho0.7_noise0.005_Kmin40_Kmax300_Kstep1_gmin1e-06_seed004.npz,adaptive_rho,0.005,40.0,0.7,0.0920951168758615,0.04537656867658919,0.0,0.02698692347328217,2.424084036863888e-07,653.1538958336265,0.030227637961426256,600.0,0.0
