mode,seed,K,rho,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
fixed_k,0,20,0.005,200,20.0,0.0,0.07278009936338302,94.37662249027882,1.6783675053567806,0.06707026746952086,0.003045719407962324,20059286.862106707,0.00012836125619364682,0.075,0.13398896057852985,0.1827183485304648,0.1909838144553672,0.07951465805082443,0,27.766050813250427,75.39195994776931,1.3066307232572065,0.055,0.15063150095585476,2.621565890264235e-05,3.443824233962365e-05,87.47011299914448,17494.022599828895,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed000.npz
fixed_k,1,20,0.005,200,20.0,0.0,0.054002204225293976,90.56585639304708,1.9451313764935616,2.788701222613793,0.020901865554313014,20057217.601592086,0.0003055630273587136,0.05,0.09897826001048479,0.16110613673722643,0.18508329007727697,0.11560526621216016,0,28.22087350407846,67.72399205434665,1.4141613885751914,0.11,0.08832079281694093,1.896299524821499e-05,2.31040140993494e-05,91.66574249975383,18333.148499950767,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed001.npz
fixed_k,2,20,0.005,200,20.0,0.0,0.0781083300847758,97.61380629764764,1.8169847533118397,0.2920529560706383,0.005607988231022123,20059926.608395725,0.00015681641777543813,0.075,0.10824219334299548,0.16159097781008616,0.1965072841060796,0.07725354750184017,0,28.689904304338302,75.234380847556,1.3557985374892367,0.12,0.10240691754217221,1.9820466311139184e-05,2.495272912495476e-05,90.25856449909043,18051.712899818085,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed002.npz
fixed_k,3,20,0.005,200,20.0,0.0,0.06560160516027391,92.93146017183768,1.7989284935689238,0.30901973921558823,0.009888884684237811,20098560.280392647,0.00011109224345657601,0.125,0.15680756067792984,0.20665390985757692,0.20838994865883428,0.1148551538291343,0,23.70750229616253,61.82173722769069,1.4144547669323462,0.085,0.20558556797935165,3.0359764392690304e-05,3.9018980834826795e-05,85.60462500056019,17120.925000112038,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed003.npz
fixed_k,4,20,0.005,200,20.0,0.0,0.0695269239276218,90.19373317992489,1.407355614854757,0.021187228655897297,0.0016050489008362287,20056819.050302926,6.955837180132614e-05,0.11,0.10990902505717146,0.14147594724301432,0.18075376050906805,0.07893146990301848,0,17.200760807127473,45.614079265319944,1.3626919096345538,0.025,0.10113629237323281,2.1695172891416134e-05,2.7329943801183042e-05,86.75942150090123,17351.884300180245,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed004.npz
fixed_k,5,20,0.005,200,20.0,0.0,0.07713180433025302,90.71606381590922,1.093361602744552,0.06062506403970741,0.0025319396921825543,20056310.90661089,0.00021369172345137583,0.225,0.1056191084796904,0.1557766742007599,0.18032128630000863,0.11975696179814176,0,9.019799655900702,23.125493196599194,1.0915936158567843,0.015,0.0931713674970443,2.055371042065753e-05,2.6006242727977544e-05,98.47557400265941,19695.114800531883,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed005.npz
fixed_k,6,20,0.005,200,20.0,0.0,0.07242752169883516,105.78538908795058,1.3168750959575848,0.029273638538339086,0.0014965558475133094,20059417.167172514,0.00011271362877635286,0.125,0.1140042378287131,0.1783820142557324,0.19058321738565628,0.061450555097460446,0,15.878624755831828,39.06897692866354,1.1618329107315253,0.05,0.1108565787004526,2.1741914705100513e-05,2.790574892209346e-05,92.70658000023104,18541.31600004621,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed006.npz
fixed_k,7,20,0.005,200,20.0,0.0,0.05683735173741927,108.9276924269968,1.4757407804892524,0.14464395486106468,0.003918004198966033,20082200.745007776,9.181284263773274e-05,0.075,0.12554175816541527,0.1737542369300425,0.183294669179229,0.08157819104286321,0,20.393566046011497,53.301151032647994,1.355367583460189,0.06,0.13357107434382304,2.4157977929913873e-05,3.14137848149166e-05,87.66734149830882,17533.468299661763,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed007.npz
fixed_k,8,20,0.005,200,20.0,0.0,0.07960330441416484,91.05858032748934,1.4153844092410313,0.03087916934097379,0.0020322422250708223,20056785.451658726,0.00010831879106254284,0.145,0.10962308912237231,0.1522399627316328,0.18784995195697984,0.09113252899911589,0,16.94814748383849,41.28806760498897,1.0878065952373097,0.04,0.100748234739581,2.147232711470702e-05,2.784734476240768e-05,89.86007849947782,17972.015699895564,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed008.npz
fixed_k,9,20,0.005,200,20.0,0.0,0.06834673854706466,97.73928872064967,1.668967193088054,0.9601931454510597,0.011268102578262584,20057626.76063382,0.0003697103881086725,0.12,0.10150694825467163,0.1596411810512743,0.1845092985691772,0.06207405214826239,0,22.807766907148178,59.70114666329581,1.1038659856907342,0.07,0.08941397572026456,1.837224569030273e-05,2.345829683969668e-05,93.20573800068814,18641.14760013763,logs/reacher_cdc_fixed_seed10\run_fixed_k_K020_rho0.005_Kmin20_Kmax320_Kstep10_gmin1e-06_seed009.npz
