method,x,sigma_min_Ag,localness,slack_max,kkt_max,rmse_ee,success_rate,total_cost,jerk_sum_sq
fixed_k,40.0,9.432203707234958e-05,nan,nan,nan,nan,nan,0.04494326188702118,nan
fixed_k,50.0,2.0347957289796901e-10,nan,nan,nan,nan,nan,0.03261887003787563,nan
fixed_k,60.0,3.599473330444121e-08,nan,nan,nan,nan,nan,0.028386302281821194,nan
fixed_k,70.0,4.875803638188224e-08,nan,nan,nan,nan,nan,0.024708327910268897,nan
fixed_k,80.0,6.249069404392242e-08,nan,nan,nan,nan,nan,0.024659215520343836,nan
fixed_k,90.0,7.482492387718788e-08,nan,nan,nan,nan,nan,0.022017647934970918,nan
fixed_k,100.0,7.876489241542676e-08,nan,nan,nan,nan,nan,0.02090580709700509,nan
fixed_k,110.0,9.441386667177924e-08,nan,nan,nan,nan,nan,0.019854481310031657,nan
fixed_k,120.0,1.0715028055095728e-07,nan,nan,nan,nan,nan,0.020009076059919192,nan
fixed_k,130.0,1.1605275617694197e-07,nan,nan,nan,nan,nan,0.020059029629519408,nan
fixed_k,140.0,1.222161316614222e-07,nan,nan,nan,nan,nan,0.019190499154309624,nan
fixed_k,150.0,1.3250025108682062e-07,nan,nan,nan,nan,nan,0.019069676834822274,nan
fixed_k,160.0,1.344534732655847e-07,nan,nan,nan,nan,nan,0.019438541493543012,nan
fixed_k,170.0,1.3878373703139385e-07,nan,nan,nan,nan,nan,0.01938736514055973,nan
fixed_k,180.0,1.519956048857091e-07,nan,nan,nan,nan,nan,0.019455210708151455,nan
fixed_k,190.0,1.6249936308142334e-07,nan,nan,nan,nan,nan,0.018877614601638185,nan
fixed_k,200.0,1.67082989068805e-07,nan,nan,nan,nan,nan,0.019099855980426492,nan
