K,sigma_min_Hu_med,tracking_err_med,slack_max_med,solve_time_med,runs
40,0.016829083992959,1.0453898368022805e-05,0.0082838389067742,135.9170804992027,5
50,0.0581669718257761,8.406579527227065e-06,0.0041340482139932,145.53282200111423,5
60,0.0879661972042242,7.0235154376709625e-06,0.00211598983847,187.5831015012227,5
70,0.1203751554936139,5.870443709555357e-06,0.0026283901404162,230.97032499979832,5
80,0.1446575454195432,5.405760298853619e-06,0.0014231521759583,285.0745595007902,5
90,0.1866162926283149,4.49828825231502e-06,0.0014778231561206,348.2634454978688,5
100,0.203419392698419,4.147063889822687e-06,0.0037384086885996,387.5192524999147,5
110,0.2449077100877114,3.7893089314843895e-06,0.0014595813691665,431.8616785002814,5
120,0.2787712656234993,3.574117191891716e-06,0.0005940953190272,457.292291001213,5
130,0.2936820821690898,3.831278799653744e-06,0.0006094216675506,469.8977550001291,5
140,0.3242515000803745,3.6183845803672607e-06,0.0007728288967453,516.7956134998531,5
150,0.3444422489908668,3.589836201245758e-06,0.0005791979928698,551.0765189997619,5
160,0.3452122501855765,3.436505955650893e-06,0.0012241247157723,541.776886999287,5
170,0.3696362231800205,3.478746112767045e-06,0.0007053819483505,539.686521999829,5
180,0.3966450807000328,3.1553233243908557e-06,0.0026717504771349,662.9267485009041,5
190,0.406171945443008,2.988968785335233e-06,0.0006561398206556,714.4661430001725,5
200,0.4266077666182905,3.079341998999229e-06,0.003467386265732,869.7474039989174,5
