K,seed,steps,sigma_min_Ag,sigma_min_Hu,slack_norm_max,slack_norm_mean,total_cost,ISE,IAE,mean_solve_time_ms,npz_path
40,0,200,8.283560922005479e-05,0.01682908399295921,0.01075091377490681,0.00031911402022934403,0.049912013009589945,1.1420369311088546e-05,1.3691145850773135e-05,129.85114600116503,logs/reacher_k_sweep_quick_fixedK\run_K040_seed000.npz
40,1,200,7.79985076885145e-05,0.012946361972830098,0.005358810296789013,0.0003544956310910765,0.036522244543267406,9.520630814156966e-06,1.181875107986591e-05,137.1057944992208,logs/reacher_k_sweep_quick_fixedK\run_K040_seed001.npz
40,2,200,9.432203707234958e-05,0.01682355903445258,0.012718809551630742,0.0003619961202592336,0.04494326188702118,1.0730082108214303e-05,1.3136200166775928e-05,139.9804939997557,logs/reacher_k_sweep_quick_fixedK\run_K040_seed002.npz
40,3,200,0.00010542591494304754,0.01708925637712874,0.003374459266810992,0.0003785229272562175,0.046699795707103,1.0453898368022803e-05,1.2730594948595589e-05,133.81890749951708,logs/reacher_k_sweep_quick_fixedK\run_K040_seed003.npz
40,4,200,0.00011707818848706799,0.016829083992959085,0.008283838906774248,0.0003289614346170075,0.03971900101078053,9.901253977315294e-06,1.218643989698486e-05,135.9170804992027,logs/reacher_k_sweep_quick_fixedK\run_K040_seed004.npz
50,0,200,6.939158693831545e-11,0.060353959554610585,0.004134048213993274,0.0002274953239317635,0.032700773195878226,8.740605786385667e-06,1.0941428163049245e-05,149.2887315005646,logs/reacher_k_sweep_quick_fixedK\run_K050_seed000.npz
50,1,200,4.102966836286904e-10,0.05816697182577615,0.0022407290363473022,0.00018602168461429375,0.02990243414530531,8.29229556706803e-06,1.0429012279182992e-05,138.99614200141514,logs/reacher_k_sweep_quick_fixedK\run_K050_seed001.npz
50,2,200,5.521923338338873e-11,0.048438192076547634,0.004145977717259092,0.0002437881513213904,0.03261887003787563,8.406579527227065e-06,1.0640792365744452e-05,150.38993350113742,logs/reacher_k_sweep_quick_fixedK\run_K050_seed002.npz
50,3,200,2.0347957289796901e-10,0.05859047216462058,0.010246450080894965,0.0003603209265829144,0.04183465485332426,9.820893793657785e-06,1.2039374106809592e-05,145.53282200111425,logs/reacher_k_sweep_quick_fixedK\run_K050_seed003.npz
50,4,200,1.8136724952775671e-09,0.04691037719301382,0.0017071354594898865,0.00023262792972036868,0.030220172956955272,7.93661066487099e-06,9.901751275501588e-06,144.76283649928519,logs/reacher_k_sweep_quick_fixedK\run_K050_seed004.npz
60,0,200,2.7528876378626498e-08,0.08618846140378057,0.0020618896699616464,0.00024380234899699837,0.029244957694172832,7.123332898503814e-06,8.867352465884448e-06,192.52606100068078,logs/reacher_k_sweep_quick_fixedK\run_K060_seed000.npz
60,1,200,4.853750690124237e-08,0.09313162139952198,0.0021159898384700473,0.00023265999309938563,0.025302094564926974,6.729890897904982e-06,8.497134681678182e-06,191.4149510009156,logs/reacher_k_sweep_quick_fixedK\run_K060_seed001.npz
60,2,200,1.950928790967704e-08,0.08155863989125105,0.024975324581644958,0.00035950077467353475,0.027290940054445666,6.7356136131595154e-06,8.516006074124708e-06,182.45422450025217,logs/reacher_k_sweep_quick_fixedK\run_K060_seed002.npz
60,3,200,3.599473330444121e-08,0.09154231508600762,0.0012885860196854518,0.00021775835026201305,0.028386302281821194,7.0235154376709625e-06,8.801111493255484e-06,184.92797349987086,logs/reacher_k_sweep_quick_fixedK\run_K060_seed003.npz
60,4,200,4.721555208810808e-08,0.08796619720422429,0.002292521458401426,0.0002151262348010141,0.033105300254908536,8.137170652548147e-06,9.914821636117577e-06,187.5831015012227,logs/reacher_k_sweep_quick_fixedK\run_K060_seed004.npz
70,0,200,4.412017031589149e-08,0.12037515549361391,0.002628390140416211,0.00022411856104000732,0.02896094482969568,6.9332060659698725e-06,8.551062909713526e-06,225.98987649951596,logs/reacher_k_sweep_quick_fixedK\run_K070_seed000.npz
70,1,200,6.429720757676348e-08,0.12413926547124093,0.0014863058668201194,0.00021738990356011756,0.02184833652981535,5.672989143581636e-06,7.133614803774783e-06,236.24572450076812,logs/reacher_k_sweep_quick_fixedK\run_K070_seed001.npz
70,2,200,4.094224607375676e-08,0.10854398748618217,0.008720361931179182,0.0002915590322231568,0.024708327910268897,5.712623542607244e-06,7.15849414633872e-06,241.8109799992817,logs/reacher_k_sweep_quick_fixedK\run_K070_seed002.npz
70,3,200,4.875803638188224e-08,0.12318805948295145,0.0012682279604501454,0.00021770820890858284,0.026810533113853143,6.207025317290111e-06,7.782118584922636e-06,228.69097849994432,logs/reacher_k_sweep_quick_fixedK\run_K070_seed003.npz
70,4,200,8.071083708685165e-08,0.11604998958020946,0.0054913600913450876,0.00025629643468562597,0.02455479399088743,5.870443709555357e-06,7.228012978226068e-06,230.97032499979832,logs/reacher_k_sweep_quick_fixedK\run_K070_seed004.npz
80,0,200,5.5651589031050275e-08,0.14562854654677707,0.0010156226863715784,0.00020753980204708298,0.024659215520343836,5.5234465333058565e-06,6.7190919731047705e-06,288.4353245001694,logs/reacher_k_sweep_quick_fixedK\run_K080_seed000.npz
80,1,200,7.620347746301209e-08,0.14465754541954326,0.0032015321644459707,0.00023897916054600114,0.021673510033230703,4.836929368609504e-06,5.874368949054271e-06,285.0745595007902,logs/reacher_k_sweep_quick_fixedK\run_K080_seed001.npz
80,2,200,5.697219291504078e-08,0.13839488069050132,0.001423152175958346,0.00023327885562592326,0.023413112379826767,5.119860265863936e-06,6.301080086724153e-06,281.02345800041803,logs/reacher_k_sweep_quick_fixedK\run_K080_seed002.npz
80,3,200,6.249069404392242e-08,0.1208512295971984,0.002189161090327565,0.0002348720457797635,0.025035391451174335,5.405760298853619e-06,6.668497574751422e-06,299.50851900095586,logs/reacher_k_sweep_quick_fixedK\run_K080_seed003.npz
80,4,200,9.128753161442241e-08,0.14519652902932126,0.0009865434559488853,0.0002214757876345567,0.024912942849684226,5.7195964735693345e-06,6.934412241853117e-06,279.70138950055116,logs/reacher_k_sweep_quick_fixedK\run_K080_seed004.npz
90,0,200,7.482492387718788e-08,0.19043468003067482,0.0050715480270785325,0.00027515607489105254,0.021279854344811864,4.395076519520783e-06,5.337767045225089e-06,349.7556004986109,logs/reacher_k_sweep_quick_fixedK\run_K090_seed000.npz
90,1,200,8.736430661328825e-08,0.1889273313007412,0.0005296502619893664,0.0002083007874303,0.01903642219064349,4.038659760996608e-06,4.8396820997510124e-06,348.2634454978688,logs/reacher_k_sweep_quick_fixedK\run_K090_seed001.npz
90,2,200,6.393259182617773e-08,0.18661629262831497,0.0013026530743216677,0.00023450594474641338,0.0235767248486175,4.8331010151819295e-06,5.864818464077344e-06,341.95999950025,logs/reacher_k_sweep_quick_fixedK\run_K090_seed002.npz
90,3,200,7.15151275464448e-08,0.14883254268820836,0.001478063094952235,0.00023980712779766717,0.02338853245937984,4.49828825231502e-06,5.412920947749039e-06,362.07738449869794,logs/reacher_k_sweep_quick_fixedK\run_K090_seed003.npz
90,4,200,1.067081636357526e-07,0.1592786939285868,0.0014778231561206501,0.00022384986674671274,0.022017647934970918,4.586434677687435e-06,5.433143359820527e-06,347.046821499971,logs/reacher_k_sweep_quick_fixedK\run_K090_seed004.npz
100,0,200,6.778482634790987e-08,0.21561589639664755,0.001484276462571757,0.00023428105185784503,0.024697376261893444,4.685265662312459e-06,5.4417487923480805e-06,394.99109049953404,logs/reacher_k_sweep_quick_fixedK\run_K100_seed000.npz
100,1,200,9.405862037380545e-08,0.203419392698419,0.007015233571794955,0.0002818456286705622,0.01856999900402758,3.758448080362431e-06,4.466447108283401e-06,387.5192524999147,logs/reacher_k_sweep_quick_fixedK\run_K100_seed001.npz
100,2,200,7.498459397757119e-08,0.20080298421993018,0.002309166693028432,0.0002367455413081201,0.02090580709700509,3.9527854021800105e-06,4.743935607335785e-06,394.9163524984033,logs/reacher_k_sweep_quick_fixedK\run_K100_seed002.npz
100,3,200,7.876489241542676e-08,0.1988536232062638,0.003738408688599685,0.0002551740722708283,0.02282515810253603,4.1891266813921025e-06,5.0157120492185575e-06,381.83477200043853,logs/reacher_k_sweep_quick_fixedK\run_K100_seed003.npz
100,4,200,1.1019925855523512e-07,0.2088344420964714,0.004489853703436703,0.0002495386531174319,0.02079611452757251,4.147063889822687e-06,4.870970787249552e-06,374.258600500616,logs/reacher_k_sweep_quick_fixedK\run_K100_seed004.npz
110,0,200,9.441386667177924e-08,0.24682182004296443,0.0014595813691665807,0.00020610536011521818,0.020644208335740925,3.838745241863601e-06,4.528058061728216e-06,432.6482695013692,logs/reacher_k_sweep_quick_fixedK\run_K110_seed000.npz
110,1,200,1.0254117794193269e-07,0.2545912118910015,0.0011198563705917888,0.00021708377203611136,0.01816406182755754,3.5026997654853743e-06,4.103398443711747e-06,436.35053950027213,logs/reacher_k_sweep_quick_fixedK\run_K110_seed001.npz
110,2,200,8.476419295841033e-08,0.24462517025697036,0.0009168705511377931,0.00020780834206005213,0.019854481310031657,3.5599154146900377e-06,4.237880227540844e-06,422.62502549943747,logs/reacher_k_sweep_quick_fixedK\run_K110_seed002.npz
110,3,200,9.020547327058677e-08,0.2449077100877114,0.00213055941388997,0.00020975000887057984,0.02207893754250477,3.976450125055836e-06,4.68995919686373e-06,427.23316950025037,logs/reacher_k_sweep_quick_fixedK\run_K110_seed003.npz
110,4,200,1.151120963518083e-07,0.24244611735808663,0.002252047246261032,0.00020715519216790468,0.019662799409046944,3.7893089314843895e-06,4.384118130914574e-06,431.8616785002814,logs/reacher_k_sweep_quick_fixedK\run_K110_seed004.npz
120,0,200,1.0795073965481991e-07,0.27899764123359305,0.0005940953190272491,0.0001785449941359324,0.019588258409833387,3.574117191891716e-06,4.233963997722115e-06,462.82358849901357,logs/reacher_k_sweep_quick_fixedK\run_K120_seed000.npz
120,1,200,1.0715028055095728e-07,0.27978100937354927,0.0005118638313628839,0.0001645069407092035,0.017917134171164546,3.5314915190481727e-06,4.173013365389084e-06,457.292291001213,logs/reacher_k_sweep_quick_fixedK\run_K120_seed001.npz
120,2,200,9.340467781763304e-08,0.2783051115385469,0.0024558785215045547,0.00018516029865035748,0.020009076059919192,3.516302537149983e-06,4.226621795953906e-06,460.8656994992634,logs/reacher_k_sweep_quick_fixedK\run_K120_seed002.npz
120,3,200,1.0295577924052679e-07,0.2501347789702619,0.00045348116136298633,0.0001684759382612323,0.022674661723496723,4.118984599231994e-06,4.9113135220079964e-06,454.3621844990412,logs/reacher_k_sweep_quick_fixedK\run_K120_seed003.npz
120,4,200,1.1984505688434892e-07,0.2787712656234993,0.001571940503852157,0.0001794827691534285,0.023014870909149398,4.481623469511422e-06,5.176383577170871e-06,451.0933955012297,logs/reacher_k_sweep_quick_fixedK\run_K120_seed004.npz
130,0,200,1.1605275617694197e-07,0.30341092288990795,0.0006094216675506282,0.000146674972189651,0.020059029629519408,3.8053979640759397e-06,4.569404330622781e-06,468.98390049886075,logs/reacher_k_sweep_quick_fixedK\run_K130_seed000.npz
130,1,200,1.198453797824306e-07,0.2916759180211731,0.0005906472955862416,0.00014218481375478923,0.01769400644173716,3.5514114539432715e-06,4.2520166364136705e-06,472.27474299957976,logs/reacher_k_sweep_quick_fixedK\run_K130_seed001.npz
130,2,200,1.0031102633134995e-07,0.29859921108952636,0.000555310093844727,0.00014359605024892865,0.020563921746412802,4.004403462906394e-06,4.805076581023792e-06,460.9988950000843,logs/reacher_k_sweep_quick_fixedK\run_K130_seed002.npz
130,3,200,1.0464377142458803e-07,0.2799617033244104,0.0007170958707738019,0.00014846437635816317,0.020315235942868475,3.85061180255195e-06,4.672014895843042e-06,469.8977550001291,logs/reacher_k_sweep_quick_fixedK\run_K130_seed003.npz
130,4,200,1.2252043773106105e-07,0.29368208216908986,0.0009461313644025013,0.00014702556370500727,0.019607558916707738,3.831278799653744e-06,4.4986522635745085e-06,470.2925209996465,logs/reacher_k_sweep_quick_fixedK\run_K130_seed004.npz
140,0,200,1.2353355249641874e-07,0.32866105134283946,0.0005981836047116462,0.0001392565867150646,0.019190499154309624,3.5675354871501123e-06,4.288307860829756e-06,516.7956134998531,logs/reacher_k_sweep_quick_fixedK\run_K140_seed000.npz
140,1,200,1.222161316614222e-07,0.32675162823626347,0.0008745330709490515,0.0001441069454760172,0.017652090068885944,3.5275117341985137e-06,4.208284626338817e-06,522.9066320000857,logs/reacher_k_sweep_quick_fixedK\run_K140_seed001.npz
140,2,200,1.1249412073014113e-07,0.3163727447546595,0.0007728288967453127,0.00014220146234788413,0.021428429808061353,3.917605650702627e-06,4.694918178568375e-06,510.8874610006751,logs/reacher_k_sweep_quick_fixedK\run_K140_seed002.npz
140,3,200,1.0634604630693124e-07,0.3242515000803745,0.0010047592913748542,0.00014471527340006684,0.02028815853856584,3.701910328310931e-06,4.4788395867072975e-06,541.3125330003095,logs/reacher_k_sweep_quick_fixedK\run_K140_seed003.npz
140,4,200,1.325918515500942e-07,0.2995176508728649,0.0006530925374628042,0.00013951626760539876,0.01858036011879685,3.6183845803672607e-06,4.2946636484306485e-06,512.2657119999349,logs/reacher_k_sweep_quick_fixedK\run_K140_seed004.npz
150,0,200,1.3250025108682062e-07,0.33360475769738573,0.0006245526740209339,0.0001323878846763264,0.019069676834822274,3.5439158800319404e-06,4.2438810678857595e-06,551.0765189997619,logs/reacher_k_sweep_quick_fixedK\run_K150_seed000.npz
150,1,200,1.7204383108970068e-07,0.3612460681033841,0.00047218104206954025,0.00013448853121399552,0.01843890292816665,3.5769044747337346e-06,4.237665752745742e-06,554.4604920012353,logs/reacher_k_sweep_quick_fixedK\run_K150_seed001.npz
150,2,200,1.1712458453392899e-07,0.3511516132220637,0.000579197992869888,0.00013241839667434398,0.01963913377372329,3.589836201245758e-06,4.359119813901244e-06,533.1040300011227,logs/reacher_k_sweep_quick_fixedK\run_K150_seed002.npz
150,3,200,1.167278764937848e-07,0.3334959907353798,0.0006981106226352323,0.00013774285729966103,0.020001762825415947,3.599840464426983e-06,4.368874381687931e-06,554.4230269994296,logs/reacher_k_sweep_quick_fixedK\run_K150_seed003.npz
150,4,200,1.3423915944967085e-07,0.34444224899086684,0.0005583735266862949,0.0001356515314234106,0.018965348840130236,3.610888481567719e-06,4.281842810583347e-06,530.4605010001978,logs/reacher_k_sweep_quick_fixedK\run_K150_seed004.npz
160,0,200,1.344534732655847e-07,0.34521225018557655,0.004406268789546534,0.00016146496570883603,0.01914103573666847,3.4344181006329324e-06,4.091888625830026e-06,552.2471460013185,logs/reacher_k_sweep_quick_fixedK\run_K160_seed000.npz
160,1,200,1.8847044537478446e-07,0.3477239321343888,0.0005376167550704756,0.00012553128621024953,0.01802215897479654,3.4240414601486935e-06,4.0575125991165045e-06,540.8034139974916,logs/reacher_k_sweep_quick_fixedK\run_K160_seed001.npz
160,2,200,1.255799977866323e-07,0.358577931802819,0.0025071032065107834,0.0001411580653338836,0.019438541493543012,3.436505955650893e-06,4.112245965978042e-06,546.1568865011213,logs/reacher_k_sweep_quick_fixedK\run_K160_seed002.npz
160,3,200,1.2358961163132608e-07,0.3359626255781024,0.0012241247157723223,0.00013170941020086994,0.01985670490482911,3.466367456844952e-06,4.1762802628183295e-06,541.776886999287,logs/reacher_k_sweep_quick_fixedK\run_K160_seed003.npz
160,4,200,1.3896701356131404e-07,0.32448688258104524,0.000523061525661566,0.00012629053821855028,0.01951277372361193,3.5810395289872172e-06,4.194069573006825e-06,534.0711599997303,logs/reacher_k_sweep_quick_fixedK\run_K160_seed004.npz
170,0,200,1.3791847135836184e-07,0.36963622318002054,0.0006073504977089039,0.00012532075547566247,0.01938736514055973,3.4024623737827756e-06,4.020627204320716e-06,520.5497649993049,logs/reacher_k_sweep_quick_fixedK\run_K170_seed000.npz
170,1,200,1.927388028814798e-07,0.40578382332680063,0.000632622449613149,0.0001203531913681536,0.017757297274204678,3.424222112352978e-06,4.010024299389628e-06,539.686521999829,logs/reacher_k_sweep_quick_fixedK\run_K170_seed001.npz
170,2,200,1.3878373703139385e-07,0.3548942395965228,0.0088015680208495,0.00016974022425323004,0.01966058068911262,3.4929443579162346e-06,4.158533893122194e-06,527.8822300009779,logs/reacher_k_sweep_quick_fixedK\run_K170_seed002.npz
