K,runs,median_sigma_min_Ag,median_total_cost,median_slack_norm_max,median_slack_norm_mean,p10_sigma_min_Ag,p90_sigma_min_Ag,p10_total_cost,p90_total_cost,p10_slack_norm_max,p90_slack_norm_max
40,5,9.432203707234958e-05,0.04494326188702118,0.008283838906774248,0.0003544956310910765,7.993334830113062e-05,0.0001124172790694598,0.037800947130272655,0.048627126088595166,0.0041681996788022,0.01193165124094117
50,5,2.0347957289796901e-10,0.03261887003787563,0.004134048213993274,0.00023262792972036868,6.088817480535941e-11,1.2523221706180164e-09,0.030029529669965294,0.038181102190345845,0.0019205728902328529,0.007806261135440616
60,5,3.599473330444121e-08,0.028386302281821194,0.0021159898384700473,0.00023265999309938563,2.2717123297256823e-08,4.800872497598865e-08,0.02609763276073445,0.03156116323061425,0.0015979074797959297,0.01590220333234755
70,5,4.875803638188224e-08,0.024708327910268897,0.002628390140416211,0.00022411856104000732,4.221341577061065e-08,7.414538528281639e-08,0.022930919514244183,0.028100780143358664,0.001355459122998135,0.007428761195245544
80,5,6.249069404392242e-08,0.024659215520343836,0.001423152175958346,0.00023327885562592326,5.6179830584646475e-08,8.525390995385829e-08,0.02236935097186913,0.02498641201057829,0.0009981751481179626,0.0027965837347986087
90,5,7.482492387718788e-08,0.022017647934970918,0.0014778231561206501,0.00023450594474641338,6.696560611428456e-08,9.897062082676685e-08,0.01993379505231084,0.023501447892922436,0.000838851386922287,0.003634154054228014
100,5,7.876489241542676e-08,0.02090580709700509,0.003738408688599685,0.0002495386531174319,7.066473339977441e-08,1.0374300328266325e-07,0.019460445213445553,0.02394848899815048,0.0018142325547544271,0.006005081624451654
110,5,9.441386667177924e-08,0.019854481310031657,0.0014595813691665807,0.00020780834206005213,8.69407050832809e-08,1.1008372898785807e-07,0.0187635568601533,0.021505045859799232,0.0009980648789193914,0.002203452113312607
120,5,1.0715028055095728e-07,0.020009076059919192,0.0005940953190272491,0.0001785449941359324,9.722511838679054e-08,1.1508732999253732e-07,0.01858558386663208,0.02287878723488833,0.00047683422936294534,0.0021023033144435955
130,5,1.1605275617694197e-07,0.020059029629519408,0.0006094216675506282,0.000146674972189651,1.0204412436864519e-07,1.2145041455160886e-07,0.018459427431725392,0.02046444742499507,0.0005694449745413328,0.0008545171669510215
140,5,1.222161316614222e-07,0.019190499154309624,0.0007728288967453127,0.00014220146234788413,1.088052760762152e-07,1.2896853192862402e-07,0.01802339808885031,0.020972321300263146,0.0006201471778121094,0.0009526688032045331
150,5,1.3250025108682062e-07,0.019069676834822274,0.000579197992869888,0.00013448853121399552,1.1688655970984248e-07,1.5692196243368876e-07,0.018649481292952085,0.019856711204738885,0.0005066580359162421,0.0006686874431895129
160,5,1.344534732655847e-07,0.019438541493543012,0.0012241247157723223,0.00013170941020086994,1.2438576609344858e-07,1.686690726493963e-07,0.01846970967954531,0.01971913243234224,0.0005288836174251299,0.003646602556332234
170,5,1.3878373703139385e-07,0.01938736514055973,0.00070538194835052,0.00012532075547566247,1.3824037226332796e-07,1.753675351451747e-07,0.018235719255513257,0.01994132463704395,0.0006174592784706019,0.005736971521108391
180,5,1.519956048857091e-07,0.019455210708151455,0.002671750477134928,0.00018361034536471741,1.4470401387314228e-07,2.1126247919415471e-07,0.01848237501312949,0.01972131846777125,0.0018258339295474486,0.006504247649826007
190,5,1.6249936308142334e-07,0.018877614601638185,0.000656139820655693,0.00013362366713902193,1.5442861878198593e-07,2.210256025091002e-07,0.018065580451530755,0.01978837509472005,0.0006198999098122902,0.0007222943690204939
200,5,1.67082989068805e-07,0.019099855980426492,0.003467386265732095,0.00018390042872134694,1.570685995636227e-07,2.2536681811955027e-07,0.01790637630647849,0.01991249897923787,0.002011024199388049,0.006459777428608065
