rho,seed,steps,k_opt_mean,k_opt_var,k_opt_med,k_opt_p90,sigma_min_Ag,infeasible_rate,solve_ms_mean,solve_ms_total,success,npz_path
0.001,0,400,40.0,0.0,40.0,40.0,7.654798558867977e-05,0.05,138.7762177476543,55510.48709906172,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.001,1,400,40.0,0.0,40.0,40.0,0.0001161711938202013,0.065,137.7375737472903,55095.02949891612,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
0.001,2,400,40.0,0.0,40.0,40.0,7.427913291403798e-05,0.0525,138.59327924874378,55437.31169949751,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.001,3,400,40.0,0.0,40.0,40.0,9.43220370722327e-05,0.0525,140.93011425284203,56372.04570113681,1,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
0.001,4,400,40.0,0.0,40.0,40.0,7.383398111249575e-05,0.07,136.23389100044733,54493.55640017893,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
0.001,5,400,40.0,0.0,40.0,40.0,0.00013541701957304895,0.0625,138.7171649991069,55486.86599964276,1,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
0.001,6,400,40.0,0.0,40.0,40.0,0.0001241307683865675,0.03,135.2973894996103,54118.955799844116,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.001,7,400,40.0,0.0,40.0,40.0,0.0001106049886372912,0.0675,140.73220350313932,56292.88140125573,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.001,8,400,40.0,0.0,40.0,40.0,0.00010059314739718385,0.09,141.94118599960348,56776.47439984139,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.001,9,400,40.0,0.0,40.0,40.0,9.914242600158878e-05,0.0625,140.98248100373894,56392.992401495576,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
0.005,0,400,40.0,0.0,40.0,40.0,7.654798558867977e-05,0.0425,136.2414182498469,54496.56729993876,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.005,1,400,40.0,0.0,40.0,40.0,0.0001161711938202013,0.065,137.9778937465744,55191.157498629764,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
0.005,2,400,40.0,0.0,40.0,40.0,7.427913291403798e-05,0.0525,137.7291672519641,55091.66690078564,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.005,3,400,40.0,0.0,40.0,40.0,9.43220370722327e-05,0.0525,141.3794345027418,56551.773801096715,1,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
0.005,4,400,40.0,0.0,40.0,40.0,5.8845438750685675e-05,0.0675,136.95927275257418,54783.70910102967,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed004.npz
0.005,5,400,40.0,0.0,40.0,40.0,0.00013541701957304895,0.0625,136.52478125004563,54609.912500018254,1,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed005.npz
0.005,6,400,40.0,0.0,40.0,40.0,0.0001241307683865675,0.03,134.96144599776017,53984.578399104066,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed006.npz
0.005,7,400,40.0,0.0,40.0,40.0,0.0001106049886372912,0.0625,143.65209224983118,57460.836899932474,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed007.npz
0.005,8,400,40.0,0.0,40.0,40.0,0.00010059314739718385,0.06,136.68123125011334,54672.49250004534,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed008.npz
0.005,9,400,40.0,0.0,40.0,40.0,9.914242600158878e-05,0.0625,139.53947100264486,55815.788401057944,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.005_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed009.npz
0.01,0,400,40.0,0.0,40.0,40.0,7.654798558867977e-05,0.05,139.7075364991906,55883.014599676244,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed000.npz
0.01,1,400,40.0,0.0,40.0,40.0,0.0001161711938202013,0.065,138.24716050439747,55298.86420175899,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed001.npz
0.01,2,400,40.0,0.0,40.0,40.0,6.508662302126212e-05,0.0375,135.54467225563712,54217.86890225485,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed002.npz
0.01,3,400,40.0,0.0,40.0,40.0,0.00010051376908347699,0.0625,139.1865382483229,55674.61529932916,0,c:/Users/yelim/Desktop/paper/cdc2026/choose-wisely-paper-main/logs/reacher_cdc_adaptive_k_noise0_Kmax2000_seed10\run_adaptive_rho_waypoint_K040_rho0.01_Kmin40_Kmax2000_Kstep10_gmin1e-06_seed003.npz
