rho,adaptive_success,adaptive_solve_ms,adaptive_kopt_median,adaptive_kopt_p90,adaptive_sigma_min,fixed_ref_success,fixed_ref_solve_ms,fixed_ref_K_star,delta_success,delta_solve_ms_pct,notes
0.001,0.2,138.7466913733806,40.0,40.0,9.986778669938631e-05,1.0,289.5258350005315,90.0,-0.8,-52.0779583027104,waypoint_reconstructed;n=10
0.005,0.2,137.34422000226914,40.0,40.0,9.986778669938631e-05,1.0,289.5258350005315,90.0,-0.8,-52.562361144035044,waypoint_reconstructed;n=10
0.01,0.1,138.3289952528139,40.0,40.0,0.00010055345824033042,1.0,289.5258350005315,90.0,-0.9,-52.222227335063224,waypoint_reconstructed;n=10
0.05,0.0,138.1188837492664,51.3625,40.0,9.29906136267251e-05,1.0,289.5258350005315,90.0,-1.0,-52.29479823484049,waypoint_reconstructed;n=10
0.1,0.0,132.5814042496495,150.8,79.50000000000898,5.8005494594820636e-05,1.0,289.5258350005315,90.0,-1.0,-54.20740112901976,waypoint_reconstructed;n=10
0.2,0.0,129.5823032510816,561.825,2000.0,2.945496118435944e-06,1.0,289.5258350005315,90.0,-1.0,-55.24326758237525,waypoint_reconstructed;n=10
0.3,0.2,144.06084687332623,831.35,nan,2.8395339489195165e-06,1.0,289.5258350005315,90.0,-0.8,-50.24248980300436,adaptive_summary;n=10
0.4,0.2,154.0880108741112,1198.85,nan,2.8395339489195165e-06,1.0,289.5258350005315,90.0,-0.8,-46.779184360584495,adaptive_summary;n=10
0.5,1.0,116.94642399990698,1676.6,nan,2.8395339489195165e-06,1.0,289.5258350005315,90.0,0.0,-59.60760323869118,adaptive_summary;n=10
0.6,1.0,115.27981112638372,1759.9,nan,2.8395339489195165e-06,1.0,289.5258350005315,90.0,0.0,-60.18323852647826,adaptive_summary;n=10
0.7,1.0,121.78069349713041,1806.45,nan,2.780009137327619e-06,1.0,289.5258350005315,90.0,0.0,-57.93788367904824,adaptive_summary;n=10
0.8,1.0,122.67417499926523,1833.4,nan,2.780009137327619e-06,1.0,289.5258350005315,90.0,0.0,-57.62928202968829,adaptive_summary;n=10
0.9,1.0,120.29929637443274,1853.0,nan,2.780009137327619e-06,1.0,289.5258350005315,90.0,0.0,-58.44954686886167,adaptive_summary;n=10
1.0,1.0,131.36810624724603,1855.45,nan,2.780009137327619e-06,1.0,289.5258350005315,90.0,0.0,-54.62646494154663,adaptive_summary;n=10
1.5,1.0,152.70328375234385,1914.25,nan,2.780009137327619e-06,1.0,289.5258350005315,90.0,0.0,-47.25745847445238,adaptive_summary;n=10
