seed,success,k_mean,solve,nseg,rec_rate,k_jump_sum,inf_drop_sum,score
0,0,838.7,142.9664954994223,21,1.0,35280.0,-0.12999999999999998,37.28
1,0,824.0,148.54049524990842,19,1.0,25480.0,-0.6816666666666668,27.48
2,0,819.1,146.79616324487142,12,1.0,19600.0,-0.7600000000000001,21.6
3,1,936.7,139.5153337510419,18,1.0,33320.0,-0.4937573099415204,35.32
4,0,784.8,125.60906625119968,9,1.0,17640.0,-0.2342731829573935,19.64
5,0,858.3,143.47979999904055,26,1.0,47040.0,-0.36000000000000004,49.04
6,0,794.6,150.33487324923044,20,1.0,29400.0,-0.24000000000000002,31.400000000000002
7,0,838.7,144.6418937476119,13,1.0,23520.0,-0.20000000000000007,25.52
8,1,951.4,139.21800974872895,17,1.0,33320.0,-0.36000000000000004,35.32
9,0,779.9,146.59744875039905,17,1.0,31360.0,0.4800000000000001,33.6
