mode,seed,K,rho,target_mode,steps,k_opt_mean,k_opt_var,sigma_min_Ag,kappa_Ag_mean,localness_mean,slack_max,slack_mean,kkt_res_max,eq_res_max,solver_fail_rate,rmse_ee,err_p95,err_max,err_final,success,tracking_rmse,tracking_phase_lag_steps,tracking_phase_lag_rad,tracking_phase_corr,tracking_amp_ratio,effort_sum_sq,jerk_sum_sq,jerk_max,u_violation_rate,total_cost,ISE,IAE,solve_ms_mean,solve_ms_total,npz_path
adaptive_rho,0,40,0.001,waypoint,400,40.0,0.0,7.654798558867977e-05,14846.511321001164,1.1064922660229788,0.047207357667420735,0.000524095696984596,20058453.945410807,0.00020247070936184173,0.045,0.056384714503650867,0.10821925998925237,0.18933254054304896,0.029513745447566957,0,0.056384714503650867,0.0,0.0,-inf,45599607416.36152,7.065970626390824,15.607321965584354,0.9172237609682107,0.0,0.05488640059945095,1.760609112152222e-05,2.3753895995723014e-05,133.0793422512943,53231.73690051772,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed000.npz
adaptive_rho,1,40,0.001,waypoint,400,40.0,0.0,0.00010438995150066449,13986.73181544853,1.0751105575498767,0.008075225753074549,0.0004997729285036987,20055057.97168011,2.5002791451196303e-05,0.0825,0.04423307904756912,0.09605913503371001,0.1845795350613701,0.030010878135420926,0,0.04423307904756912,0.0,0.0,-inf,26498259988.291138,5.587740405487434,10.744240681889348,0.803559796325898,0.0025,0.03538115169036923,1.3656354134615363e-05,1.862968397163696e-05,137.3303599987412,54932.143999496475,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed001.npz
adaptive_rho,2,40,0.001,waypoint,400,40.0,0.0,7.427913291403798e-05,19235.11526656838,1.1904339013010978,0.047777456209833424,0.0005169184338721275,20056785.663657285,0.00012754664227352492,0.055,0.050205490378140344,0.10522816262974397,0.1965072841060796,0.031072967021518866,0,0.050205490378140344,0.0,0.0,-inf,32698807741.50013,8.217431550076176,17.076518097045437,1.135928242239719,0.0075,0.045375201302688184,1.3921700312874575e-05,1.846008864521426e-05,132.32213875104208,52928.85550041683,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed002.npz
adaptive_rho,3,40,0.001,waypoint,400,40.0,0.0,9.43220370722327e-05,16144.083509450438,1.069124929889355,0.032686430718761615,0.0005134451417538793,20057645.848551523,0.00011972799516794984,0.045,0.04584308455715892,0.09906670313488705,0.2005980452050341,0.025377382430691056,1,0.04584308455715892,0.0,0.0,-inf,30035857507.769386,6.239548375255373,12.457620971427652,1.0268110495389327,0.0025,0.037929362309945834,1.4157634348665598e-05,1.9366707187437195e-05,140.6297797500156,56251.911900006235,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed003.npz
adaptive_rho,4,40,0.001,waypoint,400,40.0,0.0,5.8845438750685675e-05,19584.362474262052,1.2149233183465873,0.03828746231780477,0.0006990898430170104,20053975.928511295,0.00011035035747965098,0.065,0.040501535388070074,0.09372909818317152,0.18075376050906805,0.02559658359778144,0,0.040501535388070074,0.0,0.0,-inf,24056659436.454693,7.191225842202568,14.962603364963885,1.0666975781789316,0.0075,0.03158764954034436,1.10038809244747e-05,1.4121711135524535e-05,140.49780849774834,56199.123399099335,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed004.npz
adaptive_rho,5,40,0.001,waypoint,400,40.0,0.0,0.00013541701957304895,14025.748944940186,1.177745542706316,0.08272985383646916,0.0007245831920643328,20053774.23447387,0.0002474316529244681,0.0425,0.04752359856496967,0.10112246758634932,0.18032804779153147,0.025391065871082724,1,0.04752359856496967,0.0,0.0,-inf,35240559591.47081,8.796799500724546,20.575106772316662,0.9923374975214263,0.005,0.04022254996193789,1.4660763659961151e-05,1.9374436273726504e-05,138.56747250276385,55426.98900110554,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed005.npz
adaptive_rho,6,40,0.001,waypoint,400,40.0,0.0,0.0001241307683865675,15167.865414050484,1.0313938242800227,0.025916745536370297,0.0003973169288337987,20058720.65503464,0.00011656099578716279,0.04,0.057874485937441614,0.10853673006855705,0.19056018734854613,0.028367200479103724,0,0.057874485937441614,0.0,0.0,-inf,47726164096.26515,4.727463971707799,10.421697830602168,0.8866906546557339,0.0,0.05723714412251222,1.8004176525003357e-05,2.4485513716822516e-05,138.72974074969534,55491.896299878135,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed006.npz
adaptive_rho,7,40,0.001,waypoint,400,40.0,0.0,0.0001106049886372912,14502.063911399888,1.0930229383787258,0.016240135756165057,0.00041897857344109764,20055346.54972298,4.803459195596643e-05,0.06,0.04109639243904781,0.08061695364748199,0.18291799181937143,0.020576042570600347,0,0.04109639243904781,0.0,0.0,-inf,26153460858.133953,4.995259790022102,10.073682395221313,0.7857828204807483,0.0025,0.03132473354115342,1.2581951323610347e-05,1.7132529834963397e-05,141.3155867496971,56526.23469987884,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed007.npz
adaptive_rho,8,40,0.001,waypoint,400,40.0,0.0,0.00010059314739718385,16556.756148729128,1.1190528373748818,0.0145023025653642,0.0004615222649251153,20054863.718892325,3.7281279645026575e-05,0.0575,0.046729723016533956,0.1051324684281212,0.18784995195697984,0.030816624255085093,0,0.046729723016533956,0.0,0.0,-inf,32904088596.688614,4.833170624138402,10.429849894926924,0.6545533142543551,0.0,0.03892643076961438,1.2994532502682262e-05,1.7342950114619837e-05,136.4225117515889,54569.00470063556,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed008.npz
adaptive_rho,9,40,0.001,waypoint,400,40.0,0.0,8.283560922027987e-05,16523.072429054355,1.0759935982648532,0.14090554403599964,0.0010183665850453272,20056445.386717718,0.0009462215347738563,0.0625,0.04870063401932066,0.10399979279439382,0.1845092985691772,0.029157054825730087,0,0.04870063401932066,0.0,0.0,-inf,36338226076.48599,4.870699227624517,10.347444848386672,0.634671798381873,0.0,0.04224363951822505,1.4729821968534762e-05,2.0035481448585894e-05,142.02189150149934,56808.756600599736,logs/reacher_cdc_adaptive_k_noise0_Kmax4000_seed10\run_adaptive_rho_waypoint_K040_rho0.001_Kmin40_Kmax4000_Kstep10_gmin1e-06_seed009.npz
