rho,runs,median_sigma_min_Ag,median_kappa_Ag,median_localness,median_slack_max,median_kkt_max,median_rmse_ee,success_rate,median_total_cost,median_jerk_sum_sq,median_solve_ms,median_k_opt_mean
0.001,10,9.745759223470828e-05,15655.974461750462,1.0997576022008522,0.03548694651828319,20055895.96822035,0.04712666079075181,0.2,0.039574490365776135,11.6009308266585,138.6486066262296,40.0
0.002,10,9.986778669938631e-05,16140.931920060128,1.0882161596192423,0.029301588127565954,20055895.96822035,0.046741900830745635,0.2,0.0388614664517815,12.098033943241179,138.12125725060469,40.0
0.05,10,0.0001591420537898795,19215.95593545607,1.120413869093209,0.019187539095018177,20055895.96822035,0.047084442165964975,0.0,0.039715106464884437,13.935612636312515,140.8084076231171,53.1125
0.1,10,8.148364992861722e-05,38656.54294114247,1.177957105677483,0.01933405135783071,20055895.96822035,0.0455191030825774,0.0,0.03650710571378091,8.605301125395806,133.14655937734642,161.75
0.15,10,7.400146615398973e-05,59697.01633127757,1.2368985796838223,0.023308450847301737,20054419.82370181,0.044478773788773344,0.0,0.03445635733167333,7.310475520666314,129.81837500090478,330.79999999999995
0.2,10,8.62883523504894e-06,102556.07574246966,1.3806870336147776,0.020235047809247456,20044972.82174801,0.04426025133355266,0.0,0.034136403453055755,8.626695774559016,148.9303188744816,733.5625
0.25,10,8.066928701597584e-06,144371.94487548276,1.4918320244821146,0.030449635204365028,20044766.15142954,0.045331120331452576,0.0,0.03516451431285883,7.284833018682699,224.80789450040902,1143.8875
0.3,10,8.066928701597584e-06,145319.22834012043,1.5752327760118932,0.018605271994797508,20044766.15142954,0.04599818341668981,0.0,0.036839544877119684,10.741025023706435,220.41395525200642,1623.1
0.35,10,8.066928701597584e-06,169675.5873746513,1.7146801961468485,0.04014302710274537,20044766.15142954,0.04594715831221677,0.1,0.03697474212559088,13.193373045199579,308.72231175002526,2138.8
0.4,10,8.066928701597584e-06,212473.3187404998,1.7734491030900967,0.01084225395796914,20044766.15142954,0.04828125366267316,0.0,0.04021446862788833,13.597451595759217,337.7710699987074,2396.2
0.45,10,8.066928701597584e-06,237050.62012221606,1.9101111670846074,0.009517471395229432,20044173.221467618,0.0463591568939508,0.3,0.037829734240078364,15.136494228091129,365.24941525043687,2732.8
0.5,10,8.066928701597584e-06,275269.53711409605,1.9721606020318503,0.01690511359919011,20044173.221467618,0.04903015756645159,0.7,0.04120660905097264,11.434306518881652,231.98207687863032,3034.75
