K,iid_sigma_mk_min_mean,rw_sigma_mk_min_mean,iid_sigma_mk_min_var,rw_sigma_mk_min_var,iid_sigma_mk_min_std,rw_sigma_mk_min_std,iid_cost_mean,rw_cost_mean,iid_cost_var,rw_cost_var,iid_cost_std,rw_cost_std,iid_solve_mean_mean,rw_solve_mean_mean,iid_solve_mean_var,rw_solve_mean_var,iid_solve_mean_std,rw_solve_mean_std,iid_K_opt_mean_mean,rw_K_opt_mean_mean,iid_K_opt_mean_var,rw_K_opt_mean_var,iid_K_opt_mean_std,rw_K_opt_mean_std,iid_rmse_mean,rw_rmse_mean,iid_rmse_var,rw_rmse_var,iid_rmse_std,rw_rmse_std,iid_ISE_mean,rw_ISE_mean,iid_ISE_var,rw_ISE_var,iid_ISE_std,rw_ISE_std,iid_IAE_mean,rw_IAE_mean,iid_IAE_var,rw_IAE_var,iid_IAE_std,rw_IAE_std,iid_slack_max_mean,rw_slack_max_mean,iid_slack_max_var,rw_slack_max_var,iid_slack_max_std,rw_slack_max_std,iid_solver_opt_rate_mean,rw_solver_opt_rate_mean,iid_solver_opt_rate_var,rw_solver_opt_rate_var,iid_solver_opt_rate_std,rw_solver_opt_rate_std
60,0.1356722986240834,0.0711620093973038,9.722682691755982e-05,6.825222240893035e-06,0.0098603664697393,0.0026125126298054,0.0367771448081343,0.15210867115466,0.0001454179393677,0.0025573592791808,0.0120589360794299,0.0505703399156152,146.60153379687108,110.5992354042828,61.97221367970539,254.31896420994417,7.872243243174425,15.947381108192786,60.0,60.0,0.0,0.0,0.0,0.0,0.0637162694347623,0.0945871488445242,0.0001208919043302,0.00025972708553,0.0109950854626168,0.0161160505562028,8.891059284903714e-06,3.560336275838045e-05,6.031986234292487e-12,6.198292170657507e-11,2.456010226829784e-06,7.872923326603345e-06,1.204922944638378e-05,4.598216731071407e-05,1.1794824122729204e-11,9.175286634606649e-11,3.4343593467674875e-06,9.5787716512122e-06,0.0095179591323533,0.0051837612305613,0.0001523628588855,2.5722517514985237e-05,0.0123435351048867,0.0050717371299176,0.977,0.9905,9.500000000000015e-05,9.500000000000011e-05,0.0097467943448089,0.0097467943448089
110,0.2156693292694262,0.1241852147348017,4.9713757246027646e-05,2.4146122740619964e-05,0.007050798341041,0.0049138704440206,0.0358161709030578,0.1266218838099156,3.020478391166056e-05,0.0012874828488685,0.0054958879093064,0.0358815112400315,232.1392389016692,170.36904755060095,126.0168207616126,66.09966598950582,11.225721391590502,8.130170108276076,110.0,110.0,0.0,0.0,0.0,0.0,0.063530085976871,0.0871275470492729,2.8882514819057585e-05,0.0001350216615936,0.0053742455116097,0.0116198821678025,8.527222428070335e-06,3.293225248920041e-05,1.305325435934824e-12,2.265167318676191e-11,1.142508396439529e-06,4.759377394866046e-06,1.157950859267522e-05,4.272361994253071e-05,2.647095826482423e-12,3.715138838193641e-11,1.6269898052791918e-06,6.095193875664367e-06,0.0073053602654922,0.0035561161929293,2.0269962112051173e-05,5.054364125240402e-05,0.0045022174660994,0.0071094051264788,0.964,0.9975,0.0002049999999999,3.124999999999992e-05,0.0143178210632763,0.0055901699437494
160,0.2693257273176489,0.171637109057269,6.478921980015864e-05,0.0002721490533807,0.0080491751006024,0.0164969407279268,0.0426728209511151,0.1447391987943663,5.605377651364959e-05,0.0059310711142713,0.0074869070058101,0.0770134476196939,310.51016230206005,237.97198535047937,144.45892439502478,37.73783835951702,12.019106638807427,6.143113083731816,160.0,160.0,0.0,0.0,0.0,0.0,0.0701571492779242,0.0918967667776533,4.4036473691536784e-05,0.0004612521862751,0.006635998319133,0.0214767824935472,1.0157603353887744e-05,3.5516810941175e-05,2.562019846252139e-12,8.319711041789443e-11,1.6006310774979156e-06,9.121245003720404e-06,1.3765715097487336e-05,4.5344703467510506e-05,5.113214535014093e-12,1.1371796509852148e-10,2.2612418125919423e-06,1.0663862578752668e-05,0.0008086065641331,0.0003842357313643,1.321233363914471e-07,2.57912706519403e-09,0.0003634877389836,5.078510672622467e-05,0.999,1.0,4.9999999999998285e-06,0.0,0.0022360679774997,0.0
210,0.3217176495626923,0.2062578711299125,1.8818465374138324e-06,2.1888711664916502e-05,0.0013718041177273,0.0046785373424732,0.0477784161665913,0.1088639008714155,4.639295189646244e-05,1.1201089453044444e-05,0.0068112371781096,0.0033468028703591,270.0222356999293,205.36537545034665,157.77358636259106,84.95066131933196,12.560795610254594,9.21686830324335,210.0,210.0,0.0,0.0,0.0,0.0,0.0747244862656708,0.0819214103969994,3.238019831266546e-05,1.6510877964876878e-06,0.005690360121527,0.0012849466123102,1.1546274858475789e-05,3.1162062753498426e-05,1.8978279095093925e-12,4.156648157511911e-13,1.3776167498652857e-06,6.447207269439933e-07,1.563090932515969e-05,4.233085477518661e-05,3.836109014673691e-12,1.0725512432187413e-12,1.958598737534999e-06,1.0356404990240296e-06,0.0014873357102283,0.0003629824461171,1.8352365409405763e-06,4.6253811964352686e-10,0.0013547090244552,2.150669941305562e-05,0.998,1.0,7.500000000000069e-06,0.0,0.0027386127875258,0.0
260,0.3613426112165804,0.2532038335148209,7.962688490453009e-05,0.0003710298978037,0.0089233897653599,0.0192621363769369,0.0565043396475949,0.1319367524061296,9.780253685337731e-05,0.0006495311334219,0.0098895165126196,0.025485900679041,315.0238473995123,239.40168394893408,996.172799658934,257.5889665128737,31.562205240745364,16.049578390502155,260.0,260.0,0.0,0.0,0.0,0.0,0.0816672306788658,0.0899776177534106,5.835297466602306e-05,7.173819166948902e-05,0.007638911877095,0.0084698401206568,1.3823444482526565e-05,3.4582661910467655e-05,5.495679637994242e-12,1.283942105754602e-11,2.3442865946795504e-06,3.5832137889813413e-06,1.872214926178283e-05,4.732826948225173e-05,1.0327834897299404e-11,2.1287994529327534e-11,3.2136948979794897e-06,4.61389147350992e-06,0.0020135800944641,0.0003150081913546,5.036046777180891e-06,2.0801616195157132e-09,0.0022441138066463,4.5608788840701664e-05,0.995,1.0,4.999999999999978e-05,0.0,0.0070710678118654,0.0
310,0.4010472388636539,0.2851476379404293,8.57879245088339e-05,0.000766261062425,0.0092621770933638,0.027681420888839,0.0583102726111073,0.1388782053036488,0.0002372676536518,0.0020277662659571,0.0154034948518794,0.0450307257986939,339.6842134995386,250.5818700019736,4584.545755287104,741.3149607828441,67.70927377610178,27.22709974975014,310.0,310.0,0.0,0.0,0.0,0.0,0.0827194859831053,0.0918428067054914,0.0001430195876029,0.0002008788047101,0.0119590797138817,0.014173172005947,1.4443258783165158e-05,3.476954877487632e-05,1.344390838434493e-11,4.380237058189701e-11,3.6665935668335168e-06,6.618335937522136e-06,1.947671149429475e-05,4.6956659522455904e-05,2.4905369976212002e-11,7.1579709933536e-11,4.99052802579166e-06,8.460479296915513e-06,0.0007485230263096,0.000348268298745,3.540026297226443e-07,1.4519486834165951e-09,0.0005949812011506,3.810444440503752e-05,0.995,1.0,0.000125,0.0,0.0111803398874989,0.0
360,0.4354365423727657,0.3083102851705992,0.0002006512557065,3.834580985858579e-05,0.0141651422762564,0.006192399362007,0.0533012730826544,0.1485452527484985,1.5237722137619825e-05,0.0001999703586562,0.003903552502224,0.0141410876051395,354.1978028982412,276.57136150146835,371.02604634428906,29.39298327811688,19.26203640180054,5.421529606865287,360.0,360.0,0.0,0.0,0.0,0.0,0.0795255696460043,0.0958672950296839,8.991281267097142e-06,2.239241467104799e-05,0.0029985465257516,0.0047320624119983,1.343509606436565e-05,3.640206599929038e-05,7.481060958737414e-13,6.090845298407494e-12,8.64931266560379e-07,2.467963796008259e-06,1.809436031393354e-05,4.9207919849154174e-05,1.5246530888372689e-12,1.164472580466624e-11,1.234768435309742e-06,3.4124369305038064e-06,0.0004459083524824,0.0023232873762037,3.149446388988003e-10,1.9662095027760657e-05,1.774667965842626e-05,0.0044341960971252,1.0,0.9975,0.0,3.124999999999992e-05,0.0,0.0055901699437494
410,0.4734490002999023,0.4220781531617225,0.0002193834410879,3.1822708527348853e-05,0.014811598194926,0.0056411619837892,0.0596252551737089,0.2614626393944685,9.543131351436456e-05,5.6759931489102055e-05,0.0097688952043905,0.0075339187339061,106.6471163011156,92.31445695180446,97.54442966317006,12.938735018553794,9.87645835627175,3.5970453178343185,410.0,410.0,0.0,0.0,0.0,0.0,0.0841686986597829,0.1275894471237022,5.597988425415011e-05,3.496937802132748e-06,0.0074819706130236,0.0018700101074948,1.5078061801694232e-05,5.0817164701119874e-05,4.602898186117314e-12,7.088764516191861e-13,2.145436595688e-06,8.419480100452677e-07,2.0032120478497605e-05,6.268081526468907e-05,9.485649827492763e-12,5.991265172115562e-13,3.0798782163411536e-06,7.740326331696592e-07,0.0005200117554905,0.0003022879053159,1.0319912731341108e-09,9.75604238051013e-10,3.2124620980396186e-05,3.123466404575233e-05,1.0,1.0,0.0,0.0,0.0,0.0
460,0.5129009961173152,0.4499803396166059,0.0001785398262303,5.220054323980832e-05,0.0133618795919716,0.007224994341853,0.0570710227247675,0.2550151259786924,4.2172927520817565e-05,0.0001021975192727,0.0064940686415233,0.0101092788700665,101.32485910132527,90.95993745548184,60.546789273629166,40.81186491887653,7.781181740174764,6.388416464107246,460.0,460.0,0.0,0.0,0.0,0.0,0.0824410185385074,0.1260157192497436,2.570578425252288e-05,6.300597218980772e-06,0.0050700872036408,0.0025100990456515,1.4654198428422364e-05,5.019658360001847e-05,1.996260903156915e-12,1.1627070953230028e-12,1.4128909735563162e-06,1.078288966521963e-06,1.9153685489130453e-05,6.28179716349502e-05,4.394698074123971e-12,4.642540061955323e-13,2.096353518403795e-06,6.813618760948782e-07,0.0005284045662817,0.0003043579515464,1.7904487286540831e-09,2.0451871707208214e-09,4.231369433946986e-05,4.52237456511601e-05,1.0,1.0,0.0,0.0,0.0,0.0
510,0.5616889864298781,0.4818952418244408,0.0003738106619692,7.829217074849919e-05,0.0193341837678561,0.0088482863170502,0.0587425279359384,0.2640390260628483,3.707352312187743e-05,2.405335694778034e-05,0.0060888030943591,0.0049044221828652,102.81822359678335,87.34628870151937,44.73508699716771,15.770892294641364,6.688429337084134,3.971258275992808,510.0,510.0,0.0,0.0,0.0,0.0,0.0837822475909505,0.1282778100065529,2.130855401819988e-05,1.3869684009410982e-06,0.0046161189345812,0.0011776962260876,1.5177402733704335e-05,5.119893918415815e-05,1.5397165041906212e-12,2.3811883721416506e-13,1.2408531356250912e-06,4.879742177760676e-07,1.970894849307568e-05,6.36022581737418e-05,3.3371146070715666e-12,2.678528393713856e-13,1.826777109302492e-06,5.175450119278376e-07,0.000513594058452,0.0002769172686761,9.607808041934975e-10,9.023950837702716e-10,3.099646438214361e-05,3.0039891540587688e-05,1.0,1.0,0.0,0.0,0.0,0.0
560,0.6029469953400609,0.5179730185837916,0.0004575991584952,9.090142880830092e-06,0.0213915674623259,0.0030149863815331,0.061920783405782,0.2672048376484361,5.338141708283833e-05,1.866855001118297e-05,0.0073062587610102,0.0043207117482172,102.80361060006544,84.74314765341114,105.23951176596536,4.168823105639729,10.258631086356765,2.04176960150741,560.0,560.0,0.0,0.0,0.0,0.0,0.0861452711806837,0.1290887495498011,2.943994499769004e-05,1.0598732967352457e-06,0.0054258589179677,0.0010295014797149,1.5939020181196996e-05,5.155310237111297e-05,2.2168666021463577e-12,1.6364618087474377e-13,1.4889145718093962e-06,4.045320517273554e-07,2.075398191835634e-05,6.430651482609875e-05,4.804785618877727e-12,2.233053342426193e-13,2.1919821210214577e-06,4.725519381429086e-07,0.0005066280193926,0.0002404186559789,1.53877974427714e-09,1.120173230351728e-09,3.922728316206898e-05,3.346898908469941e-05,1.0,1.0,0.0,0.0,0.0,0.0
610,0.6378426643507795,0.545685269606907,0.0003535507626526,4.580078496647984e-05,0.0188029455844732,0.0067676277207364,0.0660848767070504,0.2696589970912754,4.520577080324157e-05,2.239272733620341e-06,0.006723523689498,0.0014964199723407,105.440091899829,81.4136577011086,57.23625976657828,4.660599470411732,7.565464940542536,2.158842159679983,610.0,610.0,0.0,0.0,0.0,0.0,0.089210279433064,0.129705377510781,2.3115121765355497e-05,1.115180941575638e-07,0.0048078188157786,0.0003339432499056,1.686266326690175e-05,5.179424400269216e-05,1.6199486488087353e-12,1.2188509958680076e-14,1.2727720333228316e-06,1.1040158494641315e-07,2.2065137910150964e-05,6.435979853879035e-05,3.597363194059659e-12,2.5732241782680084e-14,1.8966716094410384e-06,1.6041272325685416e-07,0.0005057826553739,0.0002338394382183,1.5869394727608735e-09,4.448139328686338e-10,3.9836408883844856e-05,2.109061243465049e-05,1.0,1.0,0.0,0.0,0.0,0.0
660,0.6704898696835051,0.5712631502228784,0.0001685386708658,0.0001362263111074,0.0129822444463898,0.0116716027651498,0.0703876547129761,0.2706800561898845,6.463497977269111e-05,2.844729550613089e-05,0.0080395882837799,0.005333600613669,109.73182110511698,70.6740435496904,123.19899482854548,6.398191389816269,11.099504260485938,2.5294646449033973,660.0,660.0,0.0,0.0,0.0,0.0,0.092197982264128,0.129935942997158,3.172192676857684e-05,1.6464142096347955e-06,0.0056322221874298,0.0012831267317123,1.770668279335271e-05,5.186320013747857e-05,2.0880848980523828e-12,2.8472182407127213e-13,1.4450207258210462e-06,5.335933133682168e-07,2.339537951653693e-05,6.359345219120202e-05,4.7156405941778455e-12,4.669677991611905e-13,2.171552576885452e-06,6.833504219367912e-07,0.0004923274056212,0.0002066281541116,3.4977365234417407e-10,1.1920209709534867e-09,1.870223655994582e-05,3.452565670560789e-05,1.0,1.0,0.0,0.0,0.0,0.0
710,0.7058216432056692,0.5902163384112085,3.433899647471337e-05,9.206815507014938e-05,0.0058599485044421,0.0095952152175003,0.0726131325462795,0.2694897334751749,4.832871966540117e-05,1.294116400280075e-05,0.0069518860509505,0.003597382938026,111.07787099899724,65.53032725444064,46.96027723776443,5.656768750491178,6.852756907826545,2.378396255986621,710.0,710.0,0.0,0.0,0.0,0.0,0.0937952993531798,0.1296566666476623,2.280724211230817e-05,7.407179890018942e-07,0.0047756928410763,0.0008606497481565,1.817028671255693e-05,5.173818474086567e-05,1.3790489077296218e-12,1.2433413722523225e-13,1.174329130920979e-06,3.526104610263744e-07,2.414525560094789e-05,6.308593924049832e-05,3.1727202539816217e-12,3.4922231770394997e-13,1.7812131410871698e-06,5.90950351301994e-07,0.0005003195660807,0.0002223822043834,7.654977183541655e-10,2.267647905917526e-10,2.766762943141616e-05,1.5058711451905591e-05,1.0,1.0,0.0,0.0,0.0,0.0
