K,iid_sigma_mk_min_median,rw_sigma_mk_min_median,iid_sigma_mk_min_p10,rw_sigma_mk_min_p10,iid_sigma_mk_min_p90,rw_sigma_mk_min_p90,iid_sigma_mk_min_min,rw_sigma_mk_min_min,iid_sigma_mk_min_max,rw_sigma_mk_min_max,iid_cost_median,rw_cost_median,iid_cost_p10,rw_cost_p10,iid_cost_p90,rw_cost_p90,iid_cost_min,rw_cost_min,iid_cost_max,rw_cost_max,iid_solve_mean_median,rw_solve_mean_median,iid_solve_mean_p10,rw_solve_mean_p10,iid_solve_mean_p90,rw_solve_mean_p90,iid_solve_mean_min,rw_solve_mean_min,iid_solve_mean_max,rw_solve_mean_max,iid_K_opt_mean_median,rw_K_opt_mean_median,iid_K_opt_mean_p10,rw_K_opt_mean_p10,iid_K_opt_mean_p90,rw_K_opt_mean_p90,iid_K_opt_mean_min,rw_K_opt_mean_min,iid_K_opt_mean_max,rw_K_opt_mean_max,iid_rmse_median,rw_rmse_median,iid_rmse_p10,rw_rmse_p10,iid_rmse_p90,rw_rmse_p90,iid_rmse_min,rw_rmse_min,iid_rmse_max,rw_rmse_max,iid_ISE_median,rw_ISE_median,iid_ISE_p10,rw_ISE_p10,iid_ISE_p90,rw_ISE_p90,iid_ISE_min,rw_ISE_min,iid_ISE_max,rw_ISE_max,iid_IAE_median,rw_IAE_median,iid_IAE_p10,rw_IAE_p10,iid_IAE_p90,rw_IAE_p90,iid_IAE_min,rw_IAE_min,iid_IAE_max,rw_IAE_max,iid_slack_max_median,rw_slack_max_median,iid_slack_max_p10,rw_slack_max_p10,iid_slack_max_p90,rw_slack_max_p90,iid_slack_max_min,rw_slack_max_min,iid_slack_max_max,rw_slack_max_max,iid_solver_opt_rate_median,rw_solver_opt_rate_median,iid_solver_opt_rate_p10,rw_solver_opt_rate_p10,iid_solver_opt_rate_p90,rw_solver_opt_rate_p90,iid_solver_opt_rate_min,rw_solver_opt_rate_min,iid_solver_opt_rate_max,rw_solver_opt_rate_max
60,0.1405083392323661,0.0697353985641818,0.1248509048066912,0.0693034399608088,0.1441830482454397,0.0740219986245348,0.1236435955773568,0.0690741295869795,0.1458198619071956,0.0754037664950635,0.0338996807000764,0.144612313788734,0.0267865145659974,0.1026139456308378,0.0496408195631857,0.2047848043513983,0.0262487766531731,0.0978048361886725,0.0559158073115526,0.2073268297533756,144.05756499269046,107.85568099992815,139.78553749388084,96.2448610054562,155.22346690110862,127.64408015587831,138.93123348942026,94.87841150781604,158.21358050219715,134.28530225588474,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0621487933905636,0.0934264423211859,0.0539464595131371,0.078360917344803,0.0753539035700856,0.1110609146788347,0.0531991834562078,0.0761637483943725,0.0804375243934098,0.111926807920946,8.404592162598263e-06,3.604971322152742e-05,6.761668992567951e-06,2.735954191727001e-05,1.1490867149367198e-05,4.334391088841729e-05,6.452886319072069e-06,2.548370357943289e-05,1.2708385866763064e-05,4.4099359308253946e-05,1.1393548495729492e-05,4.806531619327941e-05,9.070271787978607e-06,3.565138055995861e-05,1.5689475802800322e-05,5.4950972442998976e-05,8.7115770689125e-06,3.3159660468638384e-05,1.738196341260332e-05,5.6161063825567695e-05,0.0054890594364491,0.0050211401020454,0.0021707354639262,0.0006038032664934,0.0212377359627459,0.0104159687728672,0.0014866212109908,0.0004181650108271,0.0313542634717345,0.0128853630844537,0.98,0.99,0.967,0.981,0.986,0.999,0.965,0.975,0.99,1.0
110,0.217646973567557,0.1218400552009409,0.2084180867058134,0.1200811765091903,0.2216789603492285,0.1295787817771416,0.2049998909479915,0.1189480637931657,0.2240859987680703,0.1311796906923592,0.0357278318871037,0.11059390300876,0.0304835296921299,0.098752650306631,0.0411673692415895,0.1654540990219435,0.0283072960717631,0.0923575354963358,0.0432411533404636,0.1836451790649005,234.79874200653285,174.1532680077944,220.20997320488087,161.4247901465278,241.33100699819624,177.17210490047,214.1648940066807,158.7147552461829,241.7451020050794,178.88578049838543,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,0.0634551914584516,0.0821060195827759,0.0583113057486037,0.0778420082870786,0.0688010452631959,0.0996747371672442,0.0563113161090313,0.0753064916627353,0.0708599620981598,0.1052138042817014,8.56430444285103e-06,3.10483158673087e-05,7.435508886948544e-06,2.9101404486309323e-05,9.656565224864756e-06,3.810225619839572e-05,7.129753030955208e-06,2.8387518790719064e-05,1.0187002133110004e-05,4.040489147541945e-05,1.1649867618706509e-05,4.047795899898501e-05,1.001016429097728e-05,3.775164274922164e-05,1.3188415140204244e-05,4.92979076078384e-05,9.580096533352177e-06,3.668796148262353e-05,1.3917449933216263e-05,5.227950887533963e-05,0.0064302827477869,0.0004096834516626,0.0039157773672954,0.0003258546971543,0.0117604524821056,0.0099377419679909,0.0032619702667683,0.0003026999206721,0.0149261418208888,0.016273488379086,0.965,1.0,0.949,0.9925,0.978,1.0,0.945,0.9875,0.98,1.0
160,0.2684647547571036,0.1648679373023361,0.2617147983073229,0.1628750093335544,0.277150155121991,0.1870148983203953,0.2580192347222334,0.1617963578102439,0.2799777687620545,0.2010179644914869,0.0438710144410275,0.1122199286596848,0.0347155205092051,0.1072797737379595,0.0498547360459075,0.214921115544571,0.0327575922101696,0.1056553457638574,0.0511075099362972,0.2823969700245016,316.5487029973883,236.12039549800105,297.6222522025928,232.18752940185368,320.9248992023058,244.4378283502301,297.56308199604973,230.38957050419413,323.16845800261945,245.2581557474332,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,0.0713399378502743,0.0829468117793052,0.063046023264157,0.0811565634209862,0.0764233968184914,0.1116114000032345,0.0611773145426061,0.0805070401139017,0.0772781687919427,0.130258732789279,1.0290535243857833e-05,3.1774522734467926e-05,8.473934591420286e-06,3.09663060003049e-05,1.1720849354479536e-05,4.387952252159337e-05,8.06628767393916e-06,3.079791365779287e-05,1.1912669004398177e-05,5.181216500888432e-05,1.3928423488519474e-05,4.0803695065073465e-05,1.1390237912584486e-05,3.982523737132888e-05,1.5971702184760465e-05,5.535757642083313e-05,1.0780160770375884e-05,3.971152233089233e-05,1.6229235718514454e-05,6.436290208495954e-05,0.0007430926694169,0.0003581615490028,0.0005107058505944,0.0003474678448523,0.0011864722549886,0.0004392309078707,0.0004871364679891,0.0003404370685726,0.0013988737574281,0.0004670224794048,1.0,1.0,0.997,1.0,1.0,1.0,0.995,1.0,1.0,1.0
210,0.3211110774371472,0.2068573342348544,0.3208421755663078,0.2014231230801333,0.323124161944925,0.2101314321008811,0.3207794114361023,0.1987232747616467,0.3240979353674328,0.2101854583140094,0.0494341702544197,0.107766532575666,0.0404742531627361,0.1057658673454515,0.0534634423388181,0.1124722147627538,0.0370827444573709,0.1051221503096149,0.053689911893327,0.1129623166685888,273.145266501233,204.7443667356856,257.5307353991084,196.39166645810477,280.4353519007564,214.06664025073405,250.66305799642572,191.70226626039948,285.2355545060709,216.42424625169951,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,0.076277809949438,0.0815786510525347,0.0686479619712855,0.080696872288778,0.0792965025856117,0.0832755231778123,0.0655663944911356,0.0803592793044892,0.0794666855355191,0.0834458961635378,1.1853876889513668e-05,3.137663040869921e-05,1.009802454702192e-05,3.0461530322094383e-05,1.264749087950758e-05,3.169576536636626e-05,9.304304230068424e-06,3.0158294952944025e-05,1.2668278096848533e-05,3.176081677177335e-05,1.606995166945714e-05,4.283408889771331e-05,1.3569052773260229e-05,4.118944606418664e-05,1.7204246930717847e-05,4.309487535170578e-05,1.2450630024829166e-05,4.067552742362654e-05,1.7246678582378606e-05,4.310570969939612e-05,0.0007525720777653,0.0003560400320984,0.0004978661576277,0.0003434182761227,0.0029929477498972,0.0003859283058753,0.0004637533552869,0.000342800576955,0.0036221032355853,0.0003861879360613,1.0,1.0,0.995,1.0,1.0,1.0,0.995,1.0,1.0,1.0
260,0.3587786395425349,0.2501308810672402,0.3533274244129572,0.2375638873120532,0.3711119301677729,0.2731509792548171,0.3532058117380208,0.2372629990747959,0.373122128084895,0.2845347607458273,0.0563216203884873,0.1260835658581874,0.0465032029346627,0.112540229637715,0.0659963736759613,0.1564143840881415,0.0421958192583642,0.1039603998768777,0.0679019080957816,0.173612276407483,314.776256486075,248.1578415055992,287.1078903079033,221.34549004770813,347.1472535969224,251.840087694698,286.70268251094967,215.9737907443196,363.8870759902056,252.2529414895689,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,260.0,0.0816179907261758,0.0882495641112146,0.0739465694111943,0.083305438272678,0.0889019412416901,0.0980904728490184,0.0704258789502489,0.080166032123692,0.0903803489778671,0.1035364741731135,1.3670388776995333e-05,3.394219686359227e-05,1.1527150499543197e-05,3.171406915209793e-05,1.6154175696488545e-05,3.800208841060996e-05,1.0635854307563548e-05,3.036162299575854e-05,1.6877109401320174e-05,4.027693944028884e-05,1.8503874297768733e-05,4.7082444176784486e-05,1.55582821045221e-05,4.33484936746738e-05,2.1889126143001863e-05,5.1592726019428336e-05,1.4247472691263162e-05,4.1325056522750105e-05,2.2775824524065826e-05,5.426323547881219e-05,0.0005228261144554,0.0003176127313753,0.0005089475947796,0.0002729883269956,0.0045190059472891,0.0003606896973773,0.0005062888724871,0.0002693710881497,0.0055433301221262,0.0003841625829194,1.0,1.0,0.987,1.0,1.0,1.0,0.985,1.0,1.0,1.0
310,0.4007153631398241,0.2715229280114982,0.3929296378661785,0.2703593597698417,0.4095628596075375,0.3121483509528805,0.3887029319127351,0.2698605413841218,0.414717893098955,0.334247488848193,0.055211435012598,0.1273108653193128,0.0435206913429726,0.1069830748874405,0.0736769637759521,0.1835051335254677,0.036806597584901,0.1019458271977539,0.0765018219238461,0.2163348924689243,314.0430729975924,247.76456474908628,277.5773754974361,230.04132690420371,411.69168289843947,277.27852445165627,260.2880434913095,229.74634550046176,417.30125948786736,296.563340757275,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,310.0,0.0809194633003767,0.0887144379558797,0.0710582162183141,0.0812754022840671,0.0943260970200641,0.105971810533481,0.0654107872311455,0.0793496824567424,0.0961548457304463,0.1158871904878442,1.3641572271467195e-05,3.3431226037879826e-05,1.0912549532298913e-05,2.971154853428777e-05,1.812946686994714e-05,4.140844861634472e-05,9.404820650963189e-06,2.885357577352673e-05,1.8655818071549887e-05,4.591337430663217e-05,1.840846524564701e-05,4.547226806557208e-05,1.4666729051481754e-05,4.017988995584673e-05,2.448423618953253e-05,5.552171817216469e-05,1.2595486197998215e-05,3.8947610821871e-05,2.520915555541972e-05,6.0938370724771226e-05,0.0004956871992116,0.0003575776300156,0.0004568183360692,0.0003090463659855,0.0012941500675895,0.0003815170690506,0.0004491513545954,0.0002911790817105,0.0018118347990258,0.0003941103660511,1.0,1.0,0.985,1.0,1.0,1.0,0.975,1.0,1.0,1.0
360,0.4396234483287047,0.3061930737248581,0.4208514798672239,0.3026903054132126,0.4474033444117656,0.3149442409842665,0.4139179265712571,0.3009408949130258,0.4522376677534432,0.3165151328180944,0.0520385860973688,0.1540059757993763,0.0501947883614712,0.1342636863395329,0.057514153983741,0.1577528520085224,0.0500551295996488,0.1239511432514014,0.0595540234946065,0.1586909726026423,346.16779950098135,277.6934065000387,336.8150087930262,270.889265900827,374.74784440081567,281.7622292015003,331.6499349894002,270.7745204976527,376.5219009993598,282.1561529993778,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,0.0787676279099403,0.0977394057287172,0.0770604233643936,0.0911157392627097,0.0827141851382434,0.0988782529397525,0.0768270643916378,0.0876046718818103,0.0843255374813845,0.0991711502910958,1.323678950422702e-05,3.724007223028241e-05,1.273172680769734e-05,3.395734359564337e-05,1.4324552172229873e-05,3.8026650602396086e-05,1.2562992285481225e-05,3.210402076529434e-05,1.4841020978952392e-05,3.8275434692563976e-05,1.7904459763913976e-05,5.033434200223748e-05,1.7073278111770298e-05,4.584834490199719e-05,1.934923691098812e-05,5.147248033178856e-05,1.6874400357620626e-05,4.327735494383168e-05,2.010349114466403e-05,5.191625673803031e-05,0.0004470731636684,0.0003593035608879,0.0004279121122854,0.0003134355893592,0.0004618676241013,0.0063003710910513,0.0004185368110784,0.0002994909761913,0.0004654246733682,0.0102552757856,1.0,1.0,1.0,0.9925,1.0,1.0,1.0,0.9875,1.0,1.0
410,0.4748570726647385,0.4184850650154305,0.4579950462867889,0.4178440757187476,0.4870403148060323,0.4284522038982666,0.4512839592935317,0.4177201198837847,0.489116988501028,0.4299498766149225,0.060331119256369,0.2594503060031941,0.0498863231203209,0.2546974740305039,0.0676892231875709,0.2697021989130742,0.0436314077673158,0.2544325290177415,0.0686560105477923,0.2718400537618517,107.62924799928442,93.41588600014802,96.78813920309769,88.43963485723361,114.54387609870172,95.63034534698818,90.27079000137746,87.58743825834244,115.17661949503236,96.44966524501795,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,410.0,0.0848461759616992,0.1270772194954681,0.0767863753946205,0.1259074552523067,0.090132873152813,0.1296357920878336,0.0717222859706053,0.1258245803173984,0.0908793220921314,0.1301516241372172,1.517964083975715e-05,5.0590217968343246e-05,1.2975720154804615e-05,5.0058474054171895e-05,1.6834879985996735e-05,5.173779401210366e-05,1.1547787954984238e-05,5.001546217953813e-05,1.70838764115945e-05,5.197466707732738e-05,2.0247012898246725e-05,6.262544384210877e-05,1.7032702228640375e-05,6.208153187681527e-05,2.2478548125858376e-05,6.343857639949291e-05,1.4899429560691263e-05,6.206584758748248e-05,2.282964322331988e-05,6.397742883138525e-05,0.0005327585563803,0.0003180267780964,0.0004852521513902,0.0002672360322402,0.0005489080599828,0.0003272705481725,0.0004795304520341,0.0002572356873258,0.0005566701626866,0.0003284717177718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,0.5184990146681602,0.4473040214435878,0.4982979360672209,0.4459845871887813,0.5230625789432354,0.456711740290659,0.4914511092015886,0.4454619975596818,0.5233395340138609,0.4628242865586361,0.0600745975308625,0.2526211845791836,0.0509053220398813,0.2471563473890847,0.0604146939089053,0.2655335247932797,0.0454994520183216,0.2467701887557046,0.0605395955396616,0.2717702815275603,105.21433300804348,89.79783650604077,93.28437369689344,86.33675110596232,106.1856571023818,97.14549560344312,87.8566685016267,85.50095350248739,106.67356049758382,101.90657850180288,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,460.0,0.0846931387678374,0.1254881941354947,0.0775666979949316,0.1240474129856802,0.0852004347123933,0.1286106185842586,0.0734326186307612,0.1239350865125222,0.0853791370564633,0.1301742671107255,1.5241997786840068e-05,4.998689722089981e-05,1.3254609601984848e-05,4.935697835463089e-05,1.5508334928468868e-05,5.130122735227866e-05,1.2169151608985625e-05,4.9306073873686064e-05,1.5587582332739465e-05,5.199291310247655e-05,1.9996909252082287e-05,6.252098203668859e-05,1.7096957427785664e-05,6.233614862284998e-05,2.041265994298295e-05,6.354250776365336e-05,1.5459369321342845e-05,6.229283295361281e-05,2.0545681145360286e-05,6.396269670277915e-05,0.0005180109619429,0.0003110846290395,0.0004926698911172,0.0002564273038309,0.0005710080219589,0.0003478086782922,0.0004772415332986,0.0002440358029089,0.0005931242931514,0.0003557338503214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
510,0.5647004902182132,0.4850359376667447,0.5423954258105109,0.4726867428639184,0.576273656657056,0.4882459174727518,0.5290187135983078,0.4668911486417933,0.5768378148771731,0.4888916101306392,0.061130083816227,0.2646733010918805,0.0526282853629217,0.2592623275248591,0.0628467741235489,0.2686412768374433,0.0482838028276773,0.2575480231673952,0.0639263828777457,0.2709263401993949,103.73167700134218,86.46565374918282,96.11369889369234,83.47618354507722,108.4444782966748,91.4297536079539,92.080714488402,82.40492323995568,109.99128949828446,91.59318300837184,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,510.0,0.0854414640781128,0.1283861160394399,0.0792348336327548,0.1271347736891374,0.0868517883866403,0.1293878022409772,0.075808152073561,0.1266896092629274,0.0876854102701352,0.1299174024009963,1.5536853526906598e-05,5.120761364522412e-05,1.397869186189638e-05,5.073297105087685e-05,1.601519120002331e-05,5.165930350439653e-05,1.3031996791998873e-05,5.0519262389636855e-05,1.6237098234369414e-05,5.186794583559684e-05,2.026670339887769e-05,6.371715920936597e-05,1.796167561156692e-05,6.305437075964538e-05,2.088783457834408e-05,6.408876609146393e-05,1.652133840241386e-05,6.29040621639969e-05,2.117013441413971e-05,6.42233587728636e-05,0.0005134159466634,0.0002693915863916,0.0004866378972901,0.0002490565039421,0.0005445623008256,0.0003094148248396,0.0004840521002247,0.0002445593377716,0.0005628401991605,0.0003174077921589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
