K,sigma_mk_min_mean,sigma_mk_min_var,sigma_mk_min_std,cost_mean,cost_var,cost_std,solve_mean_mean,solve_mean_var,solve_mean_std,K_opt_mean_mean,K_opt_mean_var,K_opt_mean_std,rmse_mean,rmse_var,rmse_std,ISE_mean,ISE_var,ISE_std,IAE_mean,IAE_var,IAE_std,slack_max_mean,slack_max_var,slack_max_std,solver_opt_rate_mean,solver_opt_rate_var,solver_opt_rate_std
60,0.1356722986240834,9.722682691755982e-05,0.0098603664697393,0.0367771448081343,0.0001454179393677,0.0120589360794299,146.60153379687108,61.97221367970539,7.872243243174425,60.0,0.0,0.0,0.0637162694347623,0.0001208919043302,0.0109950854626168,8.891059284903714e-06,6.031986234292487e-12,2.456010226829784e-06,1.204922944638378e-05,1.1794824122729204e-11,3.4343593467674875e-06,0.0095179591323533,0.0001523628588855,0.0123435351048867,0.977,9.500000000000015e-05,0.0097467943448089
110,0.2156693292694262,4.9713757246027646e-05,0.007050798341041,0.0358161709030578,3.020478391166056e-05,0.0054958879093064,232.1392389016692,126.0168207616126,11.225721391590502,110.0,0.0,0.0,0.063530085976871,2.8882514819057585e-05,0.0053742455116097,8.527222428070335e-06,1.305325435934824e-12,1.142508396439529e-06,1.157950859267522e-05,2.6470958264824227e-12,1.6269898052791918e-06,0.0073053602654922,2.0269962112051173e-05,0.0045022174660994,0.964,0.0002049999999999,0.0143178210632763
160,0.2693257273176489,6.478921980015864e-05,0.0080491751006024,0.0426728209511151,5.605377651364959e-05,0.0074869070058101,310.51016230206005,144.45892439502478,12.019106638807427,160.0,0.0,0.0,0.0701571492779242,4.4036473691536784e-05,0.006635998319133,1.0157603353887744e-05,2.5620198462521387e-12,1.6006310774979156e-06,1.3765715097487336e-05,5.113214535014093e-12,2.2612418125919423e-06,0.0008086065641331,1.321233363914471e-07,0.0003634877389836,0.999,4.9999999999998285e-06,0.0022360679774997
210,0.3217176495626923,1.8818465374138324e-06,0.0013718041177273,0.0477784161665913,4.639295189646244e-05,0.0068112371781096,270.0222356999293,157.77358636259106,12.560795610254594,210.0,0.0,0.0,0.0747244862656708,3.238019831266546e-05,0.005690360121527,1.1546274858475789e-05,1.8978279095093925e-12,1.3776167498652857e-06,1.563090932515969e-05,3.836109014673691e-12,1.958598737534999e-06,0.0014873357102283,1.8352365409405763e-06,0.0013547090244552,0.998,7.500000000000069e-06,0.0027386127875258
260,0.3613426112165804,7.962688490453009e-05,0.0089233897653599,0.0565043396475949,9.780253685337731e-05,0.0098895165126196,315.0238473995123,996.172799658934,31.562205240745364,260.0,0.0,0.0,0.0816672306788658,5.835297466602306e-05,0.007638911877095,1.3823444482526565e-05,5.495679637994242e-12,2.3442865946795504e-06,1.872214926178283e-05,1.0327834897299404e-11,3.2136948979794897e-06,0.0020135800944641,5.036046777180891e-06,0.0022441138066463,0.995,4.999999999999978e-05,0.0070710678118654
310,0.4010472388636539,8.57879245088339e-05,0.0092621770933638,0.0583102726111073,0.0002372676536518,0.0154034948518794,339.6842134995386,4584.545755287104,67.70927377610178,310.0,0.0,0.0,0.0827194859831053,0.0001430195876029,0.0119590797138817,1.4443258783165158e-05,1.344390838434493e-11,3.6665935668335168e-06,1.947671149429475e-05,2.4905369976212e-11,4.99052802579166e-06,0.0007485230263096,3.540026297226443e-07,0.0005949812011506,0.995,0.000125,0.0111803398874989
360,0.4354365423727657,0.0002006512557065,0.0141651422762564,0.0533012730826544,1.5237722137619825e-05,0.003903552502224,354.1978028982412,371.02604634428906,19.26203640180054,360.0,0.0,0.0,0.0795255696460043,8.991281267097142e-06,0.0029985465257516,1.343509606436565e-05,7.481060958737414e-13,8.64931266560379e-07,1.809436031393354e-05,1.5246530888372689e-12,1.234768435309742e-06,0.0004459083524824,3.149446388988003e-10,1.774667965842626e-05,1.0,0.0,0.0
410,0.4734490002999023,0.0002193834410879,0.014811598194926,0.0596252551737089,9.543131351436456e-05,0.0097688952043905,106.6471163011156,97.54442966317006,9.87645835627175,410.0,0.0,0.0,0.0841686986597829,5.597988425415011e-05,0.0074819706130236,1.5078061801694232e-05,4.602898186117314e-12,2.145436595688e-06,2.0032120478497605e-05,9.485649827492763e-12,3.0798782163411536e-06,0.0005200117554905,1.0319912731341108e-09,3.2124620980396186e-05,1.0,0.0,0.0
460,0.5129009961173152,0.0001785398262303,0.0133618795919716,0.0570710227247675,4.2172927520817565e-05,0.0064940686415233,101.32485910132527,60.546789273629166,7.781181740174764,460.0,0.0,0.0,0.0824410185385074,2.570578425252288e-05,0.0050700872036408,1.4654198428422364e-05,1.996260903156915e-12,1.4128909735563162e-06,1.9153685489130453e-05,4.394698074123971e-12,2.096353518403795e-06,0.0005284045662817,1.7904487286540831e-09,4.231369433946986e-05,1.0,0.0,0.0
510,0.5616889864298781,0.0003738106619692,0.0193341837678561,0.0587425279359384,3.707352312187743e-05,0.0060888030943591,102.81822359678335,44.73508699716771,6.688429337084134,510.0,0.0,0.0,0.0837822475909505,2.130855401819988e-05,0.0046161189345812,1.5177402733704335e-05,1.5397165041906212e-12,1.2408531356250912e-06,1.970894849307568e-05,3.3371146070715666e-12,1.8267771093024917e-06,0.000513594058452,9.607808041934975e-10,3.099646438214361e-05,1.0,0.0,0.0
560,0.6029469953400609,0.0004575991584952,0.0213915674623259,0.061920783405782,5.338141708283833e-05,0.0073062587610102,102.80361060006544,105.23951176596536,10.258631086356765,560.0,0.0,0.0,0.0861452711806837,2.943994499769004e-05,0.0054258589179677,1.5939020181196996e-05,2.2168666021463577e-12,1.4889145718093962e-06,2.075398191835634e-05,4.8047856188777266e-12,2.1919821210214577e-06,0.0005066280193926,1.53877974427714e-09,3.922728316206898e-05,1.0,0.0,0.0
610,0.6378426643507795,0.0003535507626526,0.0188029455844732,0.0660848767070504,4.520577080324157e-05,0.006723523689498,105.440091899829,57.23625976657828,7.565464940542536,610.0,0.0,0.0,0.089210279433064,2.3115121765355497e-05,0.0048078188157786,1.686266326690175e-05,1.6199486488087353e-12,1.2727720333228316e-06,2.2065137910150964e-05,3.5973631940596587e-12,1.8966716094410384e-06,0.0005057826553739,1.5869394727608735e-09,3.9836408883844856e-05,1.0,0.0,0.0
660,0.6704898696835051,0.0001685386708658,0.0129822444463898,0.0703876547129761,6.463497977269111e-05,0.0080395882837799,109.73182110511698,123.19899482854548,11.099504260485938,660.0,0.0,0.0,0.092197982264128,3.172192676857684e-05,0.0056322221874298,1.770668279335271e-05,2.0880848980523828e-12,1.4450207258210462e-06,2.339537951653693e-05,4.7156405941778455e-12,2.171552576885452e-06,0.0004923274056212,3.4977365234417407e-10,1.870223655994582e-05,1.0,0.0,0.0
710,0.7058216432056692,3.433899647471337e-05,0.0058599485044421,0.0726131325462795,4.832871966540117e-05,0.0069518860509505,111.07787099899724,46.96027723776443,6.852756907826545,710.0,0.0,0.0,0.0937952993531798,2.280724211230817e-05,0.0047756928410763,1.817028671255693e-05,1.3790489077296218e-12,1.174329130920979e-06,2.4145255600947895e-05,3.1727202539816217e-12,1.7812131410871698e-06,0.0005003195660807,7.654977183541656e-10,2.766762943141616e-05,1.0,0.0,0.0
760,0.7376546284324301,0.0001232289508713,0.0111008536100328,0.0738840447133062,4.908528154654151e-05,0.0070060888908535,113.97082389588468,48.39687020440397,6.956785910490847,760.0,0.0,0.0,0.0946828549159809,2.2563085504144276e-05,0.0047500616316153,1.8401405057464453e-05,1.3222364754595614e-12,1.149885418404617e-06,2.4619734599049893e-05,3.104099304984532e-12,1.761845425962372e-06,0.0004689728811032,1.2547861776434098e-10,1.1201723874669514e-05,1.0,0.0,0.0
810,0.7744790938174024,4.758721528099319e-05,0.0068983487358202,0.0760724947397144,4.02860682910609e-05,0.0063471307132483,112.25712619931436,41.78731824927682,6.464311119467938,810.0,0.0,0.0,0.0961756212687908,1.7607838814880327e-05,0.0041961695407693,1.878129125812931e-05,9.43515622851568e-13,9.71347323490196e-07,2.526452811987109e-05,2.4401251681812894e-12,1.5620900000260194e-06,0.0005011842641526,1.229423520814622e-09,3.5063136209053266e-05,1.0,0.0,0.0
860,0.8068183026297083,7.403922510648754e-05,0.0086046048779991,0.0780247949048695,5.20482101412648e-05,0.0072144445483533,109.1087806033902,74.32432853957327,8.621155870274778,860.0,0.0,0.0,0.097455108068555,2.2572970475111307e-05,0.0047511020274365,1.90964455308174e-05,1.1891484265731329e-12,1.0904808235696455e-06,2.57972372965243e-05,3.065029035415843e-12,1.750722432430636e-06,0.0005076340827843,1.7613501907449995e-09,4.196844279628444e-05,1.0,0.0,0.0
910,0.8375841326810065,7.44964095936387e-05,0.0086311302616539,0.0794495117927918,3.4523834304394255e-05,0.0058756986226655,110.29875510069542,60.245888010758975,7.761822467098753,910.0,0.0,0.0,0.0984334999998469,1.4546996212656396e-05,0.0038140524659024,1.934379694340276e-05,7.322248641443282e-13,8.557013872516091e-07,2.623945679268351e-05,1.9695446186582917e-12,1.4034046524998737e-06,0.0004997813160745,3.4648209248536642e-09,5.886272950563594e-05,1.0,0.0,0.0
960,0.8748449900322559,7.214351201719133e-05,0.0084937336912097,0.0798233547424938,4.337613890135645e-05,0.0065860563998007,110.8806477044709,80.23276701629908,8.957274530586806,960.0,0.0,0.0,0.098672909730844,1.823155272552654e-05,0.0042698422366085,1.939668439179765e-05,9.170771323270236e-13,9.576414424653016e-07,2.639721195077629e-05,2.3780241234739285e-12,1.542084343826215e-06,0.0004860135470304,1.5773938290692311e-09,3.97164176263322e-05,1.0,0.0,0.0
