K,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
10,0.2636640523194207,0.25763216262471644,0.2672868933916744,0.2575363850788557,0.2691123438960803,0.30776503339567834,0.2909795529511445,0.3153074553972131,0.2829141516303666,0.3200602010136767,60.054895494831726,56.47279230481945,62.334518098970875,55.81259350175969,63.572145499056205,10.0,10.0,10.0,10.0,10.0,0.1850199811048804,0.17378483327326005,0.19040649814518365,0.17082128847260852,0.19267449583302312,3.515755350234179e-05,3.277400215260888e-05,3.627850232027633e-05,3.240981624579199e-05,3.643359146877099e-05,4.629401344632771e-05,4.377297195458605e-05,4.82351364853132e-05,4.335742163969491e-05,4.84789501496483e-05,10.081012824672005,9.66025770804957,11.002706938651237,9.63177391141074,11.589803594226407,0.61,0.5750000000000001,0.627,0.555,0.635
60,0.1405083392323661,0.12485090480669121,0.14418304824543973,0.12364359557735684,0.14581986190719562,0.03389968070007643,0.026786514565997486,0.0496408195631857,0.026248776653173125,0.05591580731155263,144.05756499269046,139.78553749388084,155.22346690110862,138.93123348942026,158.21358050219715,60.0,60.0,60.0,60.0,60.0,0.062148793390563666,0.053946459513137125,0.07535390357008566,0.05319918345620784,0.08043752439340983,8.404592162598263e-06,6.761668992567951e-06,1.1490867149367198e-05,6.452886319072069e-06,1.2708385866763063e-05,1.1393548495729493e-05,9.070271787978607e-06,1.5689475802800322e-05,8.7115770689125e-06,1.738196341260332e-05,0.005489059436449138,0.0021707354639262256,0.021237735962745953,0.001486621210990831,0.0313542634717345,0.98,0.967,0.986,0.965,0.99
110,0.21764697356755705,0.20841808670581344,0.2216789603492285,0.20499989094799156,0.22408599876807037,0.035727831887103746,0.03048352969212994,0.04116736924158959,0.028307296071763105,0.043241153340463634,234.79874200653285,220.20997320488095,241.33100699819624,214.1648940066807,241.7451020050794,110.0,110.0,110.0,110.0,110.0,0.06345519145845167,0.05831130574860372,0.06880104526319596,0.056311316109031354,0.0708599620981598,8.56430444285103e-06,7.435508886948544e-06,9.656565224864755e-06,7.129753030955208e-06,1.0187002133110003e-05,1.1649867618706507e-05,1.001016429097728e-05,1.3188415140204243e-05,9.580096533352175e-06,1.3917449933216263e-05,0.006430282747786922,0.00391577736729548,0.011760452482105676,0.0032619702667683473,0.014926141820888849,0.965,0.949,0.978,0.945,0.98
160,0.2684647547571036,0.2617147983073229,0.27715015512199104,0.2580192347222334,0.27997776876205455,0.04387101444102753,0.034715520509205185,0.049854736045907524,0.032757592210169634,0.051107509936297285,316.5487029973883,297.6222522025928,320.9248992023058,297.56308199604973,323.16845800261945,160.0,160.0,160.0,160.0,160.0,0.07133993785027434,0.06304602326415709,0.07642339681849142,0.0611773145426061,0.07727816879194274,1.0290535243857831e-05,8.473934591420286e-06,1.1720849354479536e-05,8.06628767393916e-06,1.1912669004398175e-05,1.3928423488519474e-05,1.1390237912584486e-05,1.5971702184760465e-05,1.0780160770375884e-05,1.6229235718514454e-05,0.0007430926694169974,0.0005107058505944068,0.0011864722549886197,0.0004871364679891159,0.0013988737574281143,1.0,0.997,1.0,0.995,1.0
210,0.3211110774371472,0.3208421755663078,0.32312416194492505,0.3207794114361023,0.32409793536743287,0.04943417025441975,0.040474253162736125,0.05346344233881818,0.03708274445737097,0.053689911893327044,273.145266501233,257.5307353991084,280.43535190075636,250.66305799642578,285.2355545060709,210.0,210.0,210.0,210.0,210.0,0.07627780994943803,0.06864796197128559,0.07929650258561174,0.0655663944911356,0.07946668553551912,1.1853876889513668e-05,1.0098024547021919e-05,1.264749087950758e-05,9.304304230068425e-06,1.2668278096848533e-05,1.606995166945714e-05,1.3569052773260229e-05,1.7204246930717847e-05,1.2450630024829166e-05,1.7246678582378606e-05,0.0007525720777653089,0.0004978661576277433,0.0029929477498972755,0.00046375335528691747,0.0036221032355853405,1.0,0.995,1.0,0.995,1.0
260,0.3587786395425349,0.3533274244129572,0.3711119301677729,0.3532058117380208,0.37312212808489503,0.05632162038848734,0.046503202934662716,0.06599637367596138,0.042195819258364284,0.06790190809578166,314.776256486075,287.1078903079033,347.1472535969224,286.70268251094967,363.88707599020563,260.0,260.0,260.0,260.0,260.0,0.08161799072617583,0.07394656941119437,0.08890194124169018,0.07042587895024896,0.09038034897786716,1.3670388776995333e-05,1.1527150499543195e-05,1.6154175696488545e-05,1.0635854307563547e-05,1.6877109401320174e-05,1.8503874297768733e-05,1.55582821045221e-05,2.1889126143001863e-05,1.4247472691263162e-05,2.2775824524065826e-05,0.0005228261144554953,0.0005089475947796476,0.004519005947289136,0.0005062888724871703,0.005543330122126293,1.0,0.987,1.0,0.985,1.0
310,0.4007153631398241,0.39292963786617857,0.4095628596075375,0.3887029319127351,0.414717893098955,0.055211435012598016,0.04352069134297268,0.07367696377595218,0.03680659758490102,0.0765018219238461,314.0430729975924,277.57737549743615,411.69168289843947,260.2880434913095,417.30125948786736,310.0,310.0,310.0,310.0,310.0,0.08091946330037678,0.0710582162183141,0.09432609702006417,0.06541078723114553,0.09615484573044633,1.3641572271467197e-05,1.0912549532298911e-05,1.812946686994714e-05,9.404820650963189e-06,1.8655818071549887e-05,1.840846524564701e-05,1.4666729051481754e-05,2.448423618953253e-05,1.2595486197998215e-05,2.520915555541972e-05,0.0004956871992116839,0.000456818336069283,0.0012941500675895281,0.0004491513545954081,0.0018118347990258383,1.0,0.985,1.0,0.975,1.0
360,0.43962344832870476,0.4208514798672239,0.4474033444117656,0.4139179265712571,0.4522376677534432,0.05203858609736886,0.05019478836147129,0.057514153983741094,0.05005512959964889,0.0595540234946065,346.16779950098135,336.8150087930262,374.74784440081567,331.6499349894002,376.5219009993598,360.0,360.0,360.0,360.0,360.0,0.07876762790994034,0.07706042336439366,0.08271418513824343,0.0768270643916378,0.0843255374813845,1.3236789504227021e-05,1.273172680769734e-05,1.4324552172229871e-05,1.2562992285481223e-05,1.4841020978952392e-05,1.7904459763913976e-05,1.7073278111770298e-05,1.934923691098812e-05,1.6874400357620626e-05,2.010349114466403e-05,0.00044707316366844504,0.0004279121122854257,0.00046186762410136025,0.00041853681107844367,0.00046542467336824857,1.0,1.0,1.0,1.0,1.0
410,0.4748570726647385,0.45799504628678894,0.4870403148060323,0.45128395929353177,0.489116988501028,0.06033111925636905,0.049886323120320965,0.06768922318757097,0.04363140776731584,0.06865601054779231,107.62924799928442,96.78813920309767,114.54387609870173,90.27079000137746,115.17661949503236,410.0,410.0,410.0,410.0,410.0,0.0848461759616992,0.07678637539462053,0.09013287315281304,0.07172228597060538,0.09087932209213148,1.517964083975715e-05,1.2975720154804615e-05,1.6834879985996735e-05,1.1547787954984238e-05,1.70838764115945e-05,2.0247012898246725e-05,1.7032702228640375e-05,2.2478548125858376e-05,1.4899429560691263e-05,2.2829643223319877e-05,0.0005327585563803847,0.00048525215139022315,0.000548908059982839,0.0004795304520341188,0.0005566701626866635,1.0,1.0,1.0,1.0,1.0
460,0.5184990146681602,0.4982979360672209,0.5230625789432354,0.4914511092015886,0.5233395340138609,0.06007459753086258,0.05090532203988132,0.06041469390890531,0.04549945201832165,0.06053959553966165,105.21433300804347,93.28437369689345,106.18565710238181,87.8566685016267,106.67356049758382,460.0,460.0,460.0,460.0,460.0,0.0846931387678374,0.0775666979949316,0.08520043471239333,0.07343261863076128,0.0853791370564633,1.5241997786840068e-05,1.3254609601984848e-05,1.5508334928468868e-05,1.2169151608985623e-05,1.5587582332739465e-05,1.9996909252082287e-05,1.7096957427785664e-05,2.041265994298295e-05,1.5459369321342845e-05,2.0545681145360286e-05,0.0005180109619429385,0.0004926698911172846,0.0005710080219589933,0.0004772415332986127,0.0005931242931514171,1.0,1.0,1.0,1.0,1.0
