K,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
60,0.1405083392323661,0.1248509048066912,0.1441830482454397,0.1236435955773568,0.1458198619071956,0.0338996807000764,0.0267865145659974,0.0496408195631857,0.0262487766531731,0.0559158073115526,144.05756499269046,139.78553749388084,155.22346690110862,138.93123348942026,158.21358050219715,60.0,60.0,60.0,60.0,60.0,0.0621487933905636,0.0539464595131371,0.0753539035700856,0.0531991834562078,0.0804375243934098,8.404592162598263e-06,6.761668992567951e-06,1.1490867149367198e-05,6.452886319072069e-06,1.2708385866763064e-05,1.1393548495729492e-05,9.070271787978607e-06,1.5689475802800322e-05,8.7115770689125e-06,1.738196341260332e-05,0.0054890594364491,0.0021707354639262,0.0212377359627459,0.0014866212109908,0.0313542634717345,0.98,0.967,0.986,0.965,0.99
110,0.217646973567557,0.2084180867058134,0.2216789603492285,0.2049998909479915,0.2240859987680703,0.0357278318871037,0.0304835296921299,0.0411673692415895,0.0283072960717631,0.0432411533404636,234.79874200653285,220.20997320488092,241.33100699819624,214.1648940066807,241.7451020050794,110.0,110.0,110.0,110.0,110.0,0.0634551914584516,0.0583113057486037,0.0688010452631959,0.0563113161090313,0.0708599620981598,8.56430444285103e-06,7.435508886948544e-06,9.656565224864756e-06,7.129753030955208e-06,1.0187002133110004e-05,1.1649867618706509e-05,1.001016429097728e-05,1.3188415140204244e-05,9.580096533352177e-06,1.3917449933216263e-05,0.0064302827477869,0.0039157773672954,0.0117604524821056,0.0032619702667683,0.0149261418208888,0.965,0.949,0.978,0.945,0.98
160,0.2684647547571036,0.2617147983073229,0.277150155121991,0.2580192347222334,0.2799777687620545,0.0438710144410275,0.0347155205092051,0.0498547360459075,0.0327575922101696,0.0511075099362972,316.5487029973883,297.6222522025928,320.9248992023058,297.56308199604973,323.16845800261945,160.0,160.0,160.0,160.0,160.0,0.0713399378502743,0.063046023264157,0.0764233968184914,0.0611773145426061,0.0772781687919427,1.0290535243857833e-05,8.473934591420286e-06,1.1720849354479536e-05,8.06628767393916e-06,1.1912669004398177e-05,1.3928423488519474e-05,1.1390237912584486e-05,1.5971702184760465e-05,1.0780160770375884e-05,1.6229235718514454e-05,0.0007430926694169,0.0005107058505944,0.0011864722549886,0.0004871364679891,0.0013988737574281,1.0,0.997,1.0,0.995,1.0
210,0.3211110774371472,0.3208421755663078,0.323124161944925,0.3207794114361023,0.3240979353674328,0.0494341702544197,0.0404742531627361,0.0534634423388181,0.0370827444573709,0.053689911893327,273.145266501233,257.5307353991084,280.4353519007564,250.66305799642575,285.2355545060709,210.0,210.0,210.0,210.0,210.0,0.076277809949438,0.0686479619712855,0.0792965025856117,0.0655663944911356,0.0794666855355191,1.1853876889513668e-05,1.009802454702192e-05,1.264749087950758e-05,9.304304230068424e-06,1.2668278096848533e-05,1.606995166945714e-05,1.3569052773260229e-05,1.7204246930717847e-05,1.2450630024829166e-05,1.7246678582378606e-05,0.0007525720777653,0.0004978661576277,0.0029929477498972,0.0004637533552869,0.0036221032355853,1.0,0.995,1.0,0.995,1.0
260,0.3587786395425349,0.3533274244129572,0.3711119301677729,0.3532058117380208,0.373122128084895,0.0563216203884873,0.0465032029346627,0.0659963736759613,0.0421958192583642,0.0679019080957816,314.776256486075,287.1078903079033,347.1472535969224,286.70268251094967,363.8870759902056,260.0,260.0,260.0,260.0,260.0,0.0816179907261758,0.0739465694111943,0.0889019412416901,0.0704258789502489,0.0903803489778671,1.3670388776995333e-05,1.1527150499543197e-05,1.6154175696488545e-05,1.0635854307563548e-05,1.6877109401320174e-05,1.8503874297768733e-05,1.55582821045221e-05,2.1889126143001863e-05,1.4247472691263162e-05,2.2775824524065826e-05,0.0005228261144554,0.0005089475947796,0.0045190059472891,0.0005062888724871,0.0055433301221262,1.0,0.987,1.0,0.985,1.0
310,0.4007153631398241,0.3929296378661785,0.4095628596075375,0.3887029319127351,0.414717893098955,0.055211435012598,0.0435206913429726,0.0736769637759521,0.036806597584901,0.0765018219238461,314.0430729975924,277.5773754974361,411.69168289843947,260.2880434913095,417.30125948786736,310.0,310.0,310.0,310.0,310.0,0.0809194633003767,0.0710582162183141,0.0943260970200641,0.0654107872311455,0.0961548457304463,1.3641572271467195e-05,1.0912549532298913e-05,1.812946686994714e-05,9.404820650963189e-06,1.8655818071549887e-05,1.840846524564701e-05,1.4666729051481754e-05,2.448423618953253e-05,1.2595486197998215e-05,2.520915555541972e-05,0.0004956871992116,0.0004568183360692,0.0012941500675895,0.0004491513545954,0.0018118347990258,1.0,0.985,1.0,0.975,1.0
360,0.4396234483287047,0.4208514798672239,0.4474033444117656,0.4139179265712571,0.4522376677534432,0.0520385860973688,0.0501947883614712,0.057514153983741,0.0500551295996488,0.0595540234946065,346.16779950098135,336.8150087930262,374.74784440081567,331.6499349894002,376.5219009993598,360.0,360.0,360.0,360.0,360.0,0.0787676279099403,0.0770604233643936,0.0827141851382434,0.0768270643916378,0.0843255374813845,1.323678950422702e-05,1.273172680769734e-05,1.4324552172229873e-05,1.2562992285481225e-05,1.4841020978952392e-05,1.7904459763913976e-05,1.7073278111770298e-05,1.934923691098812e-05,1.6874400357620626e-05,2.010349114466403e-05,0.0004470731636684,0.0004279121122854,0.0004618676241013,0.0004185368110784,0.0004654246733682,1.0,1.0,1.0,1.0,1.0
410,0.4748570726647385,0.4579950462867889,0.4870403148060323,0.4512839592935317,0.489116988501028,0.060331119256369,0.0498863231203209,0.0676892231875709,0.0436314077673158,0.0686560105477923,107.62924799928442,96.78813920309769,114.54387609870172,90.27079000137746,115.17661949503236,410.0,410.0,410.0,410.0,410.0,0.0848461759616992,0.0767863753946205,0.090132873152813,0.0717222859706053,0.0908793220921314,1.517964083975715e-05,1.2975720154804615e-05,1.6834879985996735e-05,1.1547787954984238e-05,1.70838764115945e-05,2.0247012898246725e-05,1.7032702228640375e-05,2.2478548125858376e-05,1.4899429560691263e-05,2.282964322331988e-05,0.0005327585563803,0.0004852521513902,0.0005489080599828,0.0004795304520341,0.0005566701626866,1.0,1.0,1.0,1.0,1.0
460,0.5184990146681602,0.4982979360672209,0.5230625789432354,0.4914511092015886,0.5233395340138609,0.0600745975308625,0.0509053220398813,0.0604146939089053,0.0454994520183216,0.0605395955396616,105.21433300804348,93.28437369689344,106.1856571023818,87.8566685016267,106.67356049758382,460.0,460.0,460.0,460.0,460.0,0.0846931387678374,0.0775666979949316,0.0852004347123933,0.0734326186307612,0.0853791370564633,1.5241997786840068e-05,1.3254609601984848e-05,1.5508334928468868e-05,1.2169151608985625e-05,1.5587582332739465e-05,1.9996909252082287e-05,1.7096957427785664e-05,2.041265994298295e-05,1.5459369321342845e-05,2.0545681145360286e-05,0.0005180109619429,0.0004926698911172,0.0005710080219589,0.0004772415332986,0.0005931242931514,1.0,1.0,1.0,1.0,1.0
510,0.5647004902182132,0.5423954258105109,0.576273656657056,0.5290187135983078,0.5768378148771731,0.061130083816227,0.0526282853629217,0.0628467741235489,0.0482838028276773,0.0639263828777457,103.73167700134218,96.11369889369234,108.4444782966748,92.080714488402,109.99128949828446,510.0,510.0,510.0,510.0,510.0,0.0854414640781128,0.0792348336327548,0.0868517883866403,0.075808152073561,0.0876854102701352,1.5536853526906598e-05,1.397869186189638e-05,1.601519120002331e-05,1.3031996791998873e-05,1.6237098234369414e-05,2.026670339887769e-05,1.796167561156692e-05,2.088783457834408e-05,1.652133840241386e-05,2.117013441413971e-05,0.0005134159466634,0.0004866378972901,0.0005445623008256,0.0004840521002247,0.0005628401991605,1.0,1.0,1.0,1.0,1.0
560,0.6078916238102404,0.5828042663433223,0.6178096411097086,0.5664146957200104,0.6229681357650158,0.0611627477920194,0.0547242246781429,0.0685571055582011,0.0507615882892808,0.0687627244186576,101.35148049914278,93.57317859889008,112.71272050216794,88.8188179989811,117.27753250394017,560.0,560.0,560.0,560.0,560.0,0.0855986946929063,0.0807886626068533,0.0911046447874086,0.0778874799959229,0.0913237345543619,1.5732113945660807e-05,1.446982777821962e-05,1.73644375790899e-05,1.3770608256177592e-05,1.747474460972169e-05,2.0454558054700054e-05,1.8592169987101043e-05,2.2838944271780844e-05,1.753995074998923e-05,2.29849174702569e-05,0.0005038245629364,0.000471000443493,0.0005478124921289,0.0004709061688876,0.0005645274411687,1.0,1.0,1.0,1.0,1.0
610,0.6438757461652311,0.6200923142363606,0.6491250222515335,0.6046265428993522,0.6507849883627854,0.0654820350596805,0.0594695353239031,0.0722838836293663,0.055833167429627,0.0730492303855767,107.498793998966,98.09236120362766,110.7005038978532,92.44011001079345,112.12088449625298,610.0,610.0,610.0,610.0,610.0,0.0887650783280197,0.0844651746412592,0.0936538209654133,0.0819100114463218,0.0941123289124393,1.6692212351272788e-05,1.560996145803889e-05,1.80724489354656e-05,1.4987816492896893e-05,1.818202750815362e-05,2.1809431819071068e-05,2.019601852223799e-05,2.388330525103752e-05,1.9295992075871893e-05,2.4068111327138152e-05,0.000505473095275,0.0004676253527917,0.0005403743737894,0.0004427385544507,0.0005503797152661,1.0,1.0,1.0,1.0,1.0
660,0.6747195619230291,0.6567642689730497,0.6802583405897351,0.6489125483878342,0.6807409264370968,0.0719888292823647,0.0622178265324929,0.076541355046115,0.0568821948226149,0.0770148245053924,112.52859550411812,98.66492180619387,118.04901490802877,91.05009901104496,120.2585645171348,660.0,660.0,660.0,660.0,660.0,0.0933110480012737,0.0864671086283043,0.0965374884525988,0.0827576845704673,0.0969075741953159,1.7970987183381487e-05,1.62263002352008e-05,1.8851462397930597e-05,1.531268236232268e-05,1.8951277236570173e-05,2.3720681180722668e-05,2.1181189303319747e-05,2.515014026197159e-05,1.9821285251303994e-05,2.532292977122877e-05,0.0004945711935587,0.0004736447296792,0.0005074517891829,0.0004614411022535,0.0005099098229619,1.0,1.0,1.0,1.0,1.0
710,0.7089623555835574,0.6995065375626208,0.7096911374589934,0.6960008817525812,0.709695772465913,0.0749521409765915,0.0658551013092254,0.0769863142583787,0.0604051455083255,0.0775748888200826,113.4239554987289,104.51872040424496,115.36246039555408,99.07760201022028,116.3975029962603,710.0,710.0,710.0,710.0,710.0,0.0953488967620137,0.089115346950495,0.0968594480231164,0.0854301928820752,0.0971885819782109,1.854197821239297e-05,1.700673008058365e-05,1.893985099842342e-05,1.6121362925587525e-05,1.8992631768664463e-05,2.4721565901657595e-05,2.236772966950236e-05,2.5326295233287627e-05,2.104590182132692e-05,2.541479848645921e-05,0.0005116571585664,0.000469507719771,0.0005234420977136,0.0004607339253763,0.0005241338183719,1.0,1.0,1.0,1.0,1.0
760,0.7412670609135914,0.7266167572280505,0.745391647876,0.7186354286490988,0.7473944343740352,0.0749782397359003,0.0670739024696699,0.0792487074373171,0.0621168824713043,0.0806121994023698,116.90006099874154,106.6806597954128,118.9329797963146,102.26253199973144,119.89754899754188,760.0,760.0,760.0,760.0,760.0,0.0953969205645809,0.0900398533794931,0.0983403807571873,0.0867037036532894,0.0991627589994655,1.8566039834914126e-05,1.726214235867587e-05,1.930695683011395e-05,1.6483020807212613e-05,1.9480504231920215e-05,2.486020524155958e-05,2.2867386385545327e-05,2.603110053337339e-05,2.170186335769875e-05,2.63136357295151e-05,0.0004645999272036,0.0004588245060484,0.0004810379489214,0.0004570925266035,0.0004816907916202,1.0,1.0,1.0,1.0,1.0
810,0.7719218361305378,0.7694562843505405,0.7816732494536675,0.7686041208912947,0.7860962822167964,0.0760791115061925,0.0700497719078716,0.0815457870252592,0.0660497930929077,0.0833612771879872,115.58688899618572,105.74571549938992,115.94132570037618,100.90195450000463,116.1357674980536,810.0,810.0,810.0,810.0,810.0,0.0961345441685784,0.0921689890305875,0.0998204807663858,0.0895459255087664,0.1009142991253486,1.8728845885707112e-05,1.7849014906257582e-05,1.965402762836875e-05,1.7274363169016298e-05,1.9885628694236496e-05,2.5155152927586653e-05,2.376397891575434e-05,2.669245043058802e-05,2.28737882249405e-05,2.7073383163233706e-05,0.0005136569702041,0.0004643722045832,0.0005301633373945,0.0004473693742711,0.0005407796345001,1.0,1.0,1.0,1.0,1.0
860,0.808356700795352,0.7986159547078059,0.8134950572637377,0.7927715673460236,0.8163138678053162,0.0794999863614427,0.0709631762979978,0.0834210151228015,0.0658379805137143,0.0848350002644734,110.62199450912884,100.1484770004172,116.33912430191413,95.26042399578728,117.33376550022513,860.0,860.0,860.0,860.0,860.0,0.0984146881732724,0.0927713959406718,0.1010298094602915,0.0894277763802412,0.10185654628557,1.929804239329901e-05,1.8009862757331173e-05,1.9936836575882184e-05,1.7265283569757287e-05,2.0099842574733517e-05,2.6094624833928468e-05,2.4049968850670643e-05,2.717074921578055e-05,2.2876437108774106e-05,2.744402992609584e-05,0.0005181899156496,0.0004656683687632,0.0005380507669167,0.0004358881604055,0.0005427465214506,1.0,1.0,1.0,1.0,1.0
910,0.8394486220623959,0.8289801413523685,0.84371973393033,0.8227837877666295,0.8437715059615909,0.0795334437074337,0.0736158920621498,0.0844483542091242,0.0699852838385984,0.0849077170047208,112.46916849864648,101.9565964024514,117.0797821993474,98.63131400663406,118.50136499269864,910.0,910.0,910.0,910.0,910.0,0.098464958336403,0.0946292130097325,0.1017044554024806,0.0923312951652483,0.1019319635701548,1.933006442236665e-05,1.8484207656556007e-05,2.009797130748134e-05,1.8005766198901483e-05,2.0127288031990978e-05,2.6206089004559907e-05,2.482656744733526e-05,2.7489700496289444e-05,2.4065641082263173e-05,2.753330871814505e-05,0.0005185865074954,0.0004379716206746,0.0005538540968896,0.0004242024719528,0.000574285970114,1.0,1.0,1.0,1.0,1.0
960,0.8782030854277341,0.865456885462042,0.882276320135319,0.8638950234487099,0.8827272750710052,0.0801012460517138,0.0732207771172722,0.0852760199028947,0.0691540080524327,0.0852989217268916,112.34180300147273,101.52405170956628,118.53279830119573,96.68043951271102,119.48093949933536,960.0,960.0,960.0,960.0,960.0,0.098767801392991,0.094406937032375,0.1022529497662635,0.0917893723424595,0.1023165671282748,1.9372142227668702e-05,1.8447726241391302e-05,2.02218046823048e-05,1.7873505613607423e-05,2.025158954223396e-05,2.6349249696868845e-05,2.4868408696993247e-05,2.773300419866808e-05,2.3953366024862437e-05,2.778007833941901e-05,0.0004713640061806,0.0004496279684439,0.0005286128973537,0.0004426766524723,0.0005311202185733,1.0,1.0,1.0,1.0,1.0
