K,seed,step,solve_time_ms,sigma_min_Mk,slack_inf,K_opt,solver_status
10,0,0,82.80209987424314,0.2830358533922241,0.004745505917256029,10.0,user_limit
10,0,1,67.977299913764,0.3015241735199018,0.0203940951641573,10.0,optimal
10,0,2,72.89370009675622,0.316399284928618,0.14516080262951025,10.0,user_limit
10,0,3,53.50229982286692,0.3064555049114808,0.19125712826700442,10.0,optimal
10,0,4,98.65389997139573,0.31505897363217944,0.009287677284962253,10.0,user_limit
10,0,5,74.58049990236759,0.3067192697058154,0.08501684140089305,10.0,user_limit
10,0,6,79.54369997605681,0.2971922946262896,3.1829684296452374,10.0,optimal_inaccurate
10,0,7,27.37689996138215,0.30983722213852516,,10.0,infeasible
10,0,8,74.62029997259378,0.28284829556631075,2.642719696144207,10.0,user_limit
10,0,9,37.56160009652376,0.31505805154596267,1.5750908475914605,10.0,optimal
10,0,10,74.7428999748081,0.31097471765589246,3.0021300957741546,10.0,optimal_inaccurate
10,0,11,26.136600179597735,0.32047015298601284,,10.0,infeasible
10,0,12,40.235300082713366,0.28284829556631075,,10.0,infeasible
10,0,13,69.1497998777777,0.28284829556631075,4.339296740784512,10.0,user_limit
10,0,14,69.54780011437833,0.30350149637029933,3.078805057850832,10.0,optimal_inaccurate
10,0,15,46.17550014518201,0.30341137524549233,1.5641161171161273,10.0,optimal
10,0,16,70.98820013925433,0.29499250516950043,1.5197018084402187,10.0,optimal_inaccurate
10,0,17,56.069599930197,0.304057832004674,,10.0,infeasible
10,0,18,68.11799993738532,0.28284829556631075,2.9029507953201783,10.0,user_limit
10,0,19,46.022700145840645,0.3057518976422315,2.243962654460093,10.0,optimal
10,0,20,67.32259993441403,0.3338168783101663,2.1020310311108483,10.0,optimal_inaccurate
10,0,21,49.41640002653003,0.2691123438960803,1.8929057125573316,10.0,optimal
10,0,22,68.38780012913048,0.3205115116233967,1.9853592547779606,10.0,user_limit
10,0,23,67.9640001617372,0.27938009838797323,0.6803776426003962,10.0,optimal_inaccurate
10,0,24,69.96989995241165,0.2855923224430809,,10.0,infeasible_inaccurate
10,0,25,68.13209992833436,0.28284829556631075,0.5349878016325889,10.0,user_limit
10,0,26,33.51820004172623,0.29840285158342256,,10.0,infeasible
10,0,27,68.69410001672804,0.28284829556631075,4.985501761734407,10.0,user_limit
10,0,28,68.01029993221164,0.3086877418640759,4.5659258910409095,10.0,user_limit
10,0,29,74.13630001246929,0.3289127566365779,4.943559598700997,10.0,user_limit
10,0,30,49.0860000718385,0.30341137524549233,2.2398413826797094,10.0,optimal
10,0,31,67.90430005639791,0.3054340337386597,0.48468321256787056,10.0,optimal_inaccurate
10,0,32,105.55820004083216,0.29292398587044377,1.6854655187704053,10.0,user_limit
10,0,33,65.63440011814237,0.3030788344434432,0.5404297523630514,10.0,optimal
10,0,34,69.85430000349879,0.29843452715980984,0.378601524027643,10.0,user_limit
10,0,35,69.84630017541349,0.31056679882013655,0.1365406901821302,10.0,user_limit
10,0,36,69.78609994985163,0.2975787850026105,0.05211396602899721,10.0,user_limit
10,0,37,48.608999932184815,0.29535593087402595,0.16150226928277225,10.0,optimal
10,0,38,35.30200012028217,0.28635089652042184,6.553155845947922,10.0,optimal
10,0,39,37.73240000009537,0.29408987471784753,2.123768854101108,10.0,optimal
10,0,40,73.65269982255995,0.2771234693847751,2.424822733772819,10.0,user_limit
10,0,41,35.48489999957383,0.30198944868279864,,10.0,infeasible
10,0,42,35.45209998264909,0.28284829556631075,1.030580700097085,10.0,optimal
10,0,43,74.29409981705248,0.2694427716194828,0.7091163318640974,10.0,optimal_inaccurate
10,0,44,70.09420008398592,0.28028675830932004,0.978313075185709,10.0,user_limit
10,0,45,69.55330003984272,0.30064412801106954,0.7802220059680434,10.0,user_limit
10,0,46,76.08670019544661,0.3076922725924592,1.68323816158561,10.0,user_limit
10,0,47,67.64589995145798,0.29568434423238443,0.2928710097593796,10.0,user_limit
10,0,48,70.13200013898313,0.3036632835450717,0.45833870777730334,10.0,optimal
10,0,49,67.91329989209771,0.29690964785595925,0.7669041344274916,10.0,optimal_inaccurate
10,0,50,68.296899786219,0.31099124519227783,1.6442177699392544,10.0,optimal_inaccurate
10,0,51,35.08990001864731,0.3016930138022407,1.2210190440344422,10.0,optimal
10,0,52,68.49089986644685,0.2890273574455142,1.5089040828551612,10.0,optimal_inaccurate
10,0,53,66.68439996428788,0.2575363850788557,1.2473937501325032,10.0,optimal_inaccurate
10,0,54,40.212699910625815,0.30559139582207007,1.1120562734703294,10.0,optimal
10,0,55,58.35389997810125,0.30894313192134076,1.236440656591663,10.0,optimal
10,0,56,59.45979990065098,0.2987657990281838,1.0306929444501693,10.0,optimal
10,0,57,70.54739980958402,0.3143842396515131,2.4240963074081954,10.0,optimal_inaccurate
10,0,58,73.50909989327192,0.2862543287789216,1.4839438935498404,10.0,user_limit
10,0,59,62.07809993065894,0.30071327949196575,,10.0,infeasible
10,0,60,69.2257999908179,0.28284829556631075,1.3812036399037204,10.0,user_limit
10,0,61,37.485700100660324,0.29479271174480076,1.231090439999317,10.0,optimal
10,0,62,70.51589991897345,0.2996607118948207,1.1336735904693525,10.0,user_limit
10,0,63,70.02500002272427,0.311560775822638,2.53266633263444,10.0,user_limit
10,0,64,43.19020011462271,0.3019592044123838,,10.0,infeasible
10,0,65,68.77769995480776,0.28284829556631075,3.164879290368104,10.0,optimal_inaccurate
10,0,66,39.95559993200004,0.284083881717134,2.450012702192741,10.0,optimal
10,0,67,68.4712000656873,0.29287582323403594,1.5096332092816873,10.0,optimal_inaccurate
10,0,68,40.032200049608946,0.29591440202705965,1.2469166873183957,10.0,optimal
10,0,69,35.6797999702394,0.2828345029092928,,10.0,infeasible
10,0,70,50.626999931409955,0.28284829556631075,4.684054018001096,10.0,optimal
10,0,71,44.441299978643656,0.30624929124017847,,10.0,infeasible
10,0,72,64.31049993261695,0.28284829556631075,3.1323414010093376,10.0,optimal
10,0,73,50.84270006045699,0.30214667002886614,1.398292154556781,10.0,optimal
10,0,74,74.28859989158809,0.3039335209442268,1.8604975691843997,10.0,user_limit
10,0,75,71.5819001197815,0.2905932986783931,4.050228239150044,10.0,user_limit
10,0,76,38.62219979055226,0.29526375562765445,,10.0,infeasible
