K,sigma_mk_min_mean,sigma_mk_min_var,sigma_mk_min_std,cost_mean,cost_var,cost_std,solve_mean_mean,solve_mean_var,solve_mean_std,K_opt_mean_mean,K_opt_mean_var,K_opt_mean_std,rmse_mean,rmse_var,rmse_std,ISE_mean,ISE_var,ISE_std,IAE_mean,IAE_var,IAE_std,slack_max_mean,slack_max_var,slack_max_std,solver_opt_rate_mean,solver_opt_rate_var,solver_opt_rate_std
60,0.07116200939730387,6.825222240893035e-06,0.002612512629805459,0.15210867115466004,0.0025573592791808676,0.050570339915615235,110.59923540428281,254.31896420994417,15.947381108192786,60.0,0.0,0.0,0.09458714884452421,0.00025972708553008504,0.016116050556202813,3.560336275838045e-05,6.198292170657507e-11,7.872923326603345e-06,4.5982167310714065e-05,9.17528663460665e-11,9.5787716512122e-06,0.005183761230561395,2.5722517514985234e-05,0.0050717371299176415,0.9904999999999999,9.500000000000011e-05,0.00974679434480897
110,0.12418521473480171,2.4146122740619964e-05,0.004913870444020677,0.12662188380991563,0.0012874828488685134,0.03588151124003159,170.36904755060095,66.09966598950582,8.130170108276076,110.0,0.0,0.0,0.08712754704927295,0.00013502166159361502,0.011619882167802522,3.293225248920041e-05,2.265167318676191e-11,4.759377394866046e-06,4.2723619942530705e-05,3.715138838193641e-11,6.095193875664367e-06,0.0035561161929293502,5.054364125240402e-05,0.007109405126478869,0.9974999999999999,3.124999999999992e-05,0.005590169943749467
160,0.17163710905726903,0.0002721490533807321,0.016496940727926863,0.14473919879436634,0.005931071114271347,0.07701344761969398,237.97198535047937,37.73783835951702,6.143113083731816,160.0,0.0,0.0,0.09189676677765332,0.00046125218627513924,0.021476782493547286,3.5516810941175e-05,8.319711041789444e-11,9.121245003720404e-06,4.5344703467510506e-05,1.1371796509852148e-10,1.0663862578752667e-05,0.0003842357313643727,2.57912706519403e-09,5.078510672622467e-05,1.0,0.0,0.0
210,0.2062578711299125,2.1888711664916502e-05,0.004678537342473233,0.10886390087141554,1.1201089453044445e-05,0.00334680287035918,205.36537545034662,84.95066131933196,9.21686830324335,210.0,0.0,0.0,0.08192141039699943,1.6510877964876878e-06,0.001284946612310289,3.1162062753498426e-05,4.156648157511911e-13,6.447207269439933e-07,4.233085477518661e-05,1.0725512432187413e-12,1.0356404990240296e-06,0.00036298244611710113,4.6253811964352686e-10,2.150669941305562e-05,1.0,0.0,0.0
260,0.2532038335148209,0.00037102989780371927,0.01926213637693699,0.13193675240612968,0.0006495311334219468,0.025485900679041086,239.40168394893408,257.58896651287375,16.049578390502155,260.0,0.0,0.0,0.0899776177534106,7.173819166948902e-05,0.008469840120656885,3.4582661910467655e-05,1.2839421057546021e-11,3.5832137889813413e-06,4.732826948225173e-05,2.1287994529327537e-11,4.61389147350992e-06,0.00031500819135465454,2.080161619515713e-09,4.5608788840701664e-05,1.0,0.0,0.0
310,0.2851476379404293,0.0007662610624250537,0.02768142088883903,0.13887820530364886,0.0020277662659571576,0.04503072579869392,250.58187000197358,741.3149607828441,27.22709974975014,310.0,0.0,0.0,0.0918428067054914,0.00020087880471016234,0.014173172005947093,3.476954877487632e-05,4.380237058189701e-11,6.618335937522136e-06,4.6956659522455904e-05,7.1579709933536e-11,8.460479296915513e-06,0.0003482682987450397,1.4519486834165951e-09,3.810444440503752e-05,1.0,0.0,0.0
360,0.3083102851705992,3.834580985858579e-05,0.006192399362007088,0.14854525274849856,0.00019997035865623053,0.014141087605139518,276.57136150146835,29.392983278116876,5.421529606865287,360.0,0.0,0.0,0.09586729502968397,2.239241467104799e-05,0.004732062411998386,3.640206599929038e-05,6.090845298407494e-12,2.467963796008259e-06,4.9207919849154174e-05,1.1644725804666241e-11,3.4124369305038064e-06,0.00232328737620373,1.9662095027760657e-05,0.004434196097125234,0.9974999999999999,3.124999999999992e-05,0.005590169943749467
410,0.42207815316172254,3.1822708527348853e-05,0.005641161983789231,0.2614626393944685,5.6759931489102055e-05,0.007533918733906151,92.31445695180446,12.938735018553794,3.5970453178343185,410.0,0.0,0.0,0.12758944712370224,3.496937802132748e-06,0.0018700101074948091,5.0817164701119874e-05,7.088764516191861e-13,8.419480100452677e-07,6.268081526468907e-05,5.991265172115562e-13,7.740326331696592e-07,0.000302287905315902,9.756042380510133e-10,3.123466404575233e-05,1.0,0.0,0.0
460,0.4499803396166059,5.220054323980832e-05,0.007224994341853031,0.25501512597869247,0.0001021975192727746,0.010109278870066579,90.95993745548185,40.81186491887653,6.388416464107246,460.0,0.0,0.0,0.1260157192497436,6.300597218980772e-06,0.00251009904565154,5.019658360001847e-05,1.1627070953230028e-12,1.078288966521963e-06,6.28179716349502e-05,4.642540061955322e-13,6.813618760948782e-07,0.00030435795154644846,2.0451871707208218e-09,4.52237456511601e-05,1.0,0.0,0.0
510,0.4818952418244408,7.829217074849919e-05,0.008848286317050279,0.26403902606284835,2.405335694778034e-05,0.0049044221828652085,87.34628870151937,15.770892294641365,3.9712582759928075,510.0,0.0,0.0,0.12827781000655292,1.3869684009410982e-06,0.001177696226087652,5.1198939184158145e-05,2.3811883721416506e-13,4.879742177760676e-07,6.36022581737418e-05,2.678528393713856e-13,5.175450119278376e-07,0.00027691726867617517,9.023950837702717e-10,3.0039891540587688e-05,1.0,0.0,0.0
560,0.5179730185837916,9.090142880830093e-06,0.003014986381533106,0.26720483764843617,1.866855001118297e-05,0.004320711748217297,84.74314765341114,4.168823105639729,2.04176960150741,560.0,0.0,0.0,0.12908874954980115,1.0598732967352455e-06,0.0010295014797149372,5.155310237111297e-05,1.6364618087474377e-13,4.045320517273554e-07,6.430651482609875e-05,2.233053342426193e-13,4.725519381429086e-07,0.00024041865597898877,1.1201732303517281e-09,3.346898908469941e-05,1.0,0.0,0.0
610,0.545685269606907,4.580078496647984e-05,0.0067676277207364055,0.26965899709127544,2.2392727336203415e-06,0.0014964199723407668,81.4136577011086,4.660599470411732,2.158842159679983,610.0,0.0,0.0,0.12970537751078107,1.115180941575638e-07,0.00033394324990567456,5.1794244002692155e-05,1.2188509958680075e-14,1.1040158494641314e-07,6.435979853879035e-05,2.5732241782680084e-14,1.6041272325685416e-07,0.00023383943821833858,4.4481393286863385e-10,2.109061243465049e-05,1.0,0.0,0.0
660,0.5712631502228784,0.0001362263111074531,0.011671602765149827,0.2706800561898845,2.8447295506130894e-05,0.005333600613669052,70.6740435496904,6.398191389816269,2.5294646449033973,660.0,0.0,0.0,0.12993594299715808,1.6464142096347955e-06,0.0012831267317123416,5.186320013747857e-05,2.847218240712721e-13,5.335933133682168e-07,6.359345219120202e-05,4.669677991611905e-13,6.833504219367912e-07,0.00020662815411163297,1.1920209709534867e-09,3.452565670560789e-05,1.0,0.0,0.0
