K,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
60,0.06973539856418187,0.0693034399608088,0.0740219986245348,0.06907412958697955,0.0754037664950635,0.144612313788734,0.10261394563083781,0.2047848043513983,0.09780483618867253,0.2073268297533756,107.85568099992815,96.24486100545619,127.64408015587833,94.87841150781605,134.28530225588474,60.0,60.0,60.0,60.0,60.0,0.09342644232118594,0.07836091734480302,0.11106091467883475,0.07616374839437257,0.11192680792094609,3.604971322152742e-05,2.735954191727001e-05,4.334391088841729e-05,2.5483703579432894e-05,4.4099359308253946e-05,4.806531619327941e-05,3.565138055995861e-05,5.4950972442998976e-05,3.3159660468638384e-05,5.6161063825567695e-05,0.005021140102045485,0.0006038032664934855,0.010415968772867282,0.0004181650108271508,0.012885363084453705,0.99,0.981,0.999,0.975,1.0
110,0.12184005520094092,0.12008117650919038,0.12957878177714166,0.11894806379316575,0.13117969069235924,0.11059390300876006,0.09875265030663104,0.1654540990219435,0.09235753549633582,0.1836451790649005,174.1532680077944,161.4247901465278,177.17210490047,158.7147552461829,178.88578049838543,110.0,110.0,110.0,110.0,110.0,0.08210601958277594,0.07784200828707864,0.09967473716724422,0.07530649166273533,0.10521380428170143,3.10483158673087e-05,2.9101404486309323e-05,3.810225619839572e-05,2.8387518790719064e-05,4.040489147541945e-05,4.047795899898501e-05,3.7751642749221636e-05,4.92979076078384e-05,3.668796148262353e-05,5.227950887533963e-05,0.0004096834516626521,0.00032585469715430086,0.009937741967990979,0.0003026999206721818,0.01627348837908602,1.0,0.9925,1.0,0.9875,1.0
160,0.16486793730233615,0.16287500933355448,0.18701489832039533,0.16179635781024396,0.20101796449148693,0.11221992865968487,0.1072797737379595,0.21492111554457108,0.1056553457638574,0.2823969700245016,236.12039549800102,232.18752940185368,244.43782835023012,230.38957050419413,245.2581557474332,160.0,160.0,160.0,160.0,160.0,0.08294681177930524,0.0811565634209862,0.11161140000323452,0.08050704011390174,0.13025873278927907,3.1774522734467926e-05,3.09663060003049e-05,4.387952252159337e-05,3.079791365779287e-05,5.1812165008884314e-05,4.0803695065073465e-05,3.982523737132888e-05,5.535757642083313e-05,3.971152233089233e-05,6.436290208495954e-05,0.00035816154900287535,0.0003474678448523748,0.00043923090787072487,0.0003404370685726262,0.00046702247940489636,1.0,1.0,1.0,1.0,1.0
210,0.20685733423485442,0.20142312308013335,0.21013143210088117,0.19872327476164672,0.2101854583140094,0.10776653257566604,0.10576586734545157,0.11247221476275382,0.10512215030961497,0.11296231666858887,204.74436673568562,196.39166645810474,214.06664025073405,191.70226626039948,216.42424625169951,210.0,210.0,210.0,210.0,210.0,0.08157865105253474,0.08069687228877809,0.08327552317781231,0.08035927930448923,0.08344589616353781,3.137663040869921e-05,3.0461530322094383e-05,3.169576536636626e-05,3.0158294952944025e-05,3.176081677177335e-05,4.283408889771331e-05,4.118944606418664e-05,4.309487535170578e-05,4.067552742362654e-05,4.310570969939612e-05,0.0003560400320984444,0.0003434182761227898,0.0003859283058753047,0.0003428005769550189,0.00038618793606133106,1.0,1.0,1.0,1.0,1.0
260,0.2501308810672402,0.23756388731205325,0.27315097925481713,0.23726299907479598,0.2845347607458273,0.12608356585818745,0.112540229637715,0.15641438408814157,0.10396039987687779,0.17361227640748308,248.1578415055992,221.34549004770815,251.840087694698,215.97379074431956,252.2529414895689,260.0,260.0,260.0,260.0,260.0,0.08824956411121465,0.08330543827267807,0.0980904728490184,0.08016603212369207,0.10353647417311355,3.394219686359227e-05,3.171406915209793e-05,3.800208841060996e-05,3.036162299575854e-05,4.027693944028884e-05,4.7082444176784486e-05,4.33484936746738e-05,5.1592726019428336e-05,4.1325056522750105e-05,5.426323547881219e-05,0.00031761273137534353,0.00027298832699562117,0.000360689697377379,0.0002693710881497035,0.0003841625829194389,1.0,1.0,1.0,1.0,1.0
310,0.27152292801149824,0.27035935976984177,0.3121483509528805,0.2698605413841218,0.334247488848193,0.12731086531931285,0.1069830748874405,0.18350513352546777,0.10194582719775397,0.2163348924689243,247.76456474908628,230.04132690420374,277.27852445165627,229.74634550046176,296.563340757275,310.0,310.0,310.0,310.0,310.0,0.08871443795587972,0.08127540228406716,0.10597181053348109,0.07934968245674243,0.11588719048784424,3.3431226037879826e-05,2.9711548534287766e-05,4.140844861634472e-05,2.885357577352673e-05,4.591337430663217e-05,4.5472268065572074e-05,4.017988995584673e-05,5.552171817216469e-05,3.8947610821871e-05,6.0938370724771226e-05,0.00035757763001561106,0.0003090463659855458,0.0003815170690506334,0.0002911790817105228,0.0003941103660511981,1.0,1.0,1.0,1.0,1.0
360,0.30619307372485816,0.3026903054132126,0.31494424098426654,0.3009408949130258,0.3165151328180944,0.1540059757993763,0.1342636863395329,0.15775285200852246,0.12395114325140147,0.15869097260264237,277.6934065000387,270.889265900827,281.7622292015003,270.7745204976527,282.1561529993778,360.0,360.0,360.0,360.0,360.0,0.09773940572871721,0.09111573926270977,0.0988782529397525,0.08760467188181031,0.09917115029109586,3.724007223028241e-05,3.395734359564337e-05,3.8026650602396086e-05,3.210402076529434e-05,3.8275434692563976e-05,5.033434200223748e-05,4.584834490199719e-05,5.147248033178856e-05,4.327735494383168e-05,5.1916256738030306e-05,0.00035930356088791267,0.00031343558935921246,0.0063003710910513695,0.0002994909761913373,0.010255275785600097,1.0,0.9925,1.0,0.9875,1.0
410,0.41848506501543054,0.4178440757187476,0.42845220389826666,0.4177201198837847,0.4299498766149225,0.2594503060031941,0.2546974740305039,0.2697021989130742,0.2544325290177415,0.2718400537618517,93.41588600014802,88.43963485723361,95.63034534698818,87.58743825834244,96.44966524501797,410.0,410.0,410.0,410.0,410.0,0.1270772194954681,0.12590745525230676,0.12963579208783363,0.12582458031739846,0.13015162413721726,5.0590217968343246e-05,5.0058474054171895e-05,5.173779401210366e-05,5.001546217953813e-05,5.197466707732738e-05,6.262544384210877e-05,6.208153187681527e-05,6.343857639949291e-05,6.206584758748248e-05,6.397742883138525e-05,0.00031802677809640193,0.0002672360322402726,0.0003272705481725023,0.0002572356873258265,0.0003284717177718323,1.0,1.0,1.0,1.0,1.0
460,0.4473040214435878,0.4459845871887813,0.45671174029065903,0.44546199755968185,0.4628242865586361,0.25262118457918364,0.24715634738908474,0.26553352479327974,0.2467701887557046,0.27177028152756033,89.79783650604077,86.33675110596232,97.14549560344312,85.50095350248739,101.90657850180287,460.0,460.0,460.0,460.0,460.0,0.1254881941354947,0.12404741298568024,0.12861061858425868,0.1239350865125222,0.1301742671107255,4.998689722089981e-05,4.935697835463089e-05,5.130122735227866e-05,4.9306073873686064e-05,5.199291310247655e-05,6.252098203668859e-05,6.233614862284998e-05,6.354250776365336e-05,6.229283295361281e-05,6.396269670277915e-05,0.0003110846290395176,0.00025642730383095783,0.00034780867829222237,0.0002440358029089662,0.0003557338503214855,1.0,1.0,1.0,1.0,1.0
510,0.48503593766674474,0.47268674286391843,0.4882459174727518,0.4668911486417933,0.48889161013063925,0.26467330109188053,0.2592623275248591,0.2686412768374433,0.2575480231673952,0.2709263401993949,86.46565374918282,83.47618354507722,91.4297536079539,82.40492323995568,91.59318300837185,510.0,510.0,510.0,510.0,510.0,0.12838611603943995,0.1271347736891374,0.1293878022409772,0.12668960926292747,0.1299174024009963,5.120761364522412e-05,5.073297105087685e-05,5.165930350439653e-05,5.0519262389636855e-05,5.186794583559684e-05,6.371715920936597e-05,6.305437075964538e-05,6.408876609146393e-05,6.29040621639969e-05,6.42233587728636e-05,0.0002693915863916512,0.0002490565039421725,0.0003094148248396295,0.00024455933777163866,0.0003174077921589216,1.0,1.0,1.0,1.0,1.0
