K,seed,rmse,cost,ISE,IAE,solve_mean,solve_var,solve_p95,sigma_mk_mean,sigma_mk_var,sigma_mk_min,sigma_mk_p10,slack_mean,slack_var,slack_max,K_opt_mean,K_opt_var,K_opt_min,K_opt_max,solver_opt_rate,solver_nonopt_count
60,0,0.09342644232118594,0.144612313788734,3.604971322152742e-05,4.806531619327941e-05,107.85568099992815,2400.670764923014,196.71055499929935,0.09754299867882082,7.919963379345378e-05,0.06973539856418187,0.08637434410887544,0.00015486745342047537,8.827354862108294e-08,0.005021140102045485,60.0,0.0,60.0,60.0,0.99,4.0
60,1,0.08165667077044872,0.10982760979408572,3.017329942402568e-05,3.938896069693895e-05,117.6822470058687,2352.009026537851,195.54974004859105,0.09700723874237252,7.672620875483515e-05,0.07194934681874175,0.08641855896110912,0.00014278148778878224,1.1830144261693355e-07,0.006711877305487647,60.0,0.0,60.0,60.0,0.99,4.0
60,2,0.07616374839437257,0.09780483618867253,2.5483703579432894e-05,3.3159660468638384e-05,134.28530225588474,2801.768081658459,203.36542015429586,0.09452087381277448,8.036082445888788e-05,0.06964740552155269,0.08347135082495995,0.00027045461197569597,9.059394797637536e-07,0.012885363084453705,60.0,0.0,60.0,60.0,0.975,10.0
60,3,0.11192680792094609,0.2073268297533756,4.4099359308253946e-05,5.6161063825567695e-05,94.87841150781605,1398.59395091193,188.07113987859333,0.0998966792725463,6.926114411045018e-05,0.0754037664950635,0.08891751104455266,0.00014664476588746364,3.0959028802346005e-09,0.0004181650108271508,60.0,0.0,60.0,60.0,1.0,0.0
60,4,0.10976207481566773,0.20097176624843233,4.22107382586623e-05,5.313583536914589e-05,98.29453525191639,1809.8850286946567,194.31278489064425,0.09895024560255418,8.5153239200018e-05,0.06907412958697955,0.08736368017149448,0.0001517664990446205,5.859501300034496e-09,0.0008822606499929873,60.0,0.0,60.0,60.0,0.9975,1.0
110,0,0.08210601958277594,0.11059390300876006,3.017223302969471e-05,3.9347164649118796e-05,178.88578049838543,7310.985474110064,366.11119511071576,0.16201028036323398,0.0002577232235390021,0.12717741840431526,0.1421785542545185,0.0001597764941670245,6.817381758726077e-07,0.01627348837908602,110.0,0.0,110.0,110.0,0.9875,5.0
110,1,0.07530649166273533,0.09235753549633582,2.8387518790719064e-05,3.668796148262353e-05,158.7147552461829,4399.237502241943,279.32671513408417,0.1573450017686977,0.0002276884585216141,0.12178084558322733,0.13948917055475493,0.00010030907288038779,9.947113750180664e-10,0.0003026999206721818,110.0,0.0,110.0,110.0,1.0,0.0
110,2,0.09136613649555839,0.138167478957508,3.464830328286012e-05,4.482550570658655e-05,174.1532680077944,5545.180188792841,302.0242699887601,0.16207798798464887,0.00023877617438849177,0.11894806379316575,0.14156385193034585,0.00011509236657116558,2.9391942025589003e-09,0.00043412235134841846,110.0,0.0,110.0,110.0,1.0,0.0
110,3,0.10521380428170143,0.1836451790649005,4.040489147541945e-05,5.227950887533963e-05,165.48984249704517,4841.483845510561,292.7052300423382,0.17001177550618582,0.00020600237367610752,0.13117969069235924,0.14987962848364458,0.00012485048426346293,2.8554172796823316e-09,0.0004096834516626521,110.0,0.0,110.0,110.0,1.0,0.0
110,4,0.08164528322359361,0.10834532252207386,3.10483158673087e-05,4.047795899898501e-05,174.60159150359686,4952.1186553839125,308.84746006922734,0.1601176344091382,0.0002751518854774481,0.12184005520094092,0.13910544897306087,0.00010196801268444942,1.0773040549889203e-09,0.0003605868618774794,110.0,0.0,110.0,110.0,1.0,0.0
