K_requested,seed,selected_cols_mean,K_opt_mean
10,0,20.0,20.0
10,1,20.0,20.0
10,2,20.0,20.0
10,3,20.0,20.0
10,4,20.0,20.0
60,0,20.0,20.0
60,1,20.0,20.0
60,2,20.0,20.0
60,3,20.0,20.0
60,4,20.0,20.0
110,0,20.0,20.0
110,1,20.0,20.0
110,2,20.0,20.0
110,3,20.0,20.0
110,4,20.0,20.0
160,0,20.0,20.0
160,1,20.0,20.0
160,2,20.0,20.0
160,3,20.0,20.0
160,4,20.0,20.0
210,0,20.0,20.0
210,1,20.0,20.0
210,2,20.0,20.0
210,3,20.0,20.0
210,4,20.0,20.0
260,0,20.0,20.0
260,1,20.0,20.0
260,2,20.0,20.0
260,3,20.0,20.0
260,4,20.0,20.0
310,0,20.0,20.0
310,1,20.0,20.0
310,2,20.0,20.0
310,3,20.0,20.0
310,4,20.0,20.0
360,0,20.0,20.0
360,1,20.0,20.0
360,2,20.0,20.0
360,3,20.0,20.0
360,4,20.0,20.0
410,0,20.0,20.0
410,1,20.0,20.0
410,2,20.0,20.0
410,3,20.0,20.0
410,4,20.0,20.0
460,0,20.0,20.0
460,1,20.0,20.0
460,2,20.0,20.0
460,3,20.0,20.0
460,4,20.0,20.0
510,0,20.0,20.0
510,1,20.0,20.0
510,2,20.0,20.0
510,3,20.0,20.0
510,4,20.0,20.0
560,0,20.0,20.0
560,1,20.0,20.0
560,2,20.0,20.0
560,3,20.0,20.0
560,4,20.0,20.0
610,0,20.0,20.0
610,1,20.0,20.0
610,2,20.0,20.0
610,3,20.0,20.0
610,4,20.0,20.0
660,0,20.0,20.0
660,1,20.0,20.0
660,2,20.0,20.0
660,3,20.0,20.0
660,4,20.0,20.0
710,0,20.0,20.0
710,1,20.0,20.0
710,2,20.0,20.0
710,3,20.0,20.0
710,4,20.0,20.0
760,0,20.0,20.0
760,1,20.0,20.0
760,2,20.0,20.0
760,3,20.0,20.0
760,4,20.0,20.0
810,0,20.0,20.0
810,1,20.0,20.0
810,2,20.0,20.0
810,3,20.0,20.0
810,4,20.0,20.0
860,0,20.0,20.0
860,1,20.0,20.0
860,2,20.0,20.0
860,3,20.0,20.0
860,4,20.0,20.0
910,0,20.0,20.0
910,1,20.0,20.0
910,2,20.0,20.0
910,3,20.0,20.0
910,4,20.0,20.0
960,0,20.0,20.0
960,1,20.0,20.0
960,2,20.0,20.0
960,3,20.0,20.0
960,4,20.0,20.0
