K,sigma_mk_min_median,sigma_mk_min_p10,sigma_mk_min_p90,sigma_mk_min_min,sigma_mk_min_max,cost_median,cost_p10,cost_p90,cost_min,cost_max,solve_mean_median,solve_mean_p10,solve_mean_p90,solve_mean_min,solve_mean_max,K_opt_mean_median,K_opt_mean_p10,K_opt_mean_p90,K_opt_mean_min,K_opt_mean_max,rmse_median,rmse_p10,rmse_p90,rmse_min,rmse_max,ISE_median,ISE_p10,ISE_p90,ISE_min,ISE_max,IAE_median,IAE_p10,IAE_p90,IAE_min,IAE_max,slack_max_median,slack_max_p10,slack_max_p90,slack_max_min,slack_max_max,solver_opt_rate_median,solver_opt_rate_p10,solver_opt_rate_p90,solver_opt_rate_min,solver_opt_rate_max
60,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.06830549542792,60.12349779391661,61.374987796880305,59.56470699282363,61.46109200082719,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
110,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.91776449442841,60.453665799461305,62.431784302927554,59.92315900279209,62.56913350196555,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
160,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.11590550048277,60.52171030174941,62.426461399998516,60.455137498211116,62.76437799911946,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
210,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,62.18934198259376,60.21003420231864,62.69616480101831,59.30829900549725,62.941009007627144,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
260,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,60.75702800415456,60.16222260054201,62.03280099644326,60.15629600267857,62.38188999821432,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
310,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.64544750703499,60.80343790259212,63.88492880179547,60.4868594952859,64.47073699790053,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
360,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.62295799469575,60.68591800611466,62.29284409945831,60.607592014130205,62.60093949502334,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
410,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,62.13780898367986,60.852899092715234,64.92710329638794,60.18223749473691,66.43665950046852,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
460,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,60.85063899401575,60.6515809930861,62.88276739954017,60.53012299351394,63.022248999914154,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
510,0.1888396147175695,0.1786442279676244,0.19045857284849324,0.17846824033646994,0.1914314863006343,0.1816732529086088,0.14551162560343148,0.19610121942563827,0.13415897122325518,0.20089198341165476,61.04250750155188,59.42864400520921,62.266188498586416,59.17090500704944,62.80511449556798,20.0,20.0,20.0,20.0,20.0,0.1362811815735321,0.1232606211033445,0.14331555894164308,0.11973136335059652,0.1445808613517809,2.560755551179275e-05,2.3976440767133453e-05,2.728151712364121e-05,2.3630099274399745e-05,2.7537244200519077e-05,3.23757296535129e-05,3.131205672958934e-05,3.398429490977557e-05,3.06243072224506e-05,3.49924614511299e-05,5.934055809615319,4.9667277566714185,9.040406408159726,4.503879737478193,9.640730223882578,0.97,0.965,0.989,0.965,0.995
