scope,metric,pearson,spearman,n
all,Kopt_mean,0.4319399807886725,0.629828226164064,99
all,t_mean_ms,-0.041469688914368016,-0.016537643718372925,99
all,rmse,-0.0666160649069452,-0.042649045966217214,99
all,slack_max,0.12486367255764713,0.0772846818921213,99
all,succ,-0.09534701125941902,-0.12512751287721557,99
sigma<=1.0,Kopt_mean,0.7721982182215373,0.7644432062214279,84
sigma<=1.0,t_mean_ms,0.057822581368081286,0.10919884518717383,84
sigma<=1.0,rmse,0.07036401908648154,0.10481594293395546,84
sigma<=1.0,slack_max,-0.18774847325549257,-0.08066994296412316,84
sigma<=1.0,succ,0.18805703219476133,0.1750073825263598,84
0.3<=sigma<=0.8,Kopt_mean,0.7463978777505353,0.721664293345337,69
0.3<=sigma<=0.8,t_mean_ms,0.27387054798015187,0.19960981483647317,69
0.3<=sigma<=0.8,rmse,0.02312385947299392,0.046355057158193026,69
0.3<=sigma<=0.8,slack_max,0.0653299574012601,0.06732730845187052,69
0.3<=sigma<=0.8,succ,,,69
