N_loc,sigma_bar,succ,rmse,t_mean_ms,slack_max,Kopt_mean,seed,rmse_n,t_mean_ms_n,slack_max_n,Kopt_mean_n,score
200,0.6,1,0.0343,216.0,0.000765,181.0,1,0.008244023082924762,0.41704035874439344,0.004510519116711546,0.17763157894736803,0.13510453958471577
200,0.55,1,0.03447,214.0,0.000496,180.0,1,0.015251442703410997,0.4114349775784742,0.00013026770012163365,0.17543859649122767,0.13530116448969143
500,1.0,1,0.03459,207.0,0.00252,227.0,1,0.020197856553165968,0.39181614349775673,0.03308799583089481,0.27850877192982393,0.1544270934513581
200,0.3,1,0.03443,255.0,0.00989,109.0,1,0.013602638086826102,0.5263452914798191,0.1530971145679493,0.019736842105263115,0.17060732733406453
200,0.45,1,0.03437,259.0,0.00394,175.0,1,0.011129431161948472,0.5375560538116577,0.05621051260248469,0.16447368421052594,0.17475394106976966
200,0.7,1,0.03462,214.0,0.012,182.0,1,0.0214344600156045,0.4114349775784742,0.18745522047503005,0.17982456140350836,0.1758972567063926
200,0.5,1,0.03507,249.0,0.00262,193.0,1,0.03998351195218529,0.5095291479820613,0.034716342082415225,0.20394736842105218,0.1809110654560303
200,1.0,1,0.03474,218.0,0.0145,180.0,1,0.02638087386535947,0.42264573991031273,0.22816387676304042,0.17543859649122767,0.18816234935001422
200,0.8,1,0.03507,218.0,0.0131,181.0,1,0.03998351195218529,0.42264573991031273,0.20536702924175462,0.17763157894736803,0.1893729824489084
500,0.3,1,0.03524,283.0,0.00929,106.0,1,0.04699093157267152,0.6048206278026889,0.14332703705882682,0.013157894736842075,0.20064062120203252
500,0.45,1,0.03542,279.0,0.00314,174.0,1,0.05441055234730383,0.5936098654708504,0.04318374259032138,0.1622807017543856,0.20314554108785624
200,0.4,1,0.0341,288.0,0.0113,149.0,1,0.0,0.618834080717487,0.17605679671438715,0.10745614035087696,0.20603830057488073
2000,0.3,1,0.04236,178.0,0.00759,100.0,1,0.3404781533247949,0.3105381165919273,0.11564515078297981,0.0,0.23695482063449574
500,0.5,1,0.03783,280.0,0.0008,197.0,1,0.15375103049654792,0.5964125560538099,0.005080440304743692,0.21271929824561356,0.24352753400986243
1000,0.3,1,0.0416,223.0,0.00471,103.0,1,0.30915086560968047,0.4366591928251109,0.06874877873919188,0.0065789473684210375,0.24756174230325143
500,0.55,1,0.0375,295.0,0.00166,222.0,1,0.14014839240972182,0.6384529147982044,0.019084218067819254,0.2675438596491222,0.259621008224372
2000,0.4,1,0.04338,213.0,0.00335,146.0,1,0.3825226710477115,0.4086322869955145,0.04660326971851425,0.10087719298245591,0.27961937305903445
2000,0.45,1,0.04291,236.0,0.00234,170.0,1,0.36314921680283796,0.4730941704035861,0.03015697257815807,0.1535087719298242,0.29259093962713695
500,0.65,1,0.03987,263.0,0.00637,285.0,1,0.23784006594238102,0.5487668161434962,0.09577932651443076,0.405701754385964,0.3123388588736072
1000,0.45,1,0.04238,294.0,0.000488,175.0,1,0.34130255563308737,0.6356502242152449,0.0,0.16447368421052594,0.32010463093862507
200,0.65,1,0.0347,211.0,0.0619,182.0,1,0.024732069248774576,0.40302690582959527,0.9999999999837166,0.17982456140350836,0.33762323836417824
500,0.4,1,0.04188,331.0,0.0055,151.0,1,0.3206924979257753,0.7393497757847513,0.08161271412620315,0.11184210526315765,0.34621330173121223
1000,0.4,1,0.04278,327.0,0.00226,152.0,1,0.3577906017989369,0.7281390134529128,0.028854295576941736,0.11403508771929799,0.34802711635608596
1000,0.55,1,0.04169,323.0,0.00652,227.0,1,0.31286067599699663,0.7169282511210742,0.09822184589171137,0.27850877192982393,0.3657970181468831
500,0.6,1,0.0435,297.0,0.00269,254.0,1,0.3874690848974661,0.6440582959641237,0.03585618445847952,0.33771929824561325,0.3738313395785553
1000,0.5,1,0.04596,298.0,0.000945,196.0,1,0.4888705688174415,0.6468609865470833,0.007441542369448292,0.2105263157894732,0.3903307300060581
1000,0.7,1,0.04482,275.0,0.00683,310.0,1,0.44187963724477,0.5823991031390118,0.10326971927142466,0.4605263157894727,0.41208452190536676
500,0.7,1,0.04294,314.0,0.0113,315.0,1,0.36438582026527677,0.6917040358744375,0.17605679671438715,0.4714912280701744,0.4246153806281237
2000,0.5,1,0.0512,249.0,0.00693,195.0,1,0.7048639735900717,0.5095291479820613,0.10489806552294507,0.20833333333333287,0.46155748953613296
500,0.8,1,0.04865,253.0,0.00646,375.0,1,0.5997526792827801,0.5207399103138999,0.09724483814079912,0.6030701754385951,0.4799955432355361
1000,0.65,1,0.05129,248.0,0.00836,280.0,1,0.7085737839773878,0.5067264573991017,0.12818341691968696,0.3947368421052623,0.49495833764045727
1000,0.6,1,0.05161,306.0,0.00604,254.0,1,0.7217642209100675,0.6692825112107604,0.0904057838844134,0.33771929824561325,0.5247653676804418
1000,0.8,1,0.05024,306.0,0.00557,377.0,1,0.6652926627920325,0.6692825112107604,0.08275255650226745,0.6074561403508758,0.5411066252725879
1000,1.0,1,0.05834,69.8,0.000504,556.0,1,0.9991755976504875,0.00728699551569503,0.00026053540024326637,0.9999999999999978,0.5515440950191671
2000,1.0,1,0.05836,67.2,0.0224,555.0,1,0.99999999995878,0.0,0.3568032306331531,0.9978070175438574,0.6210316987417213
2000,0.65,1,0.05224,394.0,0.012,283.0,1,0.7477328936212807,0.9159192825112081,0.18745522047503005,0.4013157894736833,0.6257613905923728
2000,0.8,1,0.04757,424.0,0.0232,374.0,1,0.5552349546349863,0.9999999999999971,0.3698300006453164,0.6008771929824548,0.6361915609304253
2000,0.7,1,0.0527,412.0,0.0134,315.0,1,0.7666941467120075,0.9663677130044815,0.21025206799631585,0.4714912280701744,0.6610436847457128
2000,0.55,1,0.05323,318.0,0.041,224.0,1,0.7885408078817584,0.702914798206276,0.6596756334159501,0.2719298245614029,0.663869623071673
2000,0.6,1,0.053,403.0,0.0231,251.0,1,0.7790601813363948,0.9411434977578448,0.36820165439379604,0.33114035087719224,0.6702213304843571
