N_loc,sigma_bar,succ,rmse,t_mean_ms,slack_max,Kopt_mean,seed,rmse_n,t_mean_ms_n,slack_max_n,Kopt_mean_n,score
200,0.6,1,0.0343,216.0,0.000765,181.0,1,0.008244023082924762,0.41704035874439344,0.004510519116711546,0.17763157894736803,0.13510453958471577
200,0.55,1,0.03447,214.0,0.000496,180.0,1,0.015251442703410997,0.4114349775784742,0.00013026770012163365,0.17543859649122767,0.13530116448969143
500,1.0,1,0.03459,207.0,0.00252,227.0,1,0.020197856553165968,0.39181614349775673,0.03308799583089481,0.27850877192982393,0.1544270934513581
200,0.3,1,0.03443,255.0,0.00989,109.0,1,0.013602638086826102,0.5263452914798191,0.1530971145679493,0.019736842105263115,0.17060732733406453
500,0.3,1,0.03524,283.0,0.00929,106.0,1,0.04699093157267152,0.6048206278026889,0.14332703705882682,0.013157894736842075,0.20064062120203252
500,0.45,1,0.03542,279.0,0.00314,174.0,1,0.05441055234730383,0.5936098654708504,0.04318374259032138,0.1622807017543856,0.20314554108785624
2000,0.3,1,0.04236,178.0,0.00759,100.0,1,0.3404781533247949,0.3105381165919273,0.11564515078297981,0.0,0.23695482063449574
1000,0.3,1,0.0416,223.0,0.00471,103.0,1,0.30915086560968047,0.4366591928251109,0.06874877873919188,0.0065789473684210375,0.24756174230325143
2000,0.4,1,0.04338,213.0,0.00335,146.0,1,0.3825226710477115,0.4086322869955145,0.04660326971851425,0.10087719298245591,0.27961937305903445
2000,0.45,1,0.04291,236.0,0.00234,170.0,1,0.36314921680283796,0.4730941704035861,0.03015697257815807,0.1535087719298242,0.29259093962713695
1000,0.45,1,0.04238,294.0,0.000488,175.0,1,0.34130255563308737,0.6356502242152449,0.0,0.16447368421052594,0.32010463093862507
1000,0.4,1,0.04278,327.0,0.00226,152.0,1,0.3577906017989369,0.7281390134529128,0.028854295576941736,0.11403508771929799,0.34802711635608596
