N_loc,sigma_bar,succ,rmse,t_mean_ms,avg_ctrl_ms,slack_max,Kopt_mean
100,0.5,1,0.03479,222.0,280.50594124535564,0.0029,100.0
100,0.55,1,0.03479,221.0,280.33469274349045,0.0029,100.0
100,0.6,1,0.03479,222.0,280.048010746832,0.0029,100.0
100,0.65,1,0.03479,222.0,282.4100967566483,0.0029,100.0
100,0.7,1,0.03479,222.0,283.4035437478451,0.0029,100.0
100,0.8,1,0.03479,222.0,280.1615314959781,0.0029,100.0
100,1.0,1,0.03479,222.0,280.94054275308736,0.0029,100.0
100,2.0,1,0.03479,222.0,282.78203949623276,0.0029,100.0
100,5.0,1,0.03479,222.0,281.0431717574829,0.0029,100.0
200,0.2,1,0.03391,186.0,242.39201249962207,0.00875,71.6
200,0.3,1,0.03443,255.0,318.3782272494864,0.00989,109.0
200,0.4,1,0.0341,288.0,355.39913575397804,0.0113,149.0
200,0.45,1,0.03437,259.0,333.09843174996786,0.00394,175.0
200,0.5,1,0.03507,249.0,329.25024624040816,0.00262,193.0
200,0.55,1,0.03447,214.0,299.90682525385637,0.000496,180.0
200,0.6,1,0.0343,216.0,298.5969497472979,0.000765,181.0
200,0.65,1,0.0347,211.0,295.5184890102828,0.0619,182.0
200,0.7,1,0.03462,214.0,298.3925219986122,0.012,182.0
200,0.8,1,0.03507,218.0,303.474170997506,0.0131,181.0
200,1.0,1,0.03474,218.0,302.7604167541722,0.0145,180.0
200,2.0,1,0.03476,215.0,300.593929750612,0.0145,180.0
200,5.0,1,0.03473,214.0,299.36296099738684,0.0145,180.0
500,0.2,1,0.03648,180.0,235.24433200480416,0.00583,68.6
500,0.3,1,0.03524,283.0,342.9061610007193,0.00929,106.0
500,0.4,1,0.04188,331.0,402.5426390004577,0.0055,151.0
500,0.45,1,0.03542,279.0,356.164573749993,0.00314,174.0
500,0.5,1,0.03783,280.0,361.83807250577956,0.0008,197.0
500,0.55,1,0.0375,295.0,386.18739050405566,0.00166,222.0
500,0.6,1,0.0435,297.0,401.67829049460124,0.00269,254.0
500,0.65,1,0.03987,263.0,384.64185575488955,0.00637,285.0
500,0.7,1,0.04294,314.0,455.3869197505992,0.0113,315.0
500,0.8,1,0.04865,253.0,437.73589799937326,0.00646,375.0
500,1.0,1,0.03459,207.0,481.119794244878,0.00252,227.0
500,2.0,1,0.03476,214.0,489.4671332510188,0.0145,180.0
500,5.0,1,0.03476,214.0,493.3770744933281,0.0145,180.0
1000,0.2,1,0.04016,176.0,231.40363099984825,0.00468,67.9
1000,0.3,1,0.0416,223.0,284.70388074521907,0.00471,103.0
1000,0.4,1,0.04278,327.0,395.88501174992416,0.00226,152.0
1000,0.5,1,0.04596,298.0,380.50204974773806,0.000945,196.0
1000,0.55,1,0.04169,323.0,416.1552595021203,0.00652,227.0
1000,0.6,1,0.05161,306.0,410.13462024740875,0.00604,254.0
1000,0.65,1,0.05129,248.0,371.2193715025205,0.00836,280.0
1000,0.7,1,0.04482,275.0,412.95888799533714,0.00683,310.0
1000,0.8,1,0.05024,306.0,486.3801744981902,0.00557,377.0
1000,1.0,1,0.05834,69.8,429.4003714993596,0.000504,556.0
1000,2.0,1,0.03446,216.0,834.7122160060098,0.0231,198.0
1000,5.0,1,0.03476,215.0,849.4485054945108,0.0145,180.0
2000,0.2,1,0.03927,157.0,212.68939150322694,0.00724,65.1
2000,0.3,1,0.04236,178.0,238.76704599533696,0.00759,100.0
2000,0.4,1,0.04338,213.0,281.38091949687805,0.00335,146.0
2000,0.45,1,0.04291,236.0,313.9064377505565,0.00234,170.0
2000,0.5,1,0.0512,249.0,333.8207195082214,0.00693,195.0
2000,0.55,1,0.05323,318.0,412.60134674899746,0.041,224.0
2000,0.6,1,0.053,403.0,507.2636280063307,0.0231,251.0
2000,0.65,1,0.05224,394.0,516.8360699969344,0.012,283.0
2000,0.7,1,0.0527,412.0,551.6981767525431,0.0134,315.0
2000,0.8,1,0.04757,424.0,602.0022422488546,0.0232,374.0
2000,1.0,1,0.05836,67.2,440.9527942404384,0.0224,555.0
2000,2.0,1,0.05173,59.3,1338.08753824851,0.000471,1640.0
2000,5.0,1,0.03476,212.0,1647.4303607497131,0.0145,180.0
10000,0.2,1,0.03726,130.0,196.0675997438375,0.0208,59.4
10000,0.3,1,0.0449,140.0,209.4616850017337,0.0291,92.0
10000,0.4,1,0.06867,182.0,259.13842624693643,0.0136,142.0
10000,0.5,1,0.05074,190.0,283.1060585041996,0.00674,189.0
10000,0.55,1,0.05008,203.0,302.1279677527491,0.000407,215.0
10000,0.65,1,0.05098,253.0,383.10649199876934,0.000515,280.0
10000,0.8,1,0.05381,211.0,398.18560149753466,0.00276,368.0
10000,1.0,1,0.06091,71.5,428.8235852471553,0.000408,540.0
10000,2.0,0,0.1105,85.9,1701.6247157391626,0.000274,2200.0
10000,5.0,1,0.04262,199.0,33365.80621424888,0.028,2160.0
20000,0.2,1,0.06339,85.3,192.13768024405,1.7,56.4
20000,0.3,1,0.06096,97.3,202.02609399682842,0.000274,92.7
20000,0.4,1,0.05686,107.0,217.1848182589747,0.00032,135.0
20000,0.45,1,0.05288,107.0,227.55755675549153,0.000298,160.0
20000,0.5,1,0.0536,107.0,233.67249949485995,0.000308,186.0
20000,0.55,1,0.05323,112.0,250.13505074195564,0.000315,213.0
