N_loc,sigma_bar,succ,rmse,t_mean_ms,slack_max,Kopt_mean,seed,rmse_n,t_mean_ms_n,slack_max_n,Kopt_mean_n,score
100,0.55,1,0.03479,221.0,0.0029,100.0,1,0.019959502458202015,0.40135653199646,0.04261188459347334,0.02807017543859639,0.12105583721687993
100,0.5,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
100,0.6,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
100,0.65,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
100,0.7,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
100,0.8,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
100,1.0,1,0.03479,222.0,0.0029,100.0,1,0.019959502458202015,0.4043055145974626,0.04261188459347334,0.02807017543859639,0.12179308286713059
200,0.55,1,0.03447,214.0,0.000496,180.0,1,0.010702921608021389,0.38071365378944144,0.003602375620621129,0.3087719298245603,0.14649584668837717
200,0.6,1,0.0343,216.0,0.000765,181.0,1,0.005785363031362842,0.38661161899144675,0.007967416350112494,0.3122807017543848,0.14740263849358703
200,0.3,1,0.03443,255.0,0.00989,109.0,1,0.00954584900174886,0.5016219404305499,0.15603803589140885,0.05964912280701733,0.16937880030767138
500,1.0,1,0.03459,207.0,0.00252,227.0,1,0.014174139426839174,0.36007077558242295,0.03644565605367142,0.4736842105263141,0.17402911245602282
200,0.7,1,0.03462,214.0,0.012,182.0,1,0.01504194388154347,0.38071365378944144,0.1902768312045196,0.3157894736842094,0.1866189782935131
200,0.45,1,0.03437,259.0,0.00394,175.0,1,0.007810240092339867,0.5134178708345605,0.05948787849187863,0.29122807017543756,0.1870603499702674
2000,0.3,1,0.04236,178.0,0.00759,100.0,1,0.23893549319528692,0.2745502801533462,0.11871612630839719,0.02807017543859639,0.19216551889392022
200,0.5,1,0.03507,249.0,0.00262,193.0,1,0.028059010702109914,0.483928044824534,0.038068347774671926,0.3543859649122794,0.19297717977875375
500,0.3,1,0.03524,283.0,0.00929,106.0,1,0.032976569278768464,0.5841934532586239,0.14630188556540583,0.049122807017543686,0.19586778919187608
200,0.8,1,0.03507,218.0,0.0131,181.0,1,0.028059010702109914,0.39250958419345205,0.2081264401355252,0.3122807017543848,0.19781839361946973
200,1.0,1,0.03474,218.0,0.0145,180.0,1,0.018513161700361255,0.39250958419345205,0.23084412422953232,0.3087719298245603,0.19801727504809802
1000,0.3,1,0.0416,223.0,0.00471,103.0,1,0.2169511136761079,0.40725449719846524,0.07198260474358255,0.03859649122807004,0.20878006440298652
500,0.45,1,0.03542,279.0,0.00314,174.0,1,0.03818339600699504,0.5723975228546134,0.04650634472387457,0.287719298245613,0.21083190279806824
200,0.4,1,0.0341,288.0,0.0113,149.0,1,0.0,0.5989383662636372,0.17891798915751603,0.1999999999999993,0.21551818939741238
2000,0.4,1,0.04338,213.0,0.00335,146.0,1,0.2684408446552376,0.3777646711884388,0.049913997337975635,0.18947368421052563,0.24022135775837872
500,0.5,1,0.03783,280.0,0.0008,197.0,1,0.10789702053491777,0.575346505455616,0.008535358452462673,0.36842105263157765,0.2439656641631003
10000,0.3,1,0.0449,140.0,0.0291,92.0,1,0.3124096036935955,0.16248894131524572,0.4677571154956065,0.0,0.25913749990537094
2000,0.45,1,0.04291,236.0,0.00234,170.0,1,0.2548452415315347,0.44559127101149965,0.0335248109558705,0.2736842105263148,0.2610935081356101
30000,0.5,1,0.05233,90.8,0.000292,186.0,1,0.5273358403087264,0.01739899734591558,0.00029208450978009153,0.3298245614035076,0.2648161865724516
500,0.55,1,0.0375,295.0,0.00166,222.0,1,0.09835117153316891,0.6195812444706557,0.022490507253067046,0.45614035087719135,0.2671549338131236
20000,0.45,1,0.05288,107.0,0.000298,160.0,1,0.5432455886449743,0.06517251548215844,0.00038944601304012177,0.2385964912280693,0.26945872721534775
30000,0.55,1,0.05137,99.2,0.000276,213.0,1,0.49956609775818445,0.042170451194337814,3.245383442001007e-05,0.4245614035087704,0.2740597531950578
30000,0.4,1,0.05552,93.2,0.00176,134.0,1,0.6196123806589642,0.024476555588321944,0.024113198974067555,0.14736842105263104,0.2808919941133743
30000,0.45,1,0.05394,99.1,0.00259,161.0,1,0.5739080127111975,0.041875552934237524,0.03758154025837177,0.24210526315789388,0.28386419084339687
20000,0.5,1,0.0536,107.0,0.000308,186.0,1,0.5640728955578806,0.06517251548215844,0.000551715185140173,0.3298245614035076,0.291506314341246
1000,0.45,1,0.04238,294.0,0.000488,175.0,1,0.23951402949842318,0.616632261869653,0.0034725602829410876,0.29122807017543756,0.29434239984968635
20000,0.4,1,0.05686,107.0,0.00032,135.0,1,0.6583743129690955,0.06517251548215844,0.0007464381916602343,0.1508771929824556,0.30242372064387824
20000,0.55,1,0.05323,112.0,0.000315,213.0,1,0.5533699739498592,0.07991742848717166,0.0006653036056102087,0.4245614035087704,0.30514461794917425
30000,0.6,1,0.05252,111.0,0.000276,240.0,1,0.532831935188521,0.07696844588616902,3.245383442001007e-05,0.5192982456140333,0.31027611315593967
30000,0.3,1,0.06123,84.9,0.000357,92.0,1,0.7847844952043743,0.0,0.001346834128430422,0.0,0.3141831649074358
10000,0.45,1,0.0501,207.0,0.000834,164.0,1,0.4628290425090302,0.36007077558242295,0.009087073637602845,0.25263157894736754,0.3148614624688435
1000,0.4,1,0.04278,327.0,0.00226,152.0,1,0.2510847555611489,0.7139486877027403,0.03222665757907009,0.21052631578947292,0.3169453530343796
500,0.65,1,0.03987,263.0,0.00637,285.0,1,0.16690772345481913,0.5252138012385711,0.09891928731219098,0.6771929824561379,0.3194293445224293
500,0.4,1,0.04188,331.0,0.0055,151.0,1,0.225050621920016,0.725744618106751,0.08480186933948655,0.20701754385964838,0.3194694087415387
20000,0.3,1,0.06096,97.3,0.000274,92.7,1,0.7769742551120344,0.03656738425243277,0.0,0.002456140350877194,0.3202999691605536
10000,0.55,1,0.05008,203.0,0.000407,215.0,1,0.4622505062058939,0.34827484517841234,0.0021581799889306766,0.4315789473684195,0.3371373918800097
10000,0.5,1,0.05074,190.0,0.00674,189.0,1,0.48134220420939144,0.309938071365378,0.10492324667989288,0.34035087719298124,0.34205868044002685
30000,0.65,1,0.05189,143.0,0.000286,270.0,1,0.514608041639728,0.17133588911825365,0.00019472300652006132,0.6245614035087697,0.34240034406307407
