N_loc,sigma_bar,rmse,t_mean_ms,Kopt_mean,slack_max,score
100,0.55,0.03479,221.0,100.0,0.0029,0.12105583721687993
100,0.5,0.03479,222.0,100.0,0.0029,0.12179308286713059
100,0.6,0.03479,222.0,100.0,0.0029,0.12179308286713059
200,0.55,0.03447,214.0,180.0,0.000496,0.14649584668837717
200,0.6,0.0343,216.0,181.0,0.000765,0.14740263849358703
200,0.3,0.03443,255.0,109.0,0.00989,0.16937880030767138
500,1.0,0.03459,207.0,227.0,0.00252,0.17402911245602282
500,0.3,0.03524,283.0,106.0,0.00929,0.19586778919187608
500,0.45,0.03542,279.0,174.0,0.00314,0.21083190279806824
1000,0.3,0.0416,223.0,103.0,0.00471,0.20878006440298652
1000,0.45,0.04238,294.0,175.0,0.000488,0.29434239984968635
1000,0.4,0.04278,327.0,152.0,0.00226,0.3169453530343796
2000,0.3,0.04236,178.0,100.0,0.00759,0.19216551889392022
2000,0.4,0.04338,213.0,146.0,0.00335,0.24022135775837872
2000,0.45,0.04291,236.0,170.0,0.00234,0.2610935081356101
10000,0.3,0.0449,140.0,92.0,0.0291,0.25913749990537094
10000,0.45,0.0501,207.0,164.0,0.000834,0.3148614624688435
10000,0.55,0.05008,203.0,215.0,0.000407,0.3371373918800097
20000,0.45,0.05288,107.0,160.0,0.000298,0.26945872721534775
20000,0.5,0.0536,107.0,186.0,0.000308,0.291506314341246
20000,0.4,0.05686,107.0,135.0,0.00032,0.30242372064387824
30000,0.5,0.05233,90.8,186.0,0.000292,0.2648161865724516
30000,0.55,0.05137,99.2,213.0,0.000276,0.2740597531950578
30000,0.4,0.05552,93.2,134.0,0.00176,0.2808919941133743
