run_tag,mode,adaptive_k,seed,N_loc,K,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,sigma_min_Hu_min,sigma_min_Hu_mean,sigma_min_Mk_min,sigma_min_Mk_mean,sigma_min_Mk_repr,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95,error
adaptiveK_N1000_sigma0p2_seed000,adaptiveK,1,0,1000,180,0.2,1,0.04039017875675132,0.02933708031675564,180.23511325358413,257.0173149579204,0.0023879800068790915,0.00020459876846846503,nan,nan,0.2000068765228785,0.20423732839857262,0.20296900741059487,7,0,68.0775,76.0,
adaptiveK_N1000_sigma0p3_seed000,adaptiveK,1,0,1000,180,0.3,1,0.04996174418113524,0.043158489725481385,233.09873125283048,375.5817449768072,0.009963945297188078,0.0001734376519226327,nan,nan,0.30000378857936455,0.30364324526193487,0.302564160435087,5,0,103.8875,114.0,
adaptiveK_N1000_sigma0p4_seed000,adaptiveK,1,0,1000,180,0.4,1,0.06710637680616714,0.07519033423159448,320.020017256611,544.0148100838996,0.0010983325149213886,0.00011834471297688477,nan,nan,0.4000107279255878,0.4025964554176991,0.40176485240068616,3,0,154.18,172.0,
adaptiveK_N1000_sigma0p45_seed000,adaptiveK,1,0,1000,180,0.45,1,0.05179871548928337,0.04598048324554088,299.8965232487535,443.0390798719598,0.0005464551894240146,0.00010600746535042497,nan,nan,0.4500035409670664,0.45270485518723647,0.45198126699618574,4,0,176.2125,190.04999999999995,
adaptiveK_N1000_sigma0p5_seed000,adaptiveK,1,0,1000,180,0.5,1,0.06862345895930141,0.07830148044207519,309.4346227502683,507.0653900038449,0.0014866755151820934,0.0001113093961158387,nan,nan,0.5000031248853035,0.5025372140722941,0.5016810758170892,2,0,202.1275,229.0,
adaptiveK_N1000_sigma0p55_seed000,adaptiveK,1,0,1000,180,0.55,1,0.05106962217135565,0.0445527984999473,332.8423262544675,644.0884499810635,0.00743592811478423,0.00016798427048435126,nan,nan,0.5500042833603938,0.5527806488193464,0.5517814120553055,3,0,226.9175,247.14999999999986,
adaptiveK_N1000_sigma0p6_seed000,adaptiveK,1,0,1000,180,0.6,1,0.05921001457316039,0.05888576780389771,328.3861717453692,688.0898548872203,0.008212851186123752,0.00015452554432311523,nan,nan,0.6000004907733052,0.6021794933631945,0.6014238181966138,3,0,256.1125,293.04999999999995,
adaptiveK_N1000_sigma0p65_seed000,adaptiveK,1,0,1000,180,0.65,1,0.05806863006601251,0.05666797631885242,279.6981452475302,705.7961449725552,0.0054425275492743855,0.0001257590124087071,nan,nan,0.6500037187156684,0.6522197331806164,0.6513197851987331,4,0,284.7175,331.2999999999997,
adaptiveK_N1000_sigma0p7_seed000,adaptiveK,1,0,1000,180,0.7,1,0.06155533530264277,0.06322850822443235,306.5123710007174,770.2155951876184,0.006170628746385283,0.0001721130493818853,nan,nan,0.7000023822976531,0.7022340375128145,0.701286937465013,3,0,314.9725,356.04999999999995,
adaptiveK_N1000_sigma0p8_seed000,adaptiveK,1,0,1000,180,0.8,1,0.05739527358155288,0.05535239635670427,294.91106300090905,942.9217148339375,0.011245636208407368,0.00033340976983420377,nan,nan,0.8000046327912995,0.8017019761672615,0.8011205778077539,3,0,383.405,467.14999999999986,
adaptiveK_N1000_sigma0p2_seed001,adaptiveK,1,1,1000,180,0.2,1,0.04015898465308315,0.02863621992072064,179.52313123911154,245.41428002994505,0.004675622679514212,0.0002189054743992476,nan,nan,0.20001450819459105,0.20436467820411533,0.20287894921169042,3,0,67.9125,77.0,
adaptiveK_N1000_sigma0p3_seed001,adaptiveK,1,1,1000,180,0.3,1,0.04160347445448971,0.030667439652640016,225.96635025169235,366.1361801787279,0.004710553861138491,0.00016504070976284347,nan,nan,0.30001246305272017,0.303274470907317,0.30220855459514884,3,0,103.205,113.0,
adaptiveK_N1000_sigma0p4_seed001,adaptiveK,1,1,1000,180,0.4,1,0.04277664639147555,0.032113768394370655,336.7097017512424,545.3122899751179,0.002958725141884961,0.00011343186452508981,nan,nan,0.40000215351760066,0.4025106392290661,0.4018150194214759,3,0,151.84,164.04999999999995,
adaptiveK_N1000_sigma0p45_seed001,adaptiveK,1,1,1000,180,0.45,1,0.04237024158677001,0.03140499574582054,302.679837004398,472.08668994717294,0.0006646569149662991,0.00010278405931974348,nan,nan,0.4500041437498425,0.4525725332248083,0.45193311996629537,3,0,175.745,188.0,
adaptiveK_N1000_sigma0p5_seed001,adaptiveK,1,1,1000,180,0.5,1,0.04596211235842553,0.03655358339111185,305.5749249912333,476.3451951323076,0.004751308259947204,0.0001173450757412357,nan,nan,0.5000076542010314,0.5026647653726413,0.5015325448431254,2,0,196.0475,212.04999999999995,
adaptiveK_N1000_sigma0p55_seed001,adaptiveK,1,1,1000,180,0.55,1,0.0416922586121771,0.030551980883920107,324.9948404933093,623.2767699519171,0.0025077583887166575,0.00012919741864038416,nan,nan,0.5500149863737755,0.5532288632485876,0.5517815212266226,3,0,226.5375,242.04999999999995,
adaptiveK_N1000_sigma0p6_seed001,adaptiveK,1,1,1000,180,0.6,1,0.05160448864508983,0.045278124311674134,311.34528224589303,583.5004699416457,0.0076173449778413485,0.00012002727054740927,nan,nan,0.6000035884627035,0.6020263079551103,0.6012554967903392,3,0,253.0625,281.0999999999999,
adaptiveK_N1000_sigma0p65_seed001,adaptiveK,1,1,1000,180,0.65,1,0.051284601819305095,0.044569958062441316,262.25098175753374,532.6129899942315,0.008359176808585146,0.0001259783136039928,nan,nan,0.6500038241331928,0.6519468898873619,0.6513010850556942,1,0,279.8825,307.2999999999997,
adaptiveK_N1000_sigma0p7_seed001,adaptiveK,1,1,1000,180,0.7,1,0.04481659376781041,0.03459691143580002,257.35027349961456,788.351570116356,0.01405610832469915,0.00025153363064463614,nan,nan,0.7000010695290537,0.7021906458473214,0.7013508179514951,2,0,310.1575,343.04999999999995,
adaptiveK_N1000_sigma0p8_seed001,adaptiveK,1,1,1000,180,0.8,1,0.050563473106567954,0.04340724540585128,344.2810385028133,968.5333399684168,0.022177888884885366,0.0004102546463657128,nan,nan,0.8000012301101355,0.8016766304087102,0.8011111467508196,3,0,375.8025,435.0,
adaptiveK_N1000_sigma0p2_seed002,adaptiveK,1,2,1000,180,0.2,1,0.045426166627389894,0.036607670056431174,182.97949874715414,263.68237000424415,0.004169328278165395,0.0002159911632421637,nan,nan,0.2000011373787369,0.20429522455856378,0.20249774401801957,5,0,68.2175,78.0,
adaptiveK_N1000_sigma0p3_seed002,adaptiveK,1,2,1000,180,0.3,1,0.046628364545281895,0.038431684904696124,230.67004750075284,378.2786848838441,0.0025005464853691158,0.00014592579157973108,nan,nan,0.3000145421408625,0.3035052957372143,0.3021973546474033,5,0,103.545,114.04999999999995,
adaptiveK_N1000_sigma0p4_seed002,adaptiveK,1,2,1000,180,0.4,1,0.04793105247408447,0.04010699522517681,360.1711465069093,570.0066301971673,0.004606403117906017,0.00012313566943555245,nan,nan,0.40000374311562337,0.40262633313877216,0.40189542906957854,5,0,151.93,164.0,
adaptiveK_N1000_sigma0p45_seed002,adaptiveK,1,2,1000,180,0.45,1,0.044970192149669595,0.035531875887725634,303.96111100388225,460.6116701615973,0.0005831423613932294,0.00010285677860281274,nan,nan,0.4500009460372864,0.45275880574805627,0.45184845720425315,4,0,176.1525,187.0,
adaptiveK_N1000_sigma0p5_seed002,adaptiveK,1,2,1000,180,0.5,1,0.0582381287494053,0.057379004515882064,313.06161374319345,561.0156251001171,0.007059691748072453,0.000152386049058112,nan,nan,0.5000201557998641,0.5028536153188723,0.5015864759356418,5,0,197.6625,220.0,
adaptiveK_N1000_sigma0p55_seed002,adaptiveK,1,2,1000,180,0.55,1,0.05717919093688505,0.05537957875269489,342.8108919906663,648.0161249404771,0.006527102274831485,0.00015354747461120263,nan,nan,0.5500002134724735,0.5528479702490692,0.551783056461091,4,0,227.38,251.0,
adaptiveK_N1000_sigma0p6_seed002,adaptiveK,1,2,1000,180,0.6,1,0.057160355703697596,0.05529719520359988,320.6459784996696,643.8571551232598,0.007736829836275961,0.00018367748107176558,nan,nan,0.6000030403450702,0.602184666745009,0.6012851783144018,4,0,254.4075,279.0999999999999,
adaptiveK_N1000_sigma0p65_seed002,adaptiveK,1,2,1000,180,0.65,1,0.05899528914183079,0.058657187076650144,272.7271272504004,577.8153898660083,0.0036295505416929774,0.0001220370350901433,nan,nan,0.6500066784359455,0.6520112788750205,0.651206790894093,5,0,282.855,323.0,
adaptiveK_N1000_sigma0p7_seed002,adaptiveK,1,2,1000,180,0.7,1,0.05266335529973483,0.047328998707892624,280.8470764977392,809.626995108556,0.00704064907809207,0.00020995447889007532,nan,nan,0.7000023008099439,0.702017751072352,0.7013177249686959,4,0,312.7775,356.0999999999999,
adaptiveK_N1000_sigma0p8_seed002,adaptiveK,1,2,1000,180,0.8,1,0.05649190396567072,0.05391011921068545,325.68055075302254,938.9276300556958,0.010399470629216579,0.00040725056149152673,nan,nan,0.800000767632368,0.8017103791024358,0.8011470502376292,4,0,380.7975,446.04999999999995,
