run_tag,seed,N_loc,sigma_bar,success,rmse_ee,total_cost,solve_time_mean_ms,solve_time_p95_ms,slack_inf_max,slack_inf_mean,sigma_min_Hu_min,sigma_min_Hu_mean,sigma_min_Mk_min,sigma_min_Mk_mean,local_gate_fail,cond_gate_fail,Kopt_mean,Kopt_p95
N1000_sigma0p2_seed000,0,1000,0.2,1,0.05480586873297699,0.051148439280451596,278.3906575042056,403.82229508832097,0.00048028888341205097,0.00010582988034392178,nan,nan,0.29454713562088464,0.4610196696521276,4,0,180.0,180.0
N1000_sigma0p3_seed000,0,1000,0.3,1,0.051850262330224876,0.0459706388680135,289.5196507446235,419.006455107592,0.0014047156943472823,0.000109316221178158,nan,nan,0.24259836117636394,0.46153329175103025,3,1,180.0,180.0
N1000_sigma0p4_seed000,0,1000,0.4,1,0.052534180643015405,0.04715594618609898,307.3903927463107,444.33063002070406,0.0015676775692058872,0.00011016454096873171,nan,nan,0.24259836117636394,0.4615973694801667,3,6,180.0,180.0
N1000_sigma0p45_seed000,0,1000,0.45,1,0.04855830552244639,0.04080098084224322,302.6510867464822,441.74636490642985,0.014114274128785699,0.0001697700631317647,nan,nan,0.24259836117636394,0.4610041563565791,4,70,180.0,180.0
N1000_sigma0p5_seed000,0,1000,0.5,1,0.04755048812553988,0.039623925769247455,218.10374325024895,311.8608600459993,0.0006285639903110714,0.00010636788617888332,nan,nan,0.24259836117636394,0.4517666992594496,4,399,180.0,180.0
N1000_sigma0p55_seed000,0,1000,0.55,1,0.04750127222875112,0.03955619744195596,222.16091374808457,343.5279500205069,0.005316449163012334,0.00011983258686147222,nan,nan,0.24259836117636394,0.4515477480080824,4,400,180.0,180.0
N1000_sigma0p6_seed000,0,1000,0.6,1,0.047488981273612764,0.03953763711560193,229.81773749517743,359.1908400063403,0.005316449163012334,0.0001197218364538371,nan,nan,0.24259836117636394,0.4518378590773864,4,400,180.0,180.0
N1000_sigma0p65_seed000,0,1000,0.65,1,0.047502850879399657,0.039557526553317124,229.8843859997578,370.0252200127576,0.04823746366101987,0.00040690577218690924,nan,nan,0.24259836117636394,0.4518045316612017,4,400,180.0,180.0
N1000_sigma0p7_seed000,0,1000,0.7,1,0.04750127222875112,0.03955619744195596,227.92188149644062,346.22538506519044,0.005316449163012334,0.00011983258686147222,nan,nan,0.24259836117636394,0.4515477480080824,4,400,180.0,180.0
N1000_sigma0p8_seed000,0,1000,0.8,1,0.04750704976440021,0.0395650612884963,218.7891042465344,316.81224502390216,0.005316449163012334,0.00012019644233109268,nan,nan,0.24259836117636394,0.4513948253684981,4,400,180.0,180.0
N1000_sigma0p2_seed001,1,1000,0.2,1,0.04632878156343368,0.03702625799108047,308.0747587484075,433.00816996488714,0.00042712798837503965,9.941944411127296e-05,nan,nan,0.2907204984809639,0.462884831597089,2,0,180.0,180.0
