alpha,seed,success,time_to_upright,avg_solve_time,mean_K_used,max_K_used,certificate_rate
0.005,0,0,155,0.09214429666666663,40.0,40.0,1.0
0.005,1,0,68,0.09072983028999998,40.0,40.0,1.0
0.005,2,0,300,0.07724294507936484,40.0,40.0,1.0
0.005,3,0,53,0.09434679111333369,40.0,40.0,1.0
0.005,4,0,61,0.0885819125066664,40.0,40.0,1.0
0.005,5,0,68,0.09271899611666702,40.0,40.0,1.0
0.005,6,0,59,0.10019993624666691,40.0,40.0,1.0
0.005,7,0,167,0.0848350640266661,40.0,40.0,1.0
0.005,8,0,72,0.09034837317333388,40.0,40.0,1.0
0.005,9,1,52,0.09580501707999996,40.0,40.0,1.0
0.01,0,0,60,0.1126407146060623,48.77104377104377,85.0,1.0
0.01,1,0,300,0.07941758596999837,40.266666666666666,75.0,1.0
0.01,2,1,76,0.11148055723666744,50.78333333333333,80.0,1.0
0.01,3,1,53,0.1223408694266673,52.61666666666667,90.0,1.0
0.01,4,1,100,0.10452887969148998,44.52127659574468,75.0,1.0
0.01,5,0,60,0.11119995719333323,46.2,85.0,1.0
0.01,6,0,66,0.10734131487000088,46.166666666666664,80.0,1.0
0.01,7,1,57,0.1277918271933341,53.13333333333333,80.0,1.0
0.01,8,0,86,0.10189365528666978,46.06666666666667,75.0,1.0
0.01,9,0,65,0.1082342790666678,46.8,80.0,1.0
0.02,0,1,153,0.1652884541533293,81.81666666666666,200.0,0.9966666666666667
0.02,1,1,61,0.237227672519997,103.53333333333333,200.0,0.9533333333333334
0.02,2,0,67,0.11306749854545407,57.2027972027972,140.0,1.0
0.02,3,0,56,0.14171175261971813,64.40140845070422,150.0,1.0
0.02,4,1,263,0.11838093725333275,64.36666666666666,200.0,1.0
0.02,5,0,71,0.10604287152666378,59.233333333333334,145.0,1.0
0.02,6,0,62,0.18317386333999858,82.4,190.0,1.0
0.02,7,0,167,0.14336048155667186,68.85,200.0,0.9733333333333334
0.02,8,1,78,0.2078885397200031,102.46666666666667,200.0,0.9166666666666666
0.02,9,0,300,0.10178253529999969,59.483333333333334,145.0,1.0
