seed,method,K,fail_practical,infeasible_step_rate,fallback_episode,mean_solve_time,mean_K_used,max_K_used,success,reached,fall_down
0,fixedK30,30,1,0.8366666666666667,1,0.09248899898333325,30.0,30.0,1,1,0
0,fixedK40,40,1,0.89,1,0.10467385009666681,40.0,40.0,1,1,0
0,fixedK50,50,1,0.83,1,0.11894253140666687,50.0,50.0,1,1,0
0,fixedK60,60,1,0.8566666666666667,1,0.12951193413666728,60.0,60.0,1,1,0
0,fixedK70,70,1,0.83,1,0.13886102851666712,70.0,70.0,1,1,0
0,fixedK80,80,1,0.7233333333333334,1,0.17903025970999986,80.0,80.0,1,1,0
0,unified_a001,40,1,0.8,1,0.14073994874999946,67.98333333333333,75.0,1,1,0
1,fixedK30,30,1,0.9033333333333333,1,0.0932870543133358,30.0,30.0,1,1,0
1,fixedK40,40,1,0.8333333333333334,1,0.10973466108666666,40.0,40.0,1,1,0
1,fixedK50,50,1,0.8433333333333334,1,0.11956253249333486,50.0,50.0,1,1,0
1,fixedK60,60,1,0.85,1,0.13481987150666763,60.0,60.0,1,1,0
1,fixedK70,70,1,0.81,1,0.15651563238333438,70.0,70.0,1,1,0
1,fixedK80,80,1,0.8433333333333334,1,0.1928769401366704,80.0,80.0,1,1,0
1,unified_a001,40,1,0.7166666666666667,1,0.1571193162633305,71.95,75.0,1,1,0
2,fixedK30,30,1,0.97,1,0.09302674057666688,30.0,30.0,0,1,1
2,fixedK40,40,1,0.8966666666666666,1,0.1089110384300011,40.0,40.0,1,1,0
2,fixedK50,50,1,0.8166666666666667,1,0.1267924523800006,50.0,50.0,1,1,0
2,fixedK60,60,1,0.9533333333333334,1,0.15168464515332858,60.0,60.0,0,1,1
2,fixedK70,70,1,0.7866666666666666,1,0.15697008918333155,70.0,70.0,1,1,0
2,fixedK80,80,1,0.6333333333333333,1,0.17597869236666763,80.0,80.0,1,1,0
2,unified_a001,40,1,0.7833333333333333,1,0.15471892417000313,67.11666666666666,75.0,1,1,0
3,fixedK30,30,1,0.97,1,0.09510532832333107,30.0,30.0,1,1,0
3,fixedK40,40,1,0.8166666666666667,1,0.10858029420000208,40.0,40.0,1,1,0
3,fixedK50,50,1,0.7966666666666666,1,0.12081074206333331,50.0,50.0,1,1,0
3,fixedK60,60,1,0.8333333333333334,1,0.1366729124866716,60.0,60.0,1,1,0
3,fixedK70,70,1,0.81,1,0.14760306857999733,70.0,70.0,1,1,0
3,fixedK80,80,1,0.4633333333333333,1,0.17924595541666502,80.0,80.0,1,1,0
3,unified_a001,40,1,0.7933333333333333,1,0.14566080552000282,68.58333333333333,80.0,1,1,0
4,fixedK30,30,1,0.81,1,0.09389721779332982,30.0,30.0,1,1,0
4,fixedK40,40,1,0.8566666666666667,1,0.11401765817666577,40.0,40.0,1,1,0
