seed,method,success,time_to_upright,avg_solve_time,mean_K_used,max_K_used,certificate_rate,fail_step,mean_tau,mean_d90,mean_C_size
0,fixedK40,0,155,0.09378877596000003,40.0,40.0,nan,268,nan,nan,nan
0,unified_a001,0,60,0.11407570063636385,48.77104377104377,85.0,1.0,81,15.656633201128944,65.37081255482296,577.0
1,fixedK40,0,68,0.09382849900666675,40.0,40.0,nan,85,nan,nan,nan
1,unified_a001,0,300,0.07995236511666685,40.266666666666666,75.0,1.0,-1,33.438085131928275,78.67990356817296,577.0
2,fixedK40,0,300,0.0860855601904763,40.0,40.0,nan,-1,nan,nan,nan
2,unified_a001,1,76,0.10897846817333312,50.78333333333333,80.0,1.0,-1,12.866566548841483,61.65436561519314,577.0
3,fixedK40,0,53,0.09349423638666612,40.0,40.0,nan,263,nan,nan,nan
3,unified_a001,1,53,0.11665300916333318,52.61666666666667,90.0,1.0,-1,10.858657578129662,62.46865474413755,577.0
4,fixedK40,0,61,0.08841954512666765,40.0,40.0,nan,170,nan,nan,nan
4,unified_a001,1,100,0.10120651150531666,44.52127659574468,75.0,1.0,-1,25.000244659138506,70.02438550293903,577.0
5,fixedK40,0,68,0.0952685479800014,40.0,40.0,nan,234,nan,nan,nan
5,unified_a001,0,60,0.10939954030000006,46.2,85.0,1.0,171,18.014690922205236,65.86354347448845,577.0
6,fixedK40,0,59,0.09909822999000047,40.0,40.0,nan,137,nan,nan,nan
6,unified_a001,0,66,0.10540911986000007,46.166666666666664,80.0,1.0,204,21.053336037399234,67.2578165794885,577.0
7,fixedK40,0,167,0.08501583653333208,40.0,40.0,nan,250,nan,nan,nan
7,unified_a001,1,57,0.128023551276666,53.13333333333333,80.0,1.0,-1,13.675999077329799,61.12319846011858,577.0
8,fixedK40,0,72,0.09431092776000052,40.0,40.0,nan,196,nan,nan,nan
8,unified_a001,0,86,0.10261869970000191,46.06666666666667,75.0,1.0,201,21.787786246510187,68.12348116201152,577.0
9,fixedK40,1,52,0.0972661546999988,40.0,40.0,nan,-1,nan,nan,nan
9,unified_a001,0,65,0.10826956251000448,46.8,80.0,1.0,172,20.30499821430754,67.06619569439819,577.0
10,fixedK40,1,220,0.08571123523334298,40.0,40.0,nan,-1,nan,nan,nan
10,unified_a001,0,53,0.09963359361000017,45.0,85.0,1.0,172,18.931288454152412,68.94697040639764,577.0
11,fixedK40,0,51,0.08331052984333497,40.0,40.0,nan,117,nan,nan,nan
11,unified_a001,1,77,0.12352652930999587,52.0,80.0,1.0,-1,14.553008821141624,61.096850217916426,577.0
12,fixedK40,1,67,0.10058653930999639,40.0,40.0,nan,-1,nan,nan,nan
12,unified_a001,1,71,0.1148679942800004,49.25,80.0,1.0,-1,16.590876150046473,63.58305933561318,577.0
13,fixedK40,0,68,0.093610115023331,40.0,40.0,nan,248,nan,nan,nan
13,unified_a001,0,71,0.1126145635666679,49.3,80.0,1.0,186,20.996663744487545,67.4763241710281,577.0
14,fixedK40,1,57,0.0993778459900011,40.0,40.0,nan,-1,nan,nan,nan
14,unified_a001,1,70,0.12178949151666908,53.95,85.0,1.0,-1,14.044328026130287,62.539124016237935,577.0
15,fixedK40,0,300,0.08420347151666306,40.0,40.0,nan,-1,nan,nan,nan
15,unified_a001,0,300,0.09248554501000057,41.13333333333333,70.0,1.0,-1,30.352634938345545,75.268110910942,577.0
16,fixedK40,1,142,0.09650617028666603,40.0,40.0,nan,-1,nan,nan,nan
16,unified_a001,0,74,0.09895661569791454,44.140625,70.0,1.0,123,24.437075794103645,71.49818775846923,577.0
17,fixedK40,1,59,0.09748373554666348,40.0,40.0,nan,-1,nan,nan,nan
17,unified_a001,0,300,0.08031932442856436,40.79365079365079,70.0,1.0,-1,32.64899739594066,79.9812590077964,577.0
18,fixedK40,0,139,0.09001757897666948,40.0,40.0,nan,189,nan,nan,nan
18,unified_a001,1,138,0.11300385246332628,49.53333333333333,85.0,1.0,-1,19.550604532483646,66.48107614301598,577.0
19,fixedK40,1,217,0.09170908594000593,40.0,40.0,nan,-1,nan,nan,nan
19,unified_a001,1,85,0.11749610364333572,51.8,85.0,1.0,-1,17.297699307229355,63.38641685903617,577.0
