seed,K,sigma_y,direct_set_ok,mean_sigma_min,min_sigma_min,mean_lambda_min,min_lambda_min,mean_solve_time
0,30,0.0,1,0.2720513407524257,0.25331120537227614,0.07406567419964771,0.06416656676715547,0.09067997612000006
1,30,0.0,1,0.28559690596263415,0.25413229963018125,0.08186013581029582,0.06458322571532422,0.09433440138333318
2,30,0.0,1,0.29307367976474025,0.2454229972524949,0.0861636908424962,0.06023244758039811,0.09498247748999997
3,30,0.0,1,0.303692327325997,0.22600996556448008,0.09300445932218962,0.05108050453445747,0.0922496616666667
4,30,0.0,1,0.31003314191439124,0.23087844351868253,0.09899360602967855,0.05330485568160948,0.09342198834666789
5,30,0.0,1,0.30264568801435143,0.23838040998373325,0.09275188862058482,0.05682521986401275,0.09343179927999955
6,30,0.0,1,0.29378897648706814,0.21979740749212245,0.09253432897870244,0.04831090034025813,0.09205963042666676
7,30,0.0,1,0.3034513663333481,0.24706806464769107,0.0935790327655838,0.06104262856875565,0.09244891919666638
8,30,0.0,1,0.3027933787312015,0.223266849906751,0.09817433394692748,0.04984808626728368,0.0964579728800023
9,30,0.0,1,0.3269418471496798,0.2231521069216053,0.11733418615453596,0.04979686282355157,0.09762134818999793
10,30,0.0,1,0.2870588545705501,0.21866944011149908,0.08510706596038707,0.047816324038676486,0.09620681433000149
11,30,0.0,1,0.2846756761729918,0.25512332564561074,0.08342572705000473,0.06508791128847635,0.09220185099999981
12,30,0.0,1,0.2760071673441775,0.25444464728256155,0.0763580991025837,0.06474207853074716,0.09060590499999686
13,30,0.0,1,0.535016219835697,0.25978709481290213,0.6436036849552519,0.06748933463132781,0.0891727877733327
14,30,0.0,1,0.3006603774523158,0.235200855523359,0.0933200391819243,0.05531944243892,0.09185576961666754
15,30,0.0,1,0.5670263456467141,0.21476947667609902,0.8032060173335338,0.046125928111725445,0.09015413070333239
16,30,0.0,1,0.38296495776012496,0.22511676647277043,0.3082159579960587,0.05067755854715586,0.09211958484333176
17,30,0.0,1,0.28155741072523555,0.22260772316584296,0.07968169602920709,0.04955419841308057,0.09368387170333449
18,30,0.0,1,0.2796073732401234,0.25343390297580654,0.07857765257267545,0.06422874317755053,0.09125786692999686
19,30,0.0,1,0.3556458320648054,0.249744812830251,0.16122504882416422,0.0623724715356171,0.09480865804999704
20,30,0.0,1,0.4889928012080438,0.23031153636852006,0.7694620219028203,0.05304340378442814,0.09197076275999999
21,30,0.0,1,0.29252365531620017,0.22617953337293614,0.0859545400259273,0.05115718131679913,0.09852699874666504
22,30,0.0,1,0.31629965072644495,0.22659034670449726,0.11011029124515574,0.05134318521966428,0.09347028879333455
23,30,0.0,1,0.8360871606891717,0.2345816705214456,1.5520744748219908,0.05502856014463206,0.0860123547466704
24,30,0.0,1,0.28980411960276586,0.24259565586493195,0.08437335592642624,0.05885265224453649,0.09462984875000074
25,30,0.0,1,0.2704955862972852,0.25444464728256166,0.07319488034505985,0.06474207853074722,0.08885767667333501
26,30,0.0,1,0.28059369586070054,0.2525895437280205,0.07891959540995809,0.06380147760072959,0.09052305206666954
27,30,0.0,1,0.2852655601579551,0.22326684990675102,0.08162714305001982,0.04984808626728369,0.09291755455999805
28,30,0.0,1,0.30442248705265146,0.2405750090554366,0.09403081050423123,0.05787633498202341,0.09404037388333411
29,30,0.0,1,0.2724304442025141,0.2511468557802255,0.07430601070241295,0.0630747431682934,0.09304414556000286
0,40,0.0,1,0.3152815628503594,0.286507764352596,0.09955622228231976,0.08208669903432267,0.10682687260333333
1,40,0.0,1,0.3131303246052002,0.28650748837795387,0.09821414567352697,0.08208654089664338,0.10996016378332835
2,40,0.0,1,1.276086710719449,0.3090466576940164,3.551070101840225,0.09550983663184254,0.0965693993099967
3,40,0.0,1,0.3243919234993735,0.2956422035223452,0.10672673462413297,0.0874043125035478,0.11172148277666792
4,40,0.0,1,0.33834130306332144,0.28698132586792935,0.12483983365236308,0.08235828139691466,0.11103381984332941
5,40,0.0,1,0.350826895964133,0.28960933059283733,0.12396629930540001,0.08387356436643136,0.10819081416333158
6,40,0.0,1,0.3693382200613116,0.2699776630058296,0.14071488191345835,0.0728879385220893,0.11158357500999348
7,40,0.0,1,0.32029892678560945,0.2925771072022195,0.10287888031246256,0.08560136365881905,0.10902989405666404
8,40,0.0,1,0.3496107803733245,0.3044512849642009,0.12697553454490965,0.09269058491635304,0.1121041587566583
9,40,0.0,1,1.3815017066917532,0.2943777922598546,4.1185818721253575,0.08665828457578613,0.09235125450434818
10,40,0.0,1,0.3358926646894613,0.289995133085182,0.11398070813710293,0.0840971772130924,0.1093777022233318
11,40,0.0,1,0.31525462440628,0.28642448874982185,0.09948361491359227,0.08203898775559681,0.10372761484332993
12,40,0.0,1,0.3235500122507935,0.2887595259840483,0.10491098758766791,0.08338206384653227,0.10602060390667097
13,40,0.0,1,0.3473654138663244,0.28620825792381016,0.13003574905267096,0.08191516690378225,0.10669516502332954
14,40,0.0,1,0.322800951987198,0.29394197878224965,0.10445159442177326,0.08640188689042451,0.11252496805333977
15,40,0.0,1,0.3309022338056391,0.2860031824624403,0.11026951630515318,0.0817978203786439,0.10927618470000046
16,40,0.0,1,0.3142993637350192,0.29340229436906173,0.09893117120688212,0.08608490634102955,0.11128571347666669
17,40,0.0,1,0.34672654828087945,0.29238743779603926,0.12392907928357237,0.08549041378093272,0.11235063927666109
18,40,0.0,1,0.38302468705977893,0.300216970104472,0.17672781549798097,0.09013022913870945,0.11082153054666379
19,40,0.0,1,0.31426934011009944,0.2704293945861268,0.09955520849223704,0.07313205745621906,0.11082981416666599
20,40,0.0,1,0.3401218099130703,0.3005456066620743,0.11643034445080351,0.09032766168387427,0.10776512280333767
21,40,0.0,1,0.36312371767758017,0.29908228172792245,0.13604124932127448,0.08945021124358037,0.11323342401667484
22,40,0.0,1,0.34703047916102653,0.3016359082660482,0.12585089533088423,0.09098422115548384,0.10639055525000533
23,40,0.0,1,0.31645483991964823,0.2870172583851609,0.10040480314389562,0.08237890661093422,0.10377182099999724
24,40,0.0,1,0.3137393948705091,0.2931612063820511,0.09852559094356866,0.08594349292737957,0.10208094096666703
25,40,0.0,1,0.31198783268453323,0.28620825792381016,0.09743527035627254,0.08191516690378225,0.10685619222999093
26,40,0.0,1,0.3178089118239737,0.28600318246244016,0.10122314737912888,0.08179782037864385,0.10723426222666982
27,40,0.0,1,0.31755571382913483,0.28600318246244016,0.10106461826161209,0.08179782037864385,0.10702921943333346
28,40,0.0,1,0.32230091000908007,0.2939001088645191,0.10458200825880667,0.0863772739905762,0.10883714724000736
29,40,0.0,1,0.3185291079176031,0.284813042413536,0.1019820535895891,0.08111846912885465,0.10475176300999843
0,50,0.0,1,0.367306227953905,0.3523863734683476,0.1349354173608189,0.12417615620617375,0.11435313127334364
1,50,0.0,1,0.3710266443992577,0.34875956269377334,0.1383547107477997,0.12163323257035202,0.1143011938766737
2,50,0.0,1,0.41061712839671655,0.3310994009373981,0.17190009489616004,0.10962681330110391,0.12751890651332662
3,50,0.0,1,0.373576982440235,0.3539730430512316,0.14155698802954958,0.12529691520694908,0.11570750806332854
4,50,0.0,1,0.3904934801135006,0.3494345531508693,0.18884385283287575,0.12210450693574769,0.11518681097999964
5,50,0.0,1,0.37922854360398656,0.33965898753829826,0.14445748343547668,0.11536822781554185,0.12179611335000194
6,50,0.0,1,1.120799324689912,0.3410540898284292,2.731274453763382,0.11631789218869826,0.11906450791332267
7,50,0.0,1,0.37203322838964575,0.33806136114754104,0.1396202104142317,0.11428548390092819,0.11675644664332291
8,50,0.0,1,0.37633081562793247,0.33482745098895483,0.1428471173975436,0.11210942193576097,0.12616406308333655
9,50,0.0,1,0.6704285332552018,0.3345368894172211,1.220045975497502,0.11191493038095003,0.1268810466733248
10,50,0.0,1,0.36871606865161194,0.34346504648354104,0.1360444472113654,0.11796823815594101,0.11524539444667425
11,50,0.0,1,0.36694395419501313,0.354479859105357,0.13466704730117138,0.12565597051135377,0.11400236392001262
12,50,0.0,1,0.37073408108443895,0.3526598643577504,0.1375787857325982,0.12436897992882691,0.11900959165333916
13,50,0.0,1,0.3988835640274503,0.3548535830945569,0.16019060891332407,0.1259210654350456,0.12511238128998534
14,50,0.0,1,0.3705010902868612,0.35265986435775043,0.137352560449004,0.12436897992882694,0.11527237053000135
15,50,0.0,1,0.3997633726757416,0.3410452076032228,0.16100118984721343,0.11631183362912535,0.12979348333333443
16,50,0.0,1,0.3746888660569915,0.34534265873220066,0.1427777221775633,0.11926155194022521,0.11678989721666919
17,50,0.0,1,1.0278923373167255,0.35429682759066383,2.8163092895661097,0.12552624204080856,0.11829969585999
18,50,0.0,1,0.3899411844386137,0.33599106518526234,0.1554276819664832,0.11288999588432722,0.12735463348334178
19,50,0.0,1,0.3760511875703914,0.3286147308841736,0.14630590345163455,0.10798764135407785,0.11616207024332804
20,50,0.0,1,0.3744600929219503,0.3380613611475409,0.14103442407428043,0.11428548390092808,0.12111141348332997
21,50,0.0,1,0.39740668180631417,0.3426639542793356,0.16074899007449014,0.11741858556235062,0.1241086209366631
22,50,0.0,1,0.40248599781163513,0.338061361147541,0.19726483442941167,0.11428548390092813,0.12701129013333987
23,50,0.0,1,0.3948544849233274,0.34293926863475527,0.15995475554539879,0.11760734197174083,0.1278120773666554
24,50,0.0,1,0.36731802521133794,0.35406997360851844,0.13496314133521067,0.12536554621113696,0.11898733154001093
