sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,local_min_cands,local_max_cands,clamp_reason
0.02,0,fixedK40,0,1,1,56,186,0.09703967015481176,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,0,unified_a001,0,0,0,300,-1,0.0819705516933335,40.666666666666664,80.0,1.0,31.840174641844374,78.51588054481078,577.0,100,1000,none
0.02,1,fixedK40,0,1,1,64,80,0.09739548180000045,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,1,unified_a001,0,1,1,62,190,0.11180913237307626,48.53846153846154,85.0,1.0,21.8005271223025,67.36774636192081,577.0,100,1000,none
0.02,2,fixedK40,1,1,0,82,-1,0.10243014567666747,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,2,unified_a001,0,1,1,73,116,0.09933039180000018,44.28333333333333,75.0,1.0,29.569400887203706,75.42249922476738,577.0,100,1000,none
0.02,3,fixedK40,1,1,0,76,-1,0.10351742043666613,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,3,unified_a001,0,1,1,57,241,0.11294637859333288,48.38333333333333,80.0,1.0,15.082415135738605,66.48520523425024,577.0,100,1000,none
0.02,4,fixedK40,0,1,1,106,145,0.0883971540533318,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,4,unified_a001,0,1,1,174,264,0.105194461913336,47.8,90.0,1.0,25.378528524826553,72.02563521270709,577.0,100,1000,none
0.02,5,fixedK40,0,1,1,70,120,0.09381204097999747,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,5,unified_a001,1,1,0,85,-1,0.11978059681579292,53.32236842105263,80.0,1.0,23.924173354312558,69.82416136291455,577.0,100,1000,none
0.02,6,fixedK40,0,1,1,77,150,0.09764534940666901,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,6,unified_a001,1,1,0,66,-1,0.13597667815666872,59.483333333333334,80.0,1.0,14.701645127307597,61.337870990457866,577.0,100,1000,none
0.02,7,fixedK40,1,1,0,102,-1,0.09778052452666468,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,7,unified_a001,1,1,0,62,-1,0.12912727999333357,57.46666666666667,80.0,1.0,11.744982951808456,62.491429607753574,577.0,100,1000,none
0.02,8,fixedK40,1,1,0,221,-1,0.0875571047154817,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,8,unified_a001,1,1,0,88,-1,0.13269310682333582,57.266666666666666,85.0,1.0,15.60715365087709,61.52169524565586,577.0,100,1000,none
0.02,9,fixedK40,1,1,0,101,-1,0.10083450539333284,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,9,unified_a001,1,1,0,65,-1,0.1293489727500071,57.983333333333334,90.0,1.0,12.176800202174222,62.814417284748465,577.0,100,1000,none
0.02,10,fixedK40,0,0,0,300,-1,0.08466273400667206,40.0,40.0,nan,nan,nan,nan,100,1000,
0.02,10,unified_a001,1,1,0,56,-1,0.14101350633666546,61.016666666666666,85.0,1.0,11.693206657383143,60.419779597309194,577.0,100,1000,none
0.02,11,fixedK40,1,1,0,293,-1,0.08678035862666851,40.0,40.0,nan,nan,nan,nan,100,1000,
