sigma_y,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used,certificate_rate,mean_tau,mean_d90,mean_C_size,upright_fraction,longest_upright_streak,fall_event_count,local_min_cands,local_max_cands
0.02,0,fixedK40,0,1,1,56,186,0.09419196603765688,40.0,40.0,nan,nan,nan,nan,0.5857740585774058,76,3,100,1000
0.02,0,unified_a001,0,0,0,300,-1,0.07906761636000001,40.666666666666664,80.0,1.0,31.840174641844374,78.51588054481078,577.0,0.0,0,0,100,1000
0.02,1,fixedK40,0,1,1,64,80,0.09520793710666697,40.0,40.0,nan,nan,nan,nan,0.5833333333333334,137,2,100,1000
0.02,1,unified_a001,0,1,1,62,190,0.11024509423461584,48.53846153846154,85.0,1.0,21.8005271223025,67.36774636192081,577.0,0.5961538461538461,81,3,100,1000
0.02,2,fixedK40,1,1,0,82,-1,0.0982661803999991,40.0,40.0,nan,nan,nan,nan,0.79,237,0,100,1000
0.02,2,unified_a001,0,1,1,73,116,0.09604209430666742,44.28333333333333,75.0,1.0,29.569400887203706,75.42249922476738,577.0,0.25333333333333335,50,4,100,1000
0.02,3,fixedK40,1,1,0,76,-1,0.0997310373966667,40.0,40.0,nan,nan,nan,nan,0.8533333333333334,243,1,100,1000
0.02,3,unified_a001,0,1,1,57,241,0.11122574805333196,48.38333333333333,80.0,1.0,15.082415135738605,66.48520523425024,577.0,0.64,188,1,100,1000
0.02,4,fixedK40,0,1,1,106,145,0.08688618305999939,40.0,40.0,nan,nan,nan,nan,0.19333333333333333,51,2,100,1000
0.02,4,unified_a001,0,1,1,174,264,0.10546461069333275,47.8,90.0,1.0,25.378528524826553,72.02563521270709,577.0,0.35,97,2,100,1000
0.02,5,fixedK40,0,1,1,70,120,0.09428333848999841,40.0,40.0,nan,nan,nan,nan,0.62,128,1,100,1000
0.02,5,unified_a001,1,1,0,85,-1,0.12079698413157976,53.32236842105263,80.0,1.0,23.924173354312558,69.82416136291455,577.0,0.5197368421052632,79,1,100,1000
0.02,6,fixedK40,0,1,1,77,150,0.09750755252333287,40.0,40.0,nan,nan,nan,nan,0.5366666666666666,84,1,100,1000
0.02,6,unified_a001,1,1,0,66,-1,0.13597040056666554,59.483333333333334,80.0,1.0,14.701645127307597,61.337870990457866,577.0,0.8433333333333334,253,0,100,1000
0.02,7,fixedK40,1,1,0,102,-1,0.10058129639333174,40.0,40.0,nan,nan,nan,nan,0.7233333333333334,217,0,100,1000
0.02,7,unified_a001,1,1,0,62,-1,0.12889165643333078,57.46666666666667,80.0,1.0,11.744982951808456,62.491429607753574,577.0,0.8566666666666667,257,0,100,1000
0.02,8,fixedK40,1,1,0,221,-1,0.0872754930083695,40.0,40.0,nan,nan,nan,nan,0.18410041841004185,32,2,100,1000
0.02,8,unified_a001,1,1,0,88,-1,0.13351751309333412,57.266666666666666,85.0,1.0,15.60715365087709,61.52169524565586,577.0,0.8,231,1,100,1000
0.02,9,fixedK40,1,1,0,101,-1,0.09977809207000064,40.0,40.0,nan,nan,nan,nan,0.76,218,1,100,1000
