scenario,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used
nominal,0,fixedK40,0,1,1,19,153,0.10158281151333329,40.0,40.0
nominal,0,unified_a001,1,1,0,19,-1,0.12645378557000012,49.61666666666667,90.0
nominal,1,fixedK40,0,1,1,19,228,0.10430646779666665,40.0,40.0
nominal,1,unified_a001,0,1,1,19,244,0.1263162997366668,51.9,85.0
nominal,2,fixedK40,0,1,1,19,105,0.11090497096000027,40.0,40.0
nominal,2,unified_a001,1,1,0,19,-1,0.1591619257000006,62.2,85.0
nominal,3,fixedK40,0,1,1,19,125,0.11227474419999983,40.0,40.0
nominal,3,unified_a001,0,1,1,19,219,0.1358894516799982,53.416666666666664,85.0
nominal,4,fixedK40,0,1,1,19,226,0.1058596148599967,40.0,40.0
nominal,4,unified_a001,0,1,1,19,62,0.10828949221000092,45.61666666666667,90.0
nominal,5,fixedK40,0,1,1,19,82,0.11014821527000095,40.0,40.0
nominal,5,unified_a001,1,1,0,19,-1,0.13895569385000064,52.983333333333334,85.0
nominal,6,fixedK40,1,1,0,19,-1,0.11323527569000058,40.0,40.0
nominal,6,unified_a001,0,1,1,19,118,0.12594082664000156,48.983333333333334,80.0
nominal,7,fixedK40,1,1,0,19,-1,0.11979894724,40.0,40.0
nominal,7,unified_a001,1,1,0,19,-1,0.15178664705333403,52.46666666666667,80.0
nominal,8,fixedK40,0,1,1,19,146,0.12165150639332827,40.0,40.0
nominal,8,unified_a001,0,1,1,19,162,0.13455323193999902,49.55,85.0
nominal,9,fixedK40,0,1,1,19,164,0.11249003317666659,40.0,40.0
nominal,9,unified_a001,0,1,1,19,187,0.13564092247000076,49.0,90.0
nominal,10,fixedK40,0,1,1,19,131,0.11578531342792178,40.0,40.0
nominal,10,unified_a001,0,1,1,19,97,0.12277323041666895,45.28333333333333,95.0
nominal,11,fixedK40,0,1,1,19,47,0.10916833265666318,40.0,40.0
nominal,11,unified_a001,1,1,0,19,-1,0.1585334977866694,56.25,80.0
