scenario,seed,method,success,success_reached,fall_down,time_to_upright,fail_step,avg_solve_time,mean_K_used,max_K_used
nominal,0,fixedK40,0,1,1,19,80,0.10184743793367347,40.0,40.0
nominal,0,unified_a001,0,1,1,19,161,0.11552941545000013,49.38333333333333,85.0
nominal,1,fixedK40,0,1,1,19,196,0.10455005903891011,40.0,40.0
nominal,1,unified_a001,0,1,1,19,204,0.12488773151999988,56.766666666666666,85.0
nominal,2,fixedK40,0,1,1,19,223,0.09998239770333214,40.0,40.0
nominal,2,unified_a001,1,1,0,19,-1,0.12663995856666682,54.86666666666667,85.0
nominal,3,fixedK40,0,1,1,19,228,0.09796793946666686,40.0,40.0
nominal,3,unified_a001,1,1,0,19,-1,0.12460380692333341,52.75,85.0
nominal,4,fixedK40,1,1,0,19,-1,0.10334515349000109,40.0,40.0
nominal,4,unified_a001,0,1,1,19,71,0.11163946221666719,47.516666666666666,85.0
nominal,5,fixedK40,0,1,1,19,258,0.09885452249000101,40.0,40.0
nominal,5,unified_a001,0,1,1,19,99,0.11647836793333435,49.78333333333333,85.0
nominal,6,fixedK40,0,1,1,19,125,0.1187741420833324,40.0,40.0
nominal,6,unified_a001,0,1,1,19,139,0.10012559832000155,46.666666666666664,85.0
nominal,7,fixedK40,0,1,1,19,83,0.0927529400133335,40.0,40.0
nominal,7,unified_a001,0,1,1,19,251,0.11123343554333265,48.55,90.0
nominal,8,fixedK40,1,1,0,19,-1,0.10374584446333301,40.0,40.0
nominal,8,unified_a001,0,1,1,19,106,0.09851962166666794,46.666666666666664,90.0
nominal,9,fixedK40,1,1,0,19,-1,0.10046709262999988,40.0,40.0
nominal,9,unified_a001,1,1,0,19,-1,0.134413033336668,57.333333333333336,90.0
nominal,10,fixedK40,0,1,1,19,176,0.09706661763235591,40.0,40.0
nominal,10,unified_a001,0,1,1,19,121,0.11434232820000337,51.25,90.0
nominal,11,fixedK40,0,1,1,19,214,0.09776421568999998,40.0,40.0
nominal,11,unified_a001,1,1,0,19,-1,0.13284430055999755,55.71666666666667,85.0
nominal,12,fixedK40,0,1,1,19,145,0.1004918040433347,40.0,40.0
nominal,12,unified_a001,1,1,0,19,-1,0.14227058524333377,56.35,85.0
nominal,13,fixedK40,1,1,0,114,-1,0.10692009599666903,40.0,40.0
nominal,13,unified_a001,0,1,1,19,140,0.1096889091766684,46.11666666666667,80.0
nominal,14,fixedK40,0,1,1,19,190,0.10430522142666784,40.0,40.0
nominal,14,unified_a001,1,1,0,19,-1,0.13115864578999661,53.61666666666667,90.0
nominal,15,fixedK40,0,1,1,19,190,0.10222368486333608,40.0,40.0
nominal,15,unified_a001,1,1,0,19,-1,0.1331250628933276,51.36666666666667,85.0
nominal,16,fixedK40,1,1,0,19,-1,0.1197944622300118,40.0,40.0
