seed,scenario,method,theta0,thetadot0,success,reached,fall_down,time_to_upright,avg_solve_time,mean_K_used
0,nominal,fixedK40,-0.0001242681886903796,-0.3847974608543937,1,1,0,19,0.10015036845666671,40.0
0,nominal,unified_a001,-0.0001242681886903796,-0.3847974608543937,1,1,0,19,0.13114138097999967,55.3
1,nominal,fixedK40,-0.0803389058337094,-0.4503969783896815,0,1,1,19,0.10004554208666695,40.0
1,nominal,unified_a001,-0.0803389058337094,-0.4503969783896815,0,1,1,19,0.12495456068666584,51.56666666666667
2,nominal,fixedK40,0.16594040122413958,-0.36187191191331625,1,1,0,19,0.10381901750333432,40.0
2,nominal,unified_a001,0.16594040122413958,-0.36187191191331625,0,1,1,19,0.11372396054666675,49.53333333333333
3,nominal,fixedK40,-0.18080379921449083,-0.1295310409580378,1,1,0,19,0.1016986819366671,40.0
3,nominal,unified_a001,-0.18080379921449083,-0.1295310409580378,1,1,0,19,0.12141748986999971,52.96666666666667
4,nominal,fixedK40,-0.01238624178037675,0.03079461116711224,0,1,1,19,0.1003368202866678,40.0
4,nominal,unified_a001,-0.01238624178037675,0.03079461116711224,0,1,1,19,0.11507058929666585,50.483333333333334
5,nominal,fixedK40,-0.03946471542939776,-0.08348105410053475,1,1,0,19,0.10218711832666713,40.0
5,nominal,unified_a001,-0.03946471542939776,-0.08348105410053475,0,1,1,19,0.1151803507333339,50.03333333333333
6,nominal,fixedK40,-0.1975563838689193,0.1943938341537469,0,1,1,19,0.09454167885333542,40.0
6,nominal,unified_a001,-0.1975563838689193,0.1943938341537469,0,1,1,19,0.12624566111333252,55.05
7,nominal,fixedK40,-0.11757845587849292,-0.3478995892829754,0,1,1,19,0.09306979721666703,40.0
7,nominal,unified_a001,-0.11757845587849292,-0.3478995892829754,0,1,1,19,0.10923040712213995,47.63358778625954
8,nominal,fixedK40,-0.13900079653504918,-0.053835093497411224,1,1,0,19,0.09984513192666365,40.0
8,nominal,unified_a001,-0.13900079653504918,-0.053835093497411224,1,1,0,19,0.11855833762000353,51.666666666666664
9,nominal,fixedK40,0.1526295489131743,-0.06177598698498177,0,1,1,19,0.09590487294333494,40.0
9,nominal,unified_a001,0.1526295489131743,-0.06177598698498177,1,1,0,19,0.13492837736333588,57.35
10,nominal,fixedK40,0.18927156616316487,-0.09335652845645515,1,1,0,19,0.09925213501666501,40.0
10,nominal,unified_a001,0.18927156616316487,-0.09335652845645515,1,1,0,19,0.13734217276999477,57.45
11,nominal,fixedK40,0.17137188642341594,-0.4491028693694389,1,1,0,19,0.10136153001333166,40.0
