sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.04,0,fixedK40,40,0,1,1,19,116,0.49,75,1,1.0,1.0,0.11652830986999992,40.0,40.0,2.9373178626158785,nan,nan,nan
0.04,0,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16728520374999983,58.67666666666667,79.0,0.37608876149404485,9.660538997270757,60.18009098936034,577.0
0.04,1,fixedK40,40,0,1,1,19,217,0.7966666666666666,209,1,1.0,1.0,0.1219611859666666,40.0,40.0,1.6254578548184069,nan,nan,nan
0.04,1,unified_a001,40,0,1,1,19,168,0.7074235807860262,160,1,1.0,1.0,0.15387081311790385,54.24454148471616,80.0,2.577234948597264,20.100455612356466,67.15352675408171,577.0
0.04,2,fixedK40,40,0,1,1,19,189,0.59,177,1,1.0,1.0,0.1334127837499984,40.0,40.0,2.5232942930347817,nan,nan,nan
0.04,2,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.18281626915333324,60.21,81.0,0.34199602809603286,11.798471818688583,58.74477649203189,577.0
0.04,3,fixedK40,40,0,1,1,19,156,0.8,146,1,1.0,1.0,0.11689624096666933,40.0,40.0,1.5495662388345532,nan,nan,nan
0.04,3,unified_a001,40,0,1,1,19,188,0.63,178,1,1.0,1.0,0.13504416039666656,49.44,78.0,2.1378892874445357,19.66439998476737,66.85849596647407,577.0
0.04,4,fixedK40,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.12901835443333445,40.0,40.0,0.5371401332234185,nan,nan,nan
0.04,4,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.16078455164000124,54.736666666666665,88.0,0.4490473277035512,9.726734603410216,60.41493491752073,577.0
0.04,5,fixedK40,40,0,1,1,19,260,0.84,252,1,1.0,1.0,0.1209091771966674,40.0,40.0,0.8885235598409247,nan,nan,nan
0.04,5,unified_a001,40,1,1,0,19,-1,1.0,300,1,1.0,1.0,0.1703821244466686,58.6,82.0,0.3034205151221157,11.098185998399279,59.31620197207971,577.0
0.04,6,fixedK40,40,0,1,1,19,89,0.7766666666666666,146,1,1.0,1.0,0.12824208583000257,40.0,40.0,1.5432251675734416,nan,nan,nan
