sigma_y,seed,method,K,success,success_reached,fall_down,time_to_upright,fail_step,upright_fraction,longest_upright_streak,fail_practical,infeasible_step_rate,fallback_episode,avg_solve_time,mean_K_used,max_K_used,mean_lambda_min,mean_tau,mean_d90,mean_C_size
0.0,0,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9666666666666667,1.0,0.11061030137333333,30.0,30.0,0.09148282701065069,nan,nan,nan
0.0,0,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8433333333333334,1.0,0.1308674747166661,40.0,40.0,0.10104778940386534,nan,nan,nan
0.0,0,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8,1.0,0.14555206043333285,50.0,50.0,0.14364225589695243,nan,nan,nan
0.0,0,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8166666666666667,1.0,0.15035317983333432,60.0,60.0,0.1785898213890888,nan,nan,nan
0.0,0,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7966666666666666,1.0,0.165794374636666,70.0,70.0,0.224360577997228,nan,nan,nan
0.0,0,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.42,1.0,0.20230868056000076,80.0,80.0,0.25872775985690366,nan,nan,nan
0.0,0,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.81,1.0,0.1719894823800009,69.18333333333334,75.0,0.2226652042985549,9.703844270764518,59.53330189350595,577.0
0.0,1,fixedK30,30,0,1,1,19,173,0.5767918088737202,163,1,0.9829351535836177,1.0,0.1015662953310597,30.0,30.0,2.271213316680383,nan,nan,nan
0.0,1,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.9366666666666666,1.0,0.1303269344600007,40.0,40.0,0.14516673164924584,nan,nan,nan
0.0,1,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.85,1.0,0.13698154777666635,50.0,50.0,0.1380539042231857,nan,nan,nan
0.0,1,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.86,1.0,0.156263414303333,60.0,60.0,0.22092720253514547,nan,nan,nan
0.0,1,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7633333333333333,1.0,0.1643295231700002,70.0,70.0,0.23363498403189445,nan,nan,nan
0.0,1,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.6466666666666666,1.0,0.1890948093266661,80.0,80.0,0.3663258078737927,nan,nan,nan
0.0,1,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8033333333333333,1.0,0.16572792384333374,68.06666666666666,80.0,0.36504076103563726,9.29355105795804,60.09797828133165,577.0
0.0,2,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9833333333333333,1.0,0.10210810568000284,30.0,30.0,0.1115975156334079,nan,nan,nan
0.0,2,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8366666666666667,1.0,0.1244369145666629,40.0,40.0,0.10282971011878021,nan,nan,nan
0.0,2,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.7666666666666667,1.0,0.1322148763766658,50.0,50.0,0.1457120547041337,nan,nan,nan
0.0,2,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.7933333333333333,1.0,0.1553937150033346,60.0,60.0,0.18913079832179774,nan,nan,nan
0.0,2,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7633333333333333,1.0,0.17095598941999582,70.0,70.0,0.232093177734159,nan,nan,nan
0.0,2,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.57,1.0,0.1966971950899972,80.0,80.0,0.2792557067960653,nan,nan,nan
0.0,2,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.7733333333333333,1.0,0.18215502933000038,68.43333333333334,85.0,0.22666520748293076,9.736437814954748,59.51717947119551,577.0
0.0,3,fixedK30,30,0,1,1,19,52,0.42452830188679247,43,1,0.9905660377358491,1.0,0.09119892655660308,30.0,30.0,2.6510263500284474,nan,nan,nan
0.0,3,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.9366666666666666,1.0,0.12778145344333894,40.0,40.0,0.11787197192734418,nan,nan,nan
0.0,3,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.7966666666666666,1.0,0.1432610613833348,50.0,50.0,0.1437760176516114,nan,nan,nan
0.0,3,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8333333333333334,1.0,0.15897394732667636,60.0,60.0,0.18813900125775945,nan,nan,nan
0.0,3,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7766666666666666,1.0,0.17169418082333324,70.0,70.0,0.2327168419241021,nan,nan,nan
0.0,3,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.5966666666666667,1.0,0.20725685946999875,80.0,80.0,0.4635200719605124,nan,nan,nan
0.0,3,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.81,1.0,0.19303726095333787,67.55,85.0,0.2674118209727046,11.179627264496903,58.66497908000133,577.0
0.0,4,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.92,1.0,0.1105311518033265,30.0,30.0,0.07961526839322436,nan,nan,nan
0.0,4,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.9266666666666666,1.0,0.1357743127900024,40.0,40.0,0.11231655830478109,nan,nan,nan
0.0,4,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.9,1.0,0.1527816762533295,50.0,50.0,0.1505796169279462,nan,nan,nan
0.0,4,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8466666666666667,1.0,0.168572541406661,60.0,60.0,0.19989891932731452,nan,nan,nan
0.0,4,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7866666666666666,1.0,0.18884423663667196,70.0,70.0,0.27538264960724795,nan,nan,nan
0.0,4,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.78,1.0,0.206630569016664,80.0,80.0,0.6232550982034462,nan,nan,nan
0.0,4,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.82,1.0,0.1741257811233269,64.86666666666666,85.0,0.3030928596343721,9.099691515614687,60.5275346847458,577.0
0.0,5,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.89,1.0,0.107841484896666,30.0,30.0,0.08686737244497483,nan,nan,nan
0.0,5,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8566666666666667,1.0,0.12979476762000028,40.0,40.0,0.11213622531290146,nan,nan,nan
0.0,5,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.82,1.0,0.15126521277666977,50.0,50.0,0.18766276499085446,nan,nan,nan
0.0,5,fixedK60,60,0,1,1,19,94,0.8333333333333334,164,1,0.9333333333333333,1.0,0.16861378387332934,60.0,60.0,1.4233423611201796,nan,nan,nan
0.0,5,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.79,1.0,0.1923241646066564,70.0,70.0,0.26349887264576854,nan,nan,nan
0.0,5,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.68,1.0,0.20194947125666432,80.0,80.0,0.6547406016309855,nan,nan,nan
0.0,5,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8166666666666667,1.0,0.19311430608333013,66.08333333333333,80.0,0.33139376632502066,11.383316025526646,58.823855278199744,577.0
0.0,6,fixedK30,30,0,1,1,19,203,0.82,195,1,0.9566666666666667,1.0,0.10714751434999546,30.0,30.0,0.8435318551893273,nan,nan,nan
0.0,6,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.9566666666666667,1.0,0.13647893153333446,40.0,40.0,0.13667362135104974,nan,nan,nan
0.0,6,fixedK50,50,0,1,1,19,215,0.71,207,1,0.9333333333333333,1.0,0.14443207037666222,50.0,50.0,1.9715668215274262,nan,nan,nan
0.0,6,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.78,1.0,0.1648822334500043,60.0,60.0,0.2026822518810035,nan,nan,nan
0.0,6,fixedK70,70,0,1,1,19,143,0.5633333333333334,133,1,0.95,1.0,0.18426056374333105,70.0,70.0,4.5999518598073,nan,nan,nan
0.0,6,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.88,1.0,0.21823605818000033,80.0,80.0,0.3288986119262565,nan,nan,nan
0.0,6,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.83,1.0,0.1747757079133347,63.2,75.0,0.23162595738589176,8.828674323997,60.981392055321336,577.0
0.0,7,fixedK30,30,1,1,0,19,-1,0.9033333333333333,146,1,0.9566666666666667,1.0,0.1113834150033381,30.0,30.0,0.4707074297327101,nan,nan,nan
0.0,7,fixedK40,40,0,1,1,89,125,0.26,48,1,0.9966666666666667,1.0,0.10899177343332667,40.0,40.0,4.919464370551681,nan,nan,nan
0.0,7,fixedK50,50,0,1,1,19,145,0.6766666666666666,137,1,0.95,1.0,0.14589067858001878,50.0,50.0,1.756958578413233,nan,nan,nan
0.0,7,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8566666666666667,1.0,0.17217661959335903,60.0,60.0,0.21585724967454936,nan,nan,nan
0.0,7,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.8433333333333334,1.0,0.1731982112533251,70.0,70.0,0.24341930263438138,nan,nan,nan
0.0,7,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.88,1.0,0.2132794775066653,80.0,80.0,0.30547463362252975,nan,nan,nan
0.0,7,unified_a001,40,0,1,1,19,162,0.82,154,1,0.9233333333333333,1.0,0.1637562965133384,54.06666666666667,80.0,1.30284389206833,13.229771386821152,62.64613054934561,577.0
0.0,8,fixedK30,30,0,1,1,169,181,0.13666666666666666,24,1,0.9833333333333333,1.0,0.08817869281999871,30.0,30.0,3.346703364838054,nan,nan,nan
0.0,8,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.82,1.0,0.13067746459667282,40.0,40.0,0.1003500122415801,nan,nan,nan
0.0,8,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8133333333333334,1.0,0.1380029172400191,50.0,50.0,0.15761581384606602,nan,nan,nan
0.0,8,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8066666666666666,1.0,0.16389653959332312,60.0,60.0,0.18710362982772824,nan,nan,nan
0.0,8,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.7533333333333333,1.0,0.192471800676664,70.0,70.0,0.2358795100846485,nan,nan,nan
0.0,8,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.47333333333333333,1.0,0.2076673741733445,80.0,80.0,0.2748457900075641,nan,nan,nan
0.0,8,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8133333333333334,1.0,0.17395430690999394,67.88333333333334,90.0,0.22707447885126422,9.882359342784566,59.411993412053626,577.0
0.0,9,fixedK30,30,1,1,0,19,-1,1.0,300,1,0.9333333333333333,1.0,0.10977947318000587,30.0,30.0,0.08064127188971013,nan,nan,nan
0.0,9,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8766666666666667,1.0,0.12781610900333967,40.0,40.0,0.1022439426960935,nan,nan,nan
0.0,9,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.84,1.0,0.1387669568100061,50.0,50.0,0.1345212526859965,nan,nan,nan
0.0,9,fixedK60,60,1,1,0,19,-1,1.0,300,1,0.8533333333333334,1.0,0.14922538501334506,60.0,60.0,0.17829549880406345,nan,nan,nan
0.0,9,fixedK70,70,1,1,0,19,-1,1.0,300,1,0.84,1.0,0.1631526612466905,70.0,70.0,0.22462929054954364,nan,nan,nan
0.0,9,fixedK80,80,1,1,0,19,-1,1.0,300,1,0.4533333333333333,1.0,0.19505164197334124,80.0,80.0,0.24880397706747204,nan,nan,nan
0.0,9,unified_a001,40,1,1,0,19,-1,1.0,300,1,0.8433333333333334,1.0,0.15193133887332805,67.75,75.0,0.2181444057958014,9.626645482691606,59.60792393605979,577.0
0.0,10,fixedK30,30,1,1,0,19,-1,0.9666666666666667,290,1,0.9833333333333333,1.0,0.10659238750999368,30.0,30.0,0.10433001757069382,nan,nan,nan
0.0,10,fixedK40,40,1,1,0,19,-1,1.0,300,1,0.8633333333333333,1.0,0.12118442750334452,40.0,40.0,0.09964271748639145,nan,nan,nan
0.0,10,fixedK50,50,1,1,0,19,-1,1.0,300,1,0.8666666666666667,1.0,0.13706587070331655,50.0,50.0,0.13491199950610738,nan,nan,nan
